pi,ri,ty,ct,st,rn,lt,et,cs,cr,con
BJzAM4viob,4-20200812222058920,4,20200812T222058,65001,4-20200812222058920,20200812T222058,20220812T222058,7,Sfilab08,1837924,4-20200812222058920
BJzAM4viob,4-20200812221535731,4,20200812T221535,65000,4-20200812221535731,20200812T221535,20220812T221535,7,Sfilab08,1723887,4-20200812221535731
BJzAM4viob,4-20200812221041556,4,20200812T221041,64999,4-20200812221041555,20200812T221041,20220812T221041,7,Sfilab08,1772782,4-20200812221041556
BJzAM4viob,4-20200812220510090,4,20200812T220510,64998,4-20200812220510090,20200812T220510,20220812T220510,7,Sfilab08,1630164,4-20200812220510090
BJzAM4viob,4-20200812220031197,4,20200812T220031,64997,4-20200812220031196,20200812T220031,20220812T220031,7,Sfilab08,1859112,4-20200812220031197
BJzAM4viob,4-20200812215514011,4,20200812T215514,64996,4-20200812215514011,20200812T215514,20220812T215514,7,Sfilab08,1767958,4-20200812215514011
BJzAM4viob,4-20200812215026841,4,20200812T215026,64995,4-20200812215026841,20200812T215026,20220812T215026,7,Sfilab08,1755436,4-20200812215026841
BJzAM4viob,4-20200812214508654,4,20200812T214508,64994,4-20200812214508654,20200812T214508,20220812T214508,7,Sfilab08,1698301,4-20200812214508654
BJzAM4viob,4-20200812214025488,4,20200812T214025,64993,4-20200812214025487,20200812T214025,20220812T214025,7,Sfilab08,1797286,4-20200812214025488
BJzAM4viob,4-20200812213509300,4,20200812T213509,64992,4-20200812213509300,20200812T213509,20220812T213509,7,Sfilab08,1611771,4-20200812213509300
BJzAM4viob,4-20200812212949115,4,20200812T212949,64991,4-20200812212949114,20200812T212949,20220812T212949,7,Sfilab08,1778681,4-20200812212949115
BJzAM4viob,4-20200812212511950,4,20200812T212511,64990,4-20200812212511950,20200812T212511,20220812T212511,7,Sfilab08,1830936,4-20200812212511950
BJzAM4viob,4-20200812211950761,4,20200812T211950,64989,4-20200812211950761,20200812T211950,20220812T211950,7,Sfilab08,1763001,4-20200812211950761
BJzAM4viob,4-20200812211501592,4,20200812T211501,64988,4-20200812211501591,20200812T211501,20220812T211501,7,Sfilab08,1717730,4-20200812211501592
BJzAM4viob,4-20200812210943404,4,20200812T210943,64987,4-20200812210943404,20200812T210943,20220812T210943,7,Sfilab08,1503417,4-20200812210943404
BJzAM4viob,4-20200812210422213,4,20200812T210422,64986,4-20200812210422213,20200812T210422,20220812T210422,7,Sfilab08,1716175,4-20200812210422213
