pi,ri,ty,ct,st,rn,lt,et,cs,cr,con
S1fxmNDiiW,4-20200812235430529,4,20200812T235430,207815,4-20200812235430529,20200812T235430,20220812T235430,7,Sfilab11,1197861,4-20200812235430529
S1fxmNDiiW,4-20200812234922630,4,20200812T234922,207814,4-20200812234922630,20200812T234922,20220812T234922,6,Sfilab11,733256,4-20200812234922630
S1fxmNDiiW,4-20200812234418176,4,20200812T234418,207813,4-20200812234418176,20200812T234418,20220812T234418,7,Sfilab11,1001042,4-20200812234418176
S1fxmNDiiW,4-20200812233909276,4,20200812T233909,207812,4-20200812233909275,20200812T233909,20220812T233909,6,Sfilab11,884831,4-20200812233909276
S1fxmNDiiW,4-20200812233406100,4,20200812T233406,207811,4-20200812233406100,20200812T233406,20220812T233406,7,Sfilab11,1245179,4-20200812233406100
S1fxmNDiiW,4-20200812232859923,4,20200812T232859,207810,4-20200812232859922,20200812T232859,20220812T232859,6,Sfilab11,989927,4-20200812232859923
S1fxmNDiiW,4-20200812232350743,4,20200812T232350,207809,4-20200812232350743,20200812T232350,20220812T232350,7,Sfilab11,1093572,4-20200812232350743
S1fxmNDiiW,4-20200812231843566,4,20200812T231843,207808,4-20200812231843566,20200812T231843,20220812T231843,6,Sfilab11,892824,4-20200812231843566
S1fxmNDiiW,4-20200812231348129,4,20200812T231348,207807,4-20200812231348128,20200812T231348,20220812T231348,6,Sfilab11,959205,4-20200812231348129
S1fxmNDiiW,4-20200812230834216,4,20200812T230834,207806,4-20200812230834216,20200812T230834,20220812T230834,6,Sfilab11,833662,4-20200812230834216
S1fxmNDiiW,4-20200812230339771,4,20200812T230339,207805,4-20200812230339771,20200812T230339,20220812T230339,6,Sfilab11,922188,4-20200812230339771
S1fxmNDiiW,4-20200812225827871,4,20200812T225827,207804,4-20200812225827870,20200812T225827,20220812T225827,6,Sfilab11,861067,4-20200812225827871
S1fxmNDiiW,4-20200812225324417,4,20200812T225324,207803,4-20200812225324417,20200812T225324,20220812T225324,6,Sfilab11,851639,4-20200812225324417
S1fxmNDiiW,4-20200812224816517,4,20200812T224816,207802,4-20200812224816517,20200812T224816,20220812T224816,7,Sfilab11,1170155,4-20200812224816517
S1fxmNDiiW,4-20200812224312342,4,20200812T224312,207801,4-20200812224312342,20200812T224312,20220812T224312,6,Sfilab11,931195,4-20200812224312342
S1fxmNDiiW,4-20200812223806165,4,20200812T223806,207800,4-20200812223806165,20200812T223806,20220812T223806,6,Sfilab11,984712,4-20200812223806165
S1fxmNDiiW,4-20200812223300995,4,20200812T223300,207799,4-20200812223300995,20200812T223300,20220812T223300,6,Sfilab11,761499,4-20200812223300995
S1fxmNDiiW,4-20200812222755813,4,20200812T222755,207798,4-20200812222755813,20200812T222755,20220812T222755,7,Sfilab11,1158216,4-20200812222755813
S1fxmNDiiW,4-20200812222252637,4,20200812T222252,207797,4-20200812222252637,20200812T222252,20220812T222252,6,Sfilab11,688182,4-20200812222252637
S1fxmNDiiW,4-20200812221749462,4,20200812T221749,207796,4-20200812221749462,20200812T221749,20220812T221749,6,Sfilab11,987156,4-20200812221749462
S1fxmNDiiW,4-20200812221250011,4,20200812T221250,207795,4-20200812221250011,20200812T221250,20220812T221250,7,Sfilab11,1314131,4-20200812221250011
S1fxmNDiiW,4-20200812220740111,4,20200812T220740,207794,4-20200812220740110,20200812T220740,20220812T220740,7,Sfilab11,1017048,4-20200812220740111
S1fxmNDiiW,4-20200812220240662,4,20200812T220240,207793,4-20200812220240661,20200812T220240,20220812T220240,6,Sfilab11,545570,4-20200812220240662
S1fxmNDiiW,4-20200812215738767,4,20200812T215738,207792,4-20200812215738766,20200812T215738,20220812T215738,6,Sfilab11,579975,4-20200812215738767
S1fxmNDiiW,4-20200812215236590,4,20200812T215236,207791,4-20200812215236590,20200812T215236,20220812T215236,7,Sfilab11,1041455,4-20200812215236590
S1fxmNDiiW,4-20200812214803433,4,20200812T214803,207790,4-20200812214803433,20200812T214803,20220812T214803,7,Sfilab11,1613036,4-20200812214803433
S1fxmNDiiW,4-20200812214242248,4,20200812T214242,207789,4-20200812214242248,20200812T214242,20220812T214242,7,Sfilab11,1427405,4-20200812214242248
S1fxmNDiiW,4-20200812213805089,4,20200812T213805,207788,4-20200812213805089,20200812T213805,20220812T213805,7,Sfilab11,1470824,4-20200812213805089
