pi,ri,ty,ct,st,rn,lt,et,cs,cr,con
SJLm-NPisW,4-20200812215839767,4,20200812T215839,68685,4-20200812215839767,20200812T215839,20220812T215839,5,Sfilab07,21.70,4-20200812215839767
SJLm-NPisW,4-20200812215318187,4,20200812T215318,68684,4-20200812215318187,20200812T215318,20220812T215318,5,Sfilab07,21.70,4-20200812215318187
SJLm-NPisW,4-20200812214800384,4,20200812T214800,68683,4-20200812214800383,20200812T214800,20220812T214800,5,Sfilab07,21.70,4-20200812214800384
SJLm-NPisW,4-20200812214325227,4,20200812T214325,68682,4-20200812214325227,20200812T214325,20220812T214325,5,Sfilab07,21.70,4-20200812214325227
SJLm-NPisW,4-20200812213823101,4,20200812T213823,68681,4-20200812213823100,20200812T213823,20220812T213823,5,Sfilab07,21.60,4-20200812213823101
SJLm-NPisW,4-20200812213247849,4,20200812T213247,68680,4-20200812213247849,20200812T213247,20220812T213247,5,Sfilab07,21.70,4-20200812213247849
SJLm-NPisW,4-20200812212805683,4,20200812T212805,68679,4-20200812212805683,20200812T212805,20220812T212805,5,Sfilab07,21.60,4-20200812212805683
SJLm-NPisW,4-20200812212248294,4,20200812T212248,68678,4-20200812212248293,20200812T212248,20220812T212248,5,Sfilab07,21.70,4-20200812212248294
SJLm-NPisW,4-20200812211733286,4,20200812T211733,68677,4-20200812211733285,20200812T211733,20220812T211733,5,Sfilab07,21.70,4-20200812211733286
SJLm-NPisW,4-20200812211258148,4,20200812T211258,68676,4-20200812211258147,20200812T211258,20220812T211258,5,Sfilab07,21.80,4-20200812211258148
SJLm-NPisW,4-20200812210737959,4,20200812T210737,68675,4-20200812210737959,20200812T210737,20220812T210737,5,Sfilab07,22.00,4-20200812210737959
SJLm-NPisW,4-20200812210221775,4,20200812T210221,68674,4-20200812210221774,20200812T210221,20220812T210221,5,Sfilab07,21.90,4-20200812210221775
SJLm-NPisW,4-20200812205701592,4,20200812T205701,68673,4-20200812205701592,20200812T205701,20220812T205701,5,Sfilab07,21.90,4-20200812205701592
SJLm-NPisW,4-20200812205229422,4,20200812T205229,68672,4-20200812205229422,20200812T205229,20220812T205229,5,Sfilab07,21.90,4-20200812205229422
SJLm-NPisW,4-20200812204714234,4,20200812T204714,68671,4-20200812204714234,20200812T204714,20220812T204714,5,Sfilab07,21.80,4-20200812204714234
SJLm-NPisW,4-20200812204240077,4,20200812T204240,68670,4-20200812204240077,20200812T204240,20220812T204240,5,Sfilab07,21.80,4-20200812204240077
SJLm-NPisW,4-20200812203721887,4,20200812T203721,68669,4-20200812203721887,20200812T203721,20220812T203721,5,Sfilab07,21.80,4-20200812203721887
SJLm-NPisW,4-20200812203205205,4,20200812T203205,68668,4-20200812203205205,20200812T203205,20220812T203205,5,Sfilab07,21.80,4-20200812203205205
SJLm-NPisW,4-20200812202728697,4,20200812T202728,68667,4-20200812202728696,20200812T202728,20220812T202728,5,Sfilab07,21.80,4-20200812202728697
SJLm-NPisW,4-20200812202209188,4,20200812T202209,68666,4-20200812202209188,20200812T202209,20220812T202209,5,Sfilab07,21.70,4-20200812202209188
SJLm-NPisW,4-20200812201649161,4,20200812T201649,68665,4-20200812201649161,20200812T201649,20220812T201649,5,Sfilab07,21.70,4-20200812201649161
SJLm-NPisW,4-20200812201217682,4,20200812T201217,68664,4-20200812201217682,20200812T201217,20220812T201217,5,Sfilab07,21.70,4-20200812201217682
SJLm-NPisW,4-20200812200654810,4,20200812T200654,68663,4-20200812200654809,20200812T200654,20220812T200654,5,Sfilab07,21.60,4-20200812200654810
SJLm-NPisW,4-20200812200139625,4,20200812T200139,68662,4-20200812200139625,20200812T200139,20220812T200139,5,Sfilab07,21.70,4-20200812200139625
SJLm-NPisW,4-20200812195704461,4,20200812T195704,68661,4-20200812195704461,20200812T195704,20220812T195704,5,Sfilab07,21.60,4-20200812195704461
SJLm-NPisW,4-20200812195145134,4,20200812T195145,68660,4-20200812195145134,20200812T195145,20220812T195145,5,Sfilab07,21.60,4-20200812195145134
SJLm-NPisW,4-20200812194623625,4,20200812T194623,68659,4-20200812194623625,20200812T194623,20220812T194623,5,Sfilab07,21.60,4-20200812194623625
SJLm-NPisW,4-20200812194150617,4,20200812T194150,68658,4-20200812194150617,20200812T194150,20220812T194150,5,Sfilab07,21.60,4-20200812194150617
SJLm-NPisW,4-20200812193628622,4,20200812T193628,68657,4-20200812193628622,20200812T193628,20220812T193628,5,Sfilab07,21.60,4-20200812193628622
SJLm-NPisW,4-20200812193107546,4,20200812T193107,68656,4-20200812193107546,20200812T193107,20220812T193107,5,Sfilab07,21.50,4-20200812193107546
SJLm-NPisW,4-20200812192636384,4,20200812T192636,68655,4-20200812192636384,20200812T192636,20220812T192636,5,Sfilab07,21.50,4-20200812192636384
SJLm-NPisW,4-20200812192112193,4,20200812T192112,68654,4-20200812192112193,20200812T192112,20220812T192112,5,Sfilab07,21.50,4-20200812192112193
SJLm-NPisW,4-20200812191556009,4,20200812T191556,68653,4-20200812191556008,20200812T191556,20220812T191556,5,Sfilab07,21.50,4-20200812191556009
SJLm-NPisW,4-20200812191122563,4,20200812T191122,68652,4-20200812191122563,20200812T191122,20220812T191122,5,Sfilab07,21.50,4-20200812191122563
SJLm-NPisW,4-20200812190558654,4,20200812T190558,68651,4-20200812190558654,20200812T190558,20220812T190558,5,Sfilab07,21.40,4-20200812190558654
SJLm-NPisW,4-20200812190044045,4,20200812T190044,68650,4-20200812190044045,20200812T190044,20220812T190044,5,Sfilab07,21.40,4-20200812190044045
SJLm-NPisW,4-20200812185610038,4,20200812T185610,68649,4-20200812185610038,20200812T185610,20220812T185610,5,Sfilab07,21.40,4-20200812185610038
SJLm-NPisW,4-20200812185050117,4,20200812T185050,68648,4-20200812185050117,20200812T185050,20220812T185050,5,Sfilab07,21.40,4-20200812185050117
SJLm-NPisW,4-20200812184529928,4,20200812T184529,68647,4-20200812184529928,20200812T184529,20220812T184529,5,Sfilab07,21.40,4-20200812184529928
SJLm-NPisW,4-20200812184053774,4,20200812T184053,68646,4-20200812184053773,20200812T184053,20220812T184053,5,Sfilab07,21.30,4-20200812184053774
SJLm-NPisW,4-20200812183536576,4,20200812T183536,68645,4-20200812183536576,20200812T183536,20220812T183536,5,Sfilab07,21.40,4-20200812183536576
SJLm-NPisW,4-20200812183016388,4,20200812T183016,68644,4-20200812183016388,20200812T183016,20220812T183016,5,Sfilab07,21.30,4-20200812183016388
