pi,ri,ty,ct,st,rn,lt,et,cs,cr,con
B1fyfEwio-,4-20200812181914433,4,20200812T181914,142949,4-20200812181914433,20200812T181914,20220812T181914,2,Sfilab13,63,4-20200812181914433
B1fyfEwio-,4-20200812181355922,4,20200812T181355,142948,4-20200812181355922,20200812T181355,20220812T181355,2,Sfilab13,63,4-20200812181355922
B1fyfEwio-,4-20200812180920913,4,20200812T180920,142947,4-20200812180920912,20200812T180920,20220812T180920,2,Sfilab13,62,4-20200812180920913
B1fyfEwio-,4-20200812180404914,4,20200812T180404,142946,4-20200812180404913,20200812T180404,20220812T180404,2,Sfilab13,62,4-20200812180404914
B1fyfEwio-,4-20200812175845390,4,20200812T175845,142945,4-20200812175845390,20200812T175845,20220812T175845,2,Sfilab13,62,4-20200812175845390
B1fyfEwio-,4-20200812175408380,4,20200812T175408,142944,4-20200812175408380,20200812T175408,20220812T175408,2,Sfilab13,61,4-20200812175408380
B1fyfEwio-,4-20200812174850368,4,20200812T174850,142943,4-20200812174850368,20200812T174850,20220812T174850,2,Sfilab13,61,4-20200812174850368
B1fyfEwio-,4-20200812174326358,4,20200812T174326,142942,4-20200812174326358,20200812T174326,20220812T174326,2,Sfilab13,61,4-20200812174326358
B1fyfEwio-,4-20200812173845852,4,20200812T173845,142941,4-20200812173845851,20200812T173845,20220812T173845,2,Sfilab13,60,4-20200812173845852
B1fyfEwio-,4-20200812173324886,4,20200812T173324,142940,4-20200812173324885,20200812T173324,20220812T173324,2,Sfilab13,59,4-20200812173324886
B1fyfEwio-,4-20200812172853827,4,20200812T172853,142939,4-20200812172853827,20200812T172853,20220812T172853,2,Sfilab13,59,4-20200812172853827
B1fyfEwio-,4-20200812172329816,4,20200812T172329,142938,4-20200812172329816,20200812T172329,20220812T172329,2,Sfilab13,61,4-20200812172329816
B1fyfEwio-,4-20200812171812361,4,20200812T171812,142937,4-20200812171812361,20200812T171812,20220812T171812,2,Sfilab13,60,4-20200812171812361
B1fyfEwio-,4-20200812171338200,4,20200812T171338,142936,4-20200812171338200,20200812T171338,20220812T171338,2,Sfilab13,61,4-20200812171338200
B1fyfEwio-,4-20200812170816783,4,20200812T170816,142935,4-20200812170816783,20200812T170816,20220812T170816,2,Sfilab13,60,4-20200812170816783
B1fyfEwio-,4-20200812170253772,4,20200812T170253,142934,4-20200812170253772,20200812T170253,20220812T170253,2,Sfilab13,60,4-20200812170253772
B1fyfEwio-,4-20200812165821671,4,20200812T165821,142933,4-20200812165821670,20200812T165821,20220812T165821,2,Sfilab13,60,4-20200812165821671
B1fyfEwio-,4-20200812165303487,4,20200812T165303,142932,4-20200812165303487,20200812T165303,20220812T165303,2,Sfilab13,60,4-20200812165303487
B1fyfEwio-,4-20200812164739300,4,20200812T164739,142931,4-20200812164739300,20200812T164739,20220812T164739,2,Sfilab13,59,4-20200812164739300
B1fyfEwio-,4-20200812164301732,4,20200812T164301,142930,4-20200812164301732,20200812T164301,20220812T164301,2,Sfilab13,59,4-20200812164301732
B1fyfEwio-,4-20200812163732218,4,20200812T163732,142929,4-20200812163732218,20200812T163732,20220812T163732,2,Sfilab13,59,4-20200812163732218
B1fyfEwio-,4-20200812163254789,4,20200812T163254,142928,4-20200812163254789,20200812T163254,20220812T163254,2,Sfilab13,59,4-20200812163254789
B1fyfEwio-,4-20200812162726925,4,20200812T162726,142927,4-20200812162726925,20200812T162726,20220812T162726,2,Sfilab13,59,4-20200812162726925
B1fyfEwio-,4-20200812162252697,4,20200812T162252,142926,4-20200812162252697,20200812T162252,20220812T162252,2,Sfilab13,58,4-20200812162252697
B1fyfEwio-,4-20200812161730678,4,20200812T161730,142925,4-20200812161730678,20200812T161730,20220812T161730,2,Sfilab13,58,4-20200812161730678
B1fyfEwio-,4-20200812161211166,4,20200812T161211,142924,4-20200812161211165,20200812T161211,20220812T161211,2,Sfilab13,58,4-20200812161211166
B1fyfEwio-,4-20200812160735243,4,20200812T160735,142923,4-20200812160735243,20200812T160735,20220812T160735,2,Sfilab13,57,4-20200812160735243
B1fyfEwio-,4-20200812160216735,4,20200812T160216,142922,4-20200812160216735,20200812T160216,20220812T160216,2,Sfilab13,57,4-20200812160216735
B1fyfEwio-,4-20200812155656634,4,20200812T155656,142921,4-20200812155656634,20200812T155656,20220812T155656,2,Sfilab13,56,4-20200812155656634
B1fyfEwio-,4-20200812155221125,4,20200812T155221,142920,4-20200812155221125,20200812T155221,20220812T155221,2,Sfilab13,56,4-20200812155221125
B1fyfEwio-,4-20200812154658207,4,20200812T154658,142919,4-20200812154658207,20200812T154658,20220812T154658,2,Sfilab13,56,4-20200812154658207
B1fyfEwio-,4-20200812154138102,4,20200812T154138,142918,4-20200812154138102,20200812T154138,20220812T154138,2,Sfilab13,56,4-20200812154138102
B1fyfEwio-,4-20200812153658861,4,20200812T153658,142917,4-20200812153658860,20200812T153658,20220812T153658,2,Sfilab13,56,4-20200812153658861
B1fyfEwio-,4-20200812153142687,4,20200812T153142,142916,4-20200812153142686,20200812T153142,20220812T153142,2,Sfilab13,55,4-20200812153142687
B1fyfEwio-,4-20200812152623836,4,20200812T152623,142915,4-20200812152623836,20200812T152623,20220812T152623,2,Sfilab13,55,4-20200812152623836
B1fyfEwio-,4-20200812152103639,4,20200812T152103,142914,4-20200812152103639,20200812T152103,20220812T152103,2,Sfilab13,55,4-20200812152103639
B1fyfEwio-,4-20200812151631159,4,20200812T151631,142913,4-20200812151631159,20200812T151631,20220812T151631,2,Sfilab13,55,4-20200812151631159
B1fyfEwio-,4-20200812151112976,4,20200812T151112,142912,4-20200812151112976,20200812T151112,20220812T151112,2,Sfilab13,55,4-20200812151112976
B1fyfEwio-,4-20200812150636528,4,20200812T150636,142911,4-20200812150636528,20200812T150636,20220812T150636,2,Sfilab13,55,4-20200812150636528
B1fyfEwio-,4-20200812150119520,4,20200812T150119,142910,4-20200812150119520,20200812T150119,20220812T150119,2,Sfilab13,55,4-20200812150119520
B1fyfEwio-,4-20200812145601451,4,20200812T145601,142909,4-20200812145601450,20200812T145601,20220812T145601,2,Sfilab13,55,4-20200812145601451
B1fyfEwio-,4-20200812145130293,4,20200812T145130,142908,4-20200812145130292,20200812T145130,20220812T145130,2,Sfilab13,55,4-20200812145130293
B1fyfEwio-,4-20200812144610435,4,20200812T144610,142907,4-20200812144610435,20200812T144610,20220812T144610,2,Sfilab13,55,4-20200812144610435
B1fyfEwio-,4-20200812144050251,4,20200812T144050,142906,4-20200812144050251,20200812T144050,20220812T144050,2,Sfilab13,55,4-20200812144050251
B1fyfEwio-,4-20200812143611092,4,20200812T143611,142905,4-20200812143611092,20200812T143611,20220812T143611,2,Sfilab13,55,4-20200812143611092
B1fyfEwio-,4-20200812143051454,4,20200812T143051,142904,4-20200812143051454,20200812T143051,20220812T143051,2,Sfilab13,55,4-20200812143051454
B1fyfEwio-,4-20200812142529395,4,20200812T142529,142903,4-20200812142529395,20200812T142529,20220812T142529,2,Sfilab13,55,4-20200812142529395
B1fyfEwio-,4-20200812142007431,4,20200812T142007,142902,4-20200812142007431,20200812T142007,20220812T142007,2,Sfilab13,55,4-20200812142007431
B1fyfEwio-,4-20200812141532375,4,20200812T141532,142901,4-20200812141532374,20200812T141532,20220812T141532,2,Sfilab13,55,4-20200812141532375
B1fyfEwio-,4-20200812140931910,4,20200812T140931,142900,4-20200812140931909,20200812T140931,20220812T140931,2,Sfilab13,55,4-20200812140931910
B1fyfEwio-,4-20200812140458012,4,20200812T140458,142899,4-20200812140458011,20200812T140458,20220812T140458,2,Sfilab13,55,4-20200812140458012
B1fyfEwio-,4-20200812135940388,4,20200812T135940,142898,4-20200812135940387,20200812T135940,20220812T135940,2,Sfilab13,56,4-20200812135940388
B1fyfEwio-,4-20200812135418877,4,20200812T135418,142897,4-20200812135418877,20200812T135418,20220812T135418,2,Sfilab13,56,4-20200812135418877
B1fyfEwio-,4-20200812134942848,4,20200812T134942,142896,4-20200812134942847,20200812T134942,20220812T134942,2,Sfilab13,56,4-20200812134942848
B1fyfEwio-,4-20200812134422836,4,20200812T134422,142895,4-20200812134422835,20200812T134422,20220812T134422,2,Sfilab13,56,4-20200812134422836
B1fyfEwio-,4-20200812133859825,4,20200812T133859,142894,4-20200812133859824,20200812T133859,20220812T133859,2,Sfilab13,56,4-20200812133859825
B1fyfEwio-,4-20200812133425816,4,20200812T133425,142893,4-20200812133425815,20200812T133425,20220812T133425,2,Sfilab13,56,4-20200812133425816
B1fyfEwio-,4-20200812132900774,4,20200812T132900,142892,4-20200812132900774,20200812T132900,20220812T132900,2,Sfilab13,56,4-20200812132900774
