pi,ri,ty,ct,st,rn,lt,et,cs,cr,con
B1GuZVwsi-,4-20200812231000837,4,20200812T231000,68154,4-20200812231000836,20200812T231000,20220812T231000,5,Sfilab16,22.10,4-20200812231000837
B1GuZVwsi-,4-20200812230441654,4,20200812T230441,68153,4-20200812230441653,20200812T230441,20220812T230441,5,Sfilab16,22.10,4-20200812230441654
B1GuZVwsi-,4-20200812225925477,4,20200812T225925,68152,4-20200812225925477,20200812T225925,20220812T225925,5,Sfilab16,22.10,4-20200812225925477
B1GuZVwsi-,4-20200812225451306,4,20200812T225451,68151,4-20200812225451305,20200812T225451,20220812T225451,5,Sfilab16,22.20,4-20200812225451306
B1GuZVwsi-,4-20200812224933123,4,20200812T224933,68150,4-20200812224933122,20200812T224933,20220812T224933,5,Sfilab16,22.20,4-20200812224933123
B1GuZVwsi-,4-20200812224414932,4,20200812T224414,68149,4-20200812224414932,20200812T224414,20220812T224414,5,Sfilab16,22.20,4-20200812224414932
B1GuZVwsi-,4-20200812223942773,4,20200812T223942,68148,4-20200812223942773,20200812T223942,20220812T223942,5,Sfilab16,22.20,4-20200812223942773
B1GuZVwsi-,4-20200812223418585,4,20200812T223418,68147,4-20200812223418585,20200812T223418,20220812T223418,5,Sfilab16,22.10,4-20200812223418585
B1GuZVwsi-,4-20200812222855396,4,20200812T222855,68146,4-20200812222855396,20200812T222855,20220812T222855,5,Sfilab16,22.10,4-20200812222855396
B1GuZVwsi-,4-20200812222420955,4,20200812T222420,68145,4-20200812222420955,20200812T222420,20220812T222420,5,Sfilab16,22.10,4-20200812222420955
B1GuZVwsi-,4-20200812221859045,4,20200812T221859,68144,4-20200812221859045,20200812T221859,20220812T221859,5,Sfilab16,22.10,4-20200812221859045
B1GuZVwsi-,4-20200812221342582,4,20200812T221342,68143,4-20200812221342582,20200812T221342,20220812T221342,5,Sfilab16,22.10,4-20200812221342582
B1GuZVwsi-,4-20200812220909422,4,20200812T220909,68142,4-20200812220909422,20200812T220909,20220812T220909,5,Sfilab16,22.20,4-20200812220909422
B1GuZVwsi-,4-20200812220352239,4,20200812T220352,68141,4-20200812220352239,20200812T220352,20220812T220352,5,Sfilab16,22.20,4-20200812220352239
B1GuZVwsi-,4-20200812215829049,4,20200812T215829,68140,4-20200812215829049,20200812T215829,20220812T215829,5,Sfilab16,22.20,4-20200812215829049
B1GuZVwsi-,4-20200812215357168,4,20200812T215357,68139,4-20200812215357168,20200812T215357,20220812T215357,5,Sfilab16,22.20,4-20200812215357168
B1GuZVwsi-,4-20200812214838978,4,20200812T214838,68138,4-20200812214838978,20200812T214838,20220812T214838,5,Sfilab16,22.20,4-20200812214838978
B1GuZVwsi-,4-20200812214317793,4,20200812T214317,68137,4-20200812214317793,20200812T214317,20220812T214317,5,Sfilab16,22.20,4-20200812214317793
B1GuZVwsi-,4-20200812213838627,4,20200812T213838,68136,4-20200812213838627,20200812T213838,20220812T213838,5,Sfilab16,22.30,4-20200812213838627
B1GuZVwsi-,4-20200812213319439,4,20200812T213319,68135,4-20200812213319439,20200812T213319,20220812T213319,5,Sfilab16,22.30,4-20200812213319439
B1GuZVwsi-,4-20200812212755249,4,20200812T212755,68134,4-20200812212755249,20200812T212755,20220812T212755,5,Sfilab16,22.30,4-20200812212755249
B1GuZVwsi-,4-20200812212320087,4,20200812T212320,68133,4-20200812212320086,20200812T212320,20220812T212320,5,Sfilab16,22.30,4-20200812212320087
B1GuZVwsi-,4-20200812211802625,4,20200812T211802,68132,4-20200812211802625,20200812T211802,20220812T211802,5,Sfilab16,22.40,4-20200812211802625
B1GuZVwsi-,4-20200812211240436,4,20200812T211240,68131,4-20200812211240435,20200812T211240,20220812T211240,5,Sfilab16,22.50,4-20200812211240436
B1GuZVwsi-,4-20200812210806275,4,20200812T210806,68130,4-20200812210806275,20200812T210806,20220812T210806,5,Sfilab16,22.60,4-20200812210806275
B1GuZVwsi-,4-20200812210250089,4,20200812T210250,68129,4-20200812210250089,20200812T210250,20220812T210250,5,Sfilab16,22.60,4-20200812210250089
B1GuZVwsi-,4-20200812205726898,4,20200812T205726,68128,4-20200812205726898,20200812T205726,20220812T205726,5,Sfilab16,22.60,4-20200812205726898
B1GuZVwsi-,4-20200812205250737,4,20200812T205250,68127,4-20200812205250736,20200812T205250,20220812T205250,5,Sfilab16,22.60,4-20200812205250737
B1GuZVwsi-,4-20200812204729549,4,20200812T204729,68126,4-20200812204729548,20200812T204729,20220812T204729,5,Sfilab16,22.50,4-20200812204729549
B1GuZVwsi-,4-20200812204209361,4,20200812T204209,68125,4-20200812204209361,20200812T204209,20220812T204209,5,Sfilab16,22.50,4-20200812204209361
B1GuZVwsi-,4-20200812203736200,4,20200812T203736,68124,4-20200812203736200,20200812T203736,20220812T203736,5,Sfilab16,22.50,4-20200812203736200
B1GuZVwsi-,4-20200812203216014,4,20200812T203216,68123,4-20200812203216014,20200812T203216,20220812T203216,5,Sfilab16,22.50,4-20200812203216014
B1GuZVwsi-,4-20200812202659107,4,20200812T202659,68122,4-20200812202659107,20200812T202659,20220812T202659,5,Sfilab16,22.50,4-20200812202659107
B1GuZVwsi-,4-20200812202222672,4,20200812T202222,68121,4-20200812202222670,20200812T202222,20220812T202222,5,Sfilab16,22.40,4-20200812202222672
B1GuZVwsi-,4-20200812201652756,4,20200812T201652,68120,4-20200812201652756,20200812T201652,20220812T201652,5,Sfilab16,22.40,4-20200812201652756
B1GuZVwsi-,4-20200812201210313,4,20200812T201210,68119,4-20200812201210313,20200812T201210,20220812T201210,5,Sfilab16,22.40,4-20200812201210313
B1GuZVwsi-,4-20200812200643400,4,20200812T200643,68118,4-20200812200643399,20200812T200643,20220812T200643,5,Sfilab16,22.40,4-20200812200643400
B1GuZVwsi-,4-20200812200200959,4,20200812T200200,68117,4-20200812200200959,20200812T200200,20220812T200200,5,Sfilab16,22.40,4-20200812200200959
B1GuZVwsi-,4-20200812195637046,4,20200812T195637,68116,4-20200812195637045,20200812T195637,20220812T195637,5,Sfilab16,22.30,4-20200812195637046
B1GuZVwsi-,4-20200812195155601,4,20200812T195155,68115,4-20200812195155601,20200812T195155,20220812T195155,5,Sfilab16,22.30,4-20200812195155601
B1GuZVwsi-,4-20200812194627699,4,20200812T194627,68114,4-20200812194627699,20200812T194627,20220812T194627,5,Sfilab16,22.30,4-20200812194627699
B1GuZVwsi-,4-20200812194102217,4,20200812T194102,68113,4-20200812194102216,20200812T194102,20220812T194102,5,Sfilab16,22.30,4-20200812194102217
B1GuZVwsi-,4-20200812193533298,4,20200812T193533,68112,4-20200812193533297,20200812T193533,20220812T193533,5,Sfilab16,22.20,4-20200812193533298
B1GuZVwsi-,4-20200812193050858,4,20200812T193050,68111,4-20200812193050858,20200812T193050,20220812T193050,5,Sfilab16,22.20,4-20200812193050858
B1GuZVwsi-,4-20200812192523940,4,20200812T192523,68110,4-20200812192523940,20200812T192523,20220812T192523,5,Sfilab16,22.10,4-20200812192523940
B1GuZVwsi-,4-20200812192044503,4,20200812T192044,68109,4-20200812192044503,20200812T192044,20220812T192044,5,Sfilab16,22.10,4-20200812192044503
B1GuZVwsi-,4-20200812191517586,4,20200812T191517,68108,4-20200812191517586,20200812T191517,20220812T191517,5,Sfilab16,22.10,4-20200812191517586
B1GuZVwsi-,4-20200812191032144,4,20200812T191032,68107,4-20200812191032143,20200812T191032,20220812T191032,5,Sfilab16,22.00,4-20200812191032144
B1GuZVwsi-,4-20200812190507227,4,20200812T190507,68106,4-20200812190507227,20200812T190507,20220812T190507,5,Sfilab16,22.00,4-20200812190507227
