pi,ri,ty,ct,st,rn,lt,et,cs,cr,con
HkLSzEwjiW,4-20200813000704609,4,20200813T000704,65750,4-20200813000704608,20200813T000704,20220813T000704,6,Sfilab09,484.78,4-20200813000704609
HkLSzEwjiW,4-20200813000155458,4,20200813T000155,65749,4-20200813000155458,20200813T000155,20220813T000155,6,Sfilab09,134.56,4-20200813000155458
HkLSzEwjiW,4-20200812235649256,4,20200812T235649,65748,4-20200812235649256,20200812T235649,20220812T235649,6,Sfilab09,159.28,4-20200812235649256
HkLSzEwjiW,4-20200812235149084,4,20200812T235149,65747,4-20200812235149084,20200812T235149,20220812T235149,6,Sfilab09,120.25,4-20200812235149084
HkLSzEwjiW,4-20200812234645909,4,20200812T234645,65746,4-20200812234645909,20200812T234645,20220812T234645,6,Sfilab09,109.90,4-20200812234645909
HkLSzEwjiW,4-20200812234144736,4,20200812T234144,65745,4-20200812234144736,20200812T234144,20220812T234144,6,Sfilab09,102.74,4-20200812234144736
HkLSzEwjiW,4-20200812233641571,4,20200812T233641,65744,4-20200812233641571,20200812T233641,20220812T233641,5,Sfilab09,77.56,4-20200812233641571
HkLSzEwjiW,4-20200812233132382,4,20200812T233132,65743,4-20200812233132382,20200812T233132,20220812T233132,5,Sfilab09,52.33,4-20200812233132382
HkLSzEwjiW,4-20200812232632210,4,20200812T232632,65742,4-20200812232632210,20200812T232632,20220812T232632,5,Sfilab09,67.01,4-20200812232632210
HkLSzEwjiW,4-20200812232212056,4,20200812T232212,65741,4-20200812232212056,20200812T232212,20220812T232212,5,Sfilab09,74.15,4-20200812232212056
HkLSzEwjiW,4-20200812231650873,4,20200812T231650,65740,4-20200812231650873,20200812T231650,20220812T231650,5,Sfilab09,73.32,4-20200812231650873
HkLSzEwjiW,4-20200812231113687,4,20200812T231113,65739,4-20200812231113687,20200812T231113,20220812T231113,6,Sfilab09,103.90,4-20200812231113687
HkLSzEwjiW,4-20200812230654534,4,20200812T230654,65738,4-20200812230654534,20200812T230654,20220812T230654,6,Sfilab09,117.57,4-20200812230654534
HkLSzEwjiW,4-20200812230119344,4,20200812T230119,65737,4-20200812230119343,20200812T230119,20220812T230119,6,Sfilab09,112.40,4-20200812230119344
HkLSzEwjiW,4-20200812225601167,4,20200812T225601,65736,4-20200812225601167,20200812T225601,20220812T225601,6,Sfilab09,121.61,4-20200812225601167
HkLSzEwjiW,4-20200812225056995,4,20200812T225056,65735,4-20200812225056995,20200812T225056,20220812T225056,5,Sfilab09,82.05,4-20200812225056995
HkLSzEwjiW,4-20200812224551819,4,20200812T224551,65734,4-20200812224551819,20200812T224551,20220812T224551,5,Sfilab09,83.91,4-20200812224551819
HkLSzEwjiW,4-20200812224042641,4,20200812T224042,65733,4-20200812224042641,20200812T224042,20220812T224042,5,Sfilab09,86.79,4-20200812224042641
HkLSzEwjiW,4-20200812223541479,4,20200812T223541,65732,4-20200812223541478,20200812T223541,20220812T223541,6,Sfilab09,109.90,4-20200812223541479
HkLSzEwjiW,4-20200812223034291,4,20200812T223034,65731,4-20200812223034291,20200812T223034,20220812T223034,6,Sfilab09,418.86,4-20200812223034291
HkLSzEwjiW,4-20200812222526113,4,20200812T222526,65730,4-20200812222526113,20200812T222526,20220812T222526,6,Sfilab09,378.55,4-20200812222526113
HkLSzEwjiW,4-20200812222019937,4,20200812T222019,65729,4-20200812222019937,20200812T222019,20220812T222019,5,Sfilab09,48.37,4-20200812222019937
HkLSzEwjiW,4-20200812221512760,4,20200812T221512,65728,4-20200812221512760,20200812T221512,20220812T221512,5,Sfilab09,43.71,4-20200812221512760
HkLSzEwjiW,4-20200812221004582,4,20200812T221004,65727,4-20200812221004582,20200812T221004,20220812T221004,5,Sfilab09,40.41,4-20200812221004582
HkLSzEwjiW,4-20200812220502409,4,20200812T220502,65726,4-20200812220502408,20200812T220502,20220812T220502,5,Sfilab09,38.63,4-20200812220502409
HkLSzEwjiW,4-20200812220000250,4,20200812T220000,65725,4-20200812220000249,20200812T220000,20220812T220000,5,Sfilab09,53.52,4-20200812220000250
HkLSzEwjiW,4-20200812215500061,4,20200812T215500,65724,4-20200812215500061,20200812T215500,20220812T215500,5,Sfilab09,75.84,4-20200812215500061
HkLSzEwjiW,4-20200812215040906,4,20200812T215040,65723,4-20200812215040906,20200812T215040,20220812T215040,5,Sfilab09,77.56,4-20200812215040906
HkLSzEwjiW,4-20200812214450710,4,20200812T214450,65722,4-20200812214450709,20200812T214450,20220812T214450,5,Sfilab09,86.79,4-20200812214450710
HkLSzEwjiW,4-20200812213945541,4,20200812T213945,65721,4-20200812213945541,20200812T213945,20220812T213945,5,Sfilab09,82.05,4-20200812213945541
HkLSzEwjiW,4-20200812213440358,4,20200812T213440,65720,4-20200812213440358,20200812T213440,20220812T213440,5,Sfilab09,60.57,4-20200812213440358
HkLSzEwjiW,4-20200812212934181,4,20200812T212934,65719,4-20200812212934181,20200812T212934,20220812T212934,5,Sfilab09,39.07,4-20200812212934181
HkLSzEwjiW,4-20200812212429005,4,20200812T212429,65718,4-20200812212429005,20200812T212429,20220812T212429,5,Sfilab09,23.82,4-20200812212429005
HkLSzEwjiW,4-20200812211923831,4,20200812T211923,65717,4-20200812211923831,20200812T211923,20220812T211923,5,Sfilab09,15.89,4-20200812211923831
HkLSzEwjiW,4-20200812211500675,4,20200812T211500,65716,4-20200812211500674,20200812T211500,20220812T211500,5,Sfilab09,10.84,4-20200812211500675
HkLSzEwjiW,4-20200812210930485,4,20200812T210930,65715,4-20200812210930484,20200812T210930,20220812T210930,5,Sfilab09,11.34,4-20200812210930485
HkLSzEwjiW,4-20200812210455326,4,20200812T210455,65714,4-20200812210455326,20200812T210455,20220812T210455,4,Sfilab09,8.09,4-20200812210455326
HkLSzEwjiW,4-20200812205931142,4,20200812T205931,65713,4-20200812205931142,20200812T205931,20220812T205931,4,Sfilab09,7.65,4-20200812205931142
HkLSzEwjiW,4-20200812205414961,4,20200812T205414,65712,4-20200812205414961,20200812T205414,20220812T205414,4,Sfilab09,6.76,4-20200812205414961
HkLSzEwjiW,4-20200812204937801,4,20200812T204937,65711,4-20200812204937801,20200812T204937,20220812T204937,4,Sfilab09,4.77,4-20200812204937801
HkLSzEwjiW,4-20200812204419618,4,20200812T204419,65710,4-20200812204419618,20200812T204419,20220812T204419,4,Sfilab09,4.26,4-20200812204419618
HkLSzEwjiW,4-20200812203902435,4,20200812T203902,65709,4-20200812203902435,20200812T203902,20220812T203902,4,Sfilab09,3.29,4-20200812203902435
HkLSzEwjiW,4-20200812203430278,4,20200812T203430,65708,4-20200812203430277,20200812T203430,20220812T203430,4,Sfilab09,2.69,4-20200812203430278
HkLSzEwjiW,4-20200812202906091,4,20200812T202906,65707,4-20200812202906091,20200812T202906,20220812T202906,4,Sfilab09,2.27,4-20200812202906091
HkLSzEwjiW,4-20200812202348910,4,20200812T202348,65706,4-20200812202348910,20200812T202348,20220812T202348,4,Sfilab09,2.12,4-20200812202348910
HkLSzEwjiW,4-20200812201917754,4,20200812T201917,65705,4-20200812201917754,20200812T201917,20220812T201917,4,Sfilab09,2.01,4-20200812201917754
HkLSzEwjiW,4-20200812201326556,4,20200812T201326,65704,4-20200812201326556,20200812T201326,20220812T201326,4,Sfilab09,1.88,4-20200812201326556
HkLSzEwjiW,4-20200812200824383,4,20200812T200824,65703,4-20200812200824383,20200812T200824,20220812T200824,4,Sfilab09,1.96,4-20200812200824383
HkLSzEwjiW,4-20200812200319206,4,20200812T200319,65702,4-20200812200319205,20200812T200319,20220812T200319,4,Sfilab09,1.92,4-20200812200319206
HkLSzEwjiW,4-20200812195817031,4,20200812T195817,65701,4-20200812195817031,20200812T195817,20220812T195817,4,Sfilab09,2.08,4-20200812195817031
HkLSzEwjiW,4-20200812195324858,4,20200812T195324,65700,4-20200812195324858,20200812T195324,20220812T195324,4,Sfilab09,1.88,4-20200812195324858
HkLSzEwjiW,4-20200812194845698,4,20200812T194845,65699,4-20200812194845698,20200812T194845,20220812T194845,4,Sfilab09,1.94,4-20200812194845698
HkLSzEwjiW,4-20200812194324512,4,20200812T194324,65698,4-20200812194324512,20200812T194324,20220812T194324,4,Sfilab09,2.03,4-20200812194324512
HkLSzEwjiW,4-20200812193800325,4,20200812T193800,65697,4-20200812193800325,20200812T193800,20220812T193800,4,Sfilab09,1.92,4-20200812193800325
HkLSzEwjiW,4-20200812193326166,4,20200812T193326,65696,4-20200812193326166,20200812T193326,20220812T193326,4,Sfilab09,1.94,4-20200812193326166
HkLSzEwjiW,4-20200812192810990,4,20200812T192810,65695,4-20200812192810989,20200812T192810,20220812T192810,4,Sfilab09,1.96,4-20200812192810990
HkLSzEwjiW,4-20200812192251802,4,20200812T192251,65694,4-20200812192251802,20200812T192251,20220812T192251,4,Sfilab09,2.05,4-20200812192251802
HkLSzEwjiW,4-20200812191733624,4,20200812T191733,65693,4-20200812191733624,20200812T191733,20220812T191733,4,Sfilab09,1.99,4-20200812191733624
HkLSzEwjiW,4-20200812191256458,4,20200812T191256,65692,4-20200812191256458,20200812T191256,20220812T191256,4,Sfilab09,1.79,4-20200812191256458
