pi,ri,ty,ct,st,rn,lt,et,cs,cr,con
SyL4fEPsjZ,4-20200812222706767,4,20200812T222706,69379,4-20200812222706767,20200812T222706,20220812T222706,6,Sfilab07,267.15,4-20200812222706767
SyL4fEPsjZ,4-20200812222234609,4,20200812T222234,69378,4-20200812222234608,20200812T222234,20220812T222234,5,Sfilab07,23.03,4-20200812222234609
SyL4fEPsjZ,4-20200812221644228,4,20200812T221644,69377,4-20200812221644227,20200812T221644,20220812T221644,5,Sfilab07,20.12,4-20200812221644228
SyL4fEPsjZ,4-20200812220636710,4,20200812T220636,69376,4-20200812220636710,20200812T220636,20220812T220636,5,Sfilab07,16.81,4-20200812220636710
SyL4fEPsjZ,4-20200812220127864,4,20200812T220127,69375,4-20200812220127863,20200812T220127,20220812T220127,5,Sfilab07,22.02,4-20200812220127864
SyL4fEPsjZ,4-20200812215626692,4,20200812T215626,69374,4-20200812215626692,20200812T215626,20220812T215626,5,Sfilab07,33.00,4-20200812215626692
SyL4fEPsjZ,4-20200812215117517,4,20200812T215117,69373,4-20200812215117517,20200812T215117,20220812T215117,5,Sfilab07,34.52,4-20200812215117517
SyL4fEPsjZ,4-20200812214615174,4,20200812T214615,69372,4-20200812214615174,20200812T214615,20220812T214615,5,Sfilab07,40.86,4-20200812214615174
SyL4fEPsjZ,4-20200812214111608,4,20200812T214111,69371,4-20200812214111607,20200812T214111,20220812T214111,5,Sfilab07,42.26,4-20200812214111608
SyL4fEPsjZ,4-20200812213608817,4,20200812T213608,69370,4-20200812213608817,20200812T213608,20220812T213608,5,Sfilab07,29.83,4-20200812213608817
SyL4fEPsjZ,4-20200812213059785,4,20200812T213059,69369,4-20200812213059785,20200812T213059,20220812T213059,5,Sfilab07,22.02,4-20200812213059785
SyL4fEPsjZ,4-20200812212555299,4,20200812T212555,69368,4-20200812212555299,20200812T212555,20220812T212555,5,Sfilab07,12.27,4-20200812212555299
SyL4fEPsjZ,4-20200812212048290,4,20200812T212048,69367,4-20200812212048290,20200812T212048,20220812T212048,4,Sfilab07,7.23,4-20200812212048290
SyL4fEPsjZ,4-20200812211544782,4,20200812T211544,69366,4-20200812211544781,20200812T211544,20220812T211544,4,Sfilab07,5.22,4-20200812211544782
SyL4fEPsjZ,4-20200812211044273,4,20200812T211044,69365,4-20200812211044273,20200812T211044,20220812T211044,4,Sfilab07,4.46,4-20200812211044273
SyL4fEPsjZ,4-20200812210537885,4,20200812T210537,69364,4-20200812210537885,20200812T210537,20220812T210537,4,Sfilab07,3.48,4-20200812210537885
SyL4fEPsjZ,4-20200812210036708,4,20200812T210036,69363,4-20200812210036707,20200812T210036,20220812T210036,4,Sfilab07,3.08,4-20200812210036708
SyL4fEPsjZ,4-20200812205030237,4,20200812T205030,69362,4-20200812205030237,20200812T205030,20220812T205030,4,Sfilab07,1.92,4-20200812205030237
SyL4fEPsjZ,4-20200812204544728,4,20200812T204544,69361,4-20200812204544728,20200812T204544,20220812T204544,4,Sfilab07,1.48,4-20200812204544728
SyL4fEPsjZ,4-20200812204024995,4,20200812T204024,69360,4-20200812204024995,20200812T204024,20220812T204024,4,Sfilab07,1.20,4-20200812204024995
SyL4fEPsjZ,4-20200812203551831,4,20200812T203551,69359,4-20200812203551831,20200812T203551,20220812T203551,4,Sfilab07,1.05,4-20200812203551831
SyL4fEPsjZ,4-20200812203035204,4,20200812T203035,69358,4-20200812203035204,20200812T203035,20220812T203035,4,Sfilab07,1.05,4-20200812203035204
SyL4fEPsjZ,4-20200812202558195,4,20200812T202558,69357,4-20200812202558194,20200812T202558,20220812T202558,4,Sfilab07,1.06,4-20200812202558195
SyL4fEPsjZ,4-20200812202008276,4,20200812T202008,69356,4-20200812202008275,20200812T202008,20220812T202008,4,Sfilab07,1.03,4-20200812202008276
SyL4fEPsjZ,4-20200812201519107,4,20200812T201519,69355,4-20200812201519107,20200812T201519,20220812T201519,4,Sfilab07,1.05,4-20200812201519107
SyL4fEPsjZ,4-20200812201047678,4,20200812T201047,69354,4-20200812201047678,20200812T201047,20220812T201047,4,Sfilab07,1.06,4-20200812201047678
SyL4fEPsjZ,4-20200812200609784,4,20200812T200609,69353,4-20200812200609784,20200812T200609,20220812T200609,4,Sfilab07,1.05,4-20200812200609784
SyL4fEPsjZ,4-20200812200010148,4,20200812T200010,69352,4-20200812200010148,20200812T200010,20220812T200010,4,Sfilab07,1.05,4-20200812200010148
SyL4fEPsjZ,4-20200812195619435,4,20200812T195619,69351,4-20200812195619435,20200812T195619,20220812T195619,4,Sfilab07,1.06,4-20200812195619435
SyL4fEPsjZ,4-20200812195014219,4,20200812T195014,69350,4-20200812195014219,20200812T195014,20220812T195014,4,Sfilab07,1.05,4-20200812195014219
SyL4fEPsjZ,4-20200812194453032,4,20200812T194453,69349,4-20200812194453032,20200812T194453,20220812T194453,4,Sfilab07,1.05,4-20200812194453032
SyL4fEPsjZ,4-20200812193934843,4,20200812T193934,69348,4-20200812193934842,20200812T193934,20220812T193934,4,Sfilab07,1.05,4-20200812193934843
SyL4fEPsjZ,4-20200812193427674,4,20200812T193427,69347,4-20200812193427674,20200812T193427,20220812T193427,4,Sfilab07,1.05,4-20200812193427674
SyL4fEPsjZ,4-20200812192922480,4,20200812T192922,69346,4-20200812192922479,20200812T192922,20220812T192922,4,Sfilab07,1.05,4-20200812192922480
SyL4fEPsjZ,4-20200812192422086,4,20200812T192422,69345,4-20200812192422086,20200812T192422,20220812T192422,4,Sfilab07,1.07,4-20200812192422086
SyL4fEPsjZ,4-20200812191912120,4,20200812T191912,69344,4-20200812191912119,20200812T191912,20220812T191912,4,Sfilab07,1.06,4-20200812191912120
SyL4fEPsjZ,4-20200812191411570,4,20200812T191411,69343,4-20200812191411570,20200812T191411,20220812T191411,4,Sfilab07,1.05,4-20200812191411570
SyL4fEPsjZ,4-20200812190907560,4,20200812T190907,69342,4-20200812190907559,20200812T190907,20220812T190907,4,Sfilab07,1.06,4-20200812190907560
SyL4fEPsjZ,4-20200812190358581,4,20200812T190358,69341,4-20200812190358581,20200812T190358,20220812T190358,4,Sfilab07,1.05,4-20200812190358581
SyL4fEPsjZ,4-20200812185858403,4,20200812T185858,69340,4-20200812185858403,20200812T185858,20220812T185858,4,Sfilab07,1.06,4-20200812185858403
SyL4fEPsjZ,4-20200812185355013,4,20200812T185355,69339,4-20200812185355012,20200812T185355,20220812T185355,4,Sfilab07,1.06,4-20200812185355013
SyL4fEPsjZ,4-20200812184850043,4,20200812T184850,69338,4-20200812184850043,20200812T184850,20220812T184850,4,Sfilab07,1.05,4-20200812184850043
SyL4fEPsjZ,4-20200812184359874,4,20200812T184359,69337,4-20200812184359873,20200812T184359,20220812T184359,4,Sfilab07,1.06,4-20200812184359874
SyL4fEPsjZ,4-20200812183924988,4,20200812T183924,69336,4-20200812183924988,20200812T183924,20220812T183924,4,Sfilab07,1.06,4-20200812183924988
SyL4fEPsjZ,4-20200812183451551,4,20200812T183451,69335,4-20200812183451551,20200812T183451,20220812T183451,4,Sfilab07,1.05,4-20200812183451551
SyL4fEPsjZ,4-20200812182931359,4,20200812T182931,69334,4-20200812182931359,20200812T182931,20220812T182931,4,Sfilab07,1.05,4-20200812182931359
SyL4fEPsjZ,4-20200812182452197,4,20200812T182452,69333,4-20200812182452197,20200812T182452,20220812T182452,4,Sfilab07,1.05,4-20200812182452197
SyL4fEPsjZ,4-20200812181930005,4,20200812T181930,69332,4-20200812181930005,20200812T181930,20220812T181930,4,Sfilab07,1.05,4-20200812181930005
SyL4fEPsjZ,4-20200812181410444,4,20200812T181410,69331,4-20200812181410444,20200812T181410,20220812T181410,4,Sfilab07,1.05,4-20200812181410444
SyL4fEPsjZ,4-20200812180851630,4,20200812T180851,69330,4-20200812180851629,20200812T180851,20220812T180851,4,Sfilab07,1.06,4-20200812180851630
SyL4fEPsjZ,4-20200812180331440,4,20200812T180331,69329,4-20200812180331440,20200812T180331,20220812T180331,4,Sfilab07,1.05,4-20200812180331440
SyL4fEPsjZ,4-20200812175856278,4,20200812T175856,69328,4-20200812175856278,20200812T175856,20220812T175856,4,Sfilab07,1.06,4-20200812175856278
SyL4fEPsjZ,4-20200812175422900,4,20200812T175422,69327,4-20200812175422900,20200812T175422,20220812T175422,4,Sfilab07,1.07,4-20200812175422900
SyL4fEPsjZ,4-20200812174857924,4,20200812T174857,69326,4-20200812174857924,20200812T174857,20220812T174857,4,Sfilab07,1.06,4-20200812174857924
SyL4fEPsjZ,4-20200812174340383,4,20200812T174340,69325,4-20200812174340382,20200812T174340,20220812T174340,4,Sfilab07,1.05,4-20200812174340383
SyL4fEPsjZ,4-20200812173856373,4,20200812T173856,69324,4-20200812173856373,20200812T173856,20220812T173856,4,Sfilab07,1.06,4-20200812173856373
SyL4fEPsjZ,4-20200812173334382,4,20200812T173334,69323,4-20200812173334382,20200812T173334,20220812T173334,4,Sfilab07,1.05,4-20200812173334382
SyL4fEPsjZ,4-20200812172812355,4,20200812T172812,69322,4-20200812172812355,20200812T172812,20220812T172812,4,Sfilab07,1.05,4-20200812172812355
SyL4fEPsjZ,4-20200812172336848,4,20200812T172336,69321,4-20200812172336847,20200812T172336,20220812T172336,4,Sfilab07,1.05,4-20200812172336848
SyL4fEPsjZ,4-20200812171805829,4,20200812T171805,69320,4-20200812171805829,20200812T171805,20220812T171805,4,Sfilab07,1.03,4-20200812171805829
SyL4fEPsjZ,4-20200812171326667,4,20200812T171326,69319,4-20200812171326667,20200812T171326,20220812T171326,4,Sfilab07,1.06,4-20200812171326667
SyL4fEPsjZ,4-20200812170724329,4,20200812T170724,69318,4-20200812170724329,20200812T170724,20220812T170724,4,Sfilab07,1.06,4-20200812170724329
SyL4fEPsjZ,4-20200812170325313,4,20200812T170325,69317,4-20200812170325313,20200812T170325,20220812T170325,4,Sfilab07,1.05,4-20200812170325313
SyL4fEPsjZ,4-20200812165801803,4,20200812T165801,69316,4-20200812165801803,20200812T165801,20220812T165801,6,Sfilab07,215.77,4-20200812165801803
SyL4fEPsjZ,4-20200812165320796,4,20200812T165320,69315,4-20200812165320796,20200812T165320,20220812T165320,6,Sfilab07,215.77,4-20200812165320796
SyL4fEPsjZ,4-20200812164753770,4,20200812T164753,69314,4-20200812164753770,20200812T164753,20220812T164753,6,Sfilab07,238.74,4-20200812164753770
SyL4fEPsjZ,4-20200812164312602,4,20200812T164312,69313,4-20200812164312602,20200812T164312,20220812T164312,6,Sfilab07,228.24,4-20200812164312602
SyL4fEPsjZ,4-20200812163749413,4,20200812T163749,69312,4-20200812163749413,20200812T163749,20220812T163749,6,Sfilab07,197.21,4-20200812163749413
SyL4fEPsjZ,4-20200812163233749,4,20200812T163233,69311,4-20200812163233749,20200812T163233,20220812T163233,6,Sfilab07,228.24,4-20200812163233749
SyL4fEPsjZ,4-20200812162754063,4,20200812T162754,69310,4-20200812162754062,20200812T162754,20220812T162754,6,Sfilab07,220.67,4-20200812162754063
SyL4fEPsjZ,4-20200812162235733,4,20200812T162235,69309,4-20200812162235733,20200812T162235,20220812T162235,6,Sfilab07,228.24,4-20200812162235733
SyL4fEPsjZ,4-20200812161719224,4,20200812T161719,69308,4-20200812161719224,20200812T161719,20220812T161719,6,Sfilab07,215.77,4-20200812161719224
SyL4fEPsjZ,4-20200812161240196,4,20200812T161240,69307,4-20200812161240196,20200812T161240,20220812T161240,6,Sfilab07,223.17,4-20200812161240196
SyL4fEPsjZ,4-20200812160723188,4,20200812T160723,69306,4-20200812160723187,20200812T160723,20220812T160723,6,Sfilab07,218.21,4-20200812160723188
SyL4fEPsjZ,4-20200812160206153,4,20200812T160206,69305,4-20200812160206152,20200812T160206,20220812T160206,6,Sfilab07,220.67,4-20200812160206153
SyL4fEPsjZ,4-20200812155722672,4,20200812T155722,69304,4-20200812155722671,20200812T155722,20220812T155722,6,Sfilab07,206.28,4-20200812155722672
SyL4fEPsjZ,4-20200812155159661,4,20200812T155159,69303,4-20200812155159660,20200812T155159,20220812T155159,6,Sfilab07,208.61,4-20200812155159661
SyL4fEPsjZ,4-20200812154638154,4,20200812T154638,69302,4-20200812154638152,20200812T154638,20220812T154638,6,Sfilab07,210.97,4-20200812154638154
SyL4fEPsjZ,4-20200812154159145,4,20200812T154159,69301,4-20200812154159145,20200812T154159,20220812T154159,6,Sfilab07,220.67,4-20200812154159145
SyL4fEPsjZ,4-20200812153640135,4,20200812T153640,69300,4-20200812153640134,20200812T153640,20220812T153640,6,Sfilab07,206.28,4-20200812153640135
SyL4fEPsjZ,4-20200812153120082,4,20200812T153120,69299,4-20200812153120081,20200812T153120,20220812T153120,6,Sfilab07,225.69,4-20200812153120082
SyL4fEPsjZ,4-20200812152640905,4,20200812T152640,69298,4-20200812152640905,20200812T152640,20220812T152640,6,Sfilab07,203.97,4-20200812152640905
SyL4fEPsjZ,4-20200812152112712,4,20200812T152112,69297,4-20200812152112711,20200812T152112,20220812T152112,6,Sfilab07,208.61,4-20200812152112712
SyL4fEPsjZ,4-20200812151638100,4,20200812T151638,69296,4-20200812151638100,20200812T151638,20220812T151638,6,Sfilab07,223.17,4-20200812151638100
SyL4fEPsjZ,4-20200812151113363,4,20200812T151113,69295,4-20200812151113362,20200812T151113,20220812T151113,6,Sfilab07,215.77,4-20200812151113363
SyL4fEPsjZ,4-20200812150623219,4,20200812T150623,69294,4-20200812150623219,20200812T150623,20220812T150623,6,Sfilab07,225.69,4-20200812150623219
SyL4fEPsjZ,4-20200812150101574,4,20200812T150101,69293,4-20200812150101574,20200812T150101,20220812T150101,6,Sfilab07,203.97,4-20200812150101574
SyL4fEPsjZ,4-20200812145614566,4,20200812T145614,69292,4-20200812145614565,20200812T145614,20220812T145614,6,Sfilab07,210.97,4-20200812145614566
SyL4fEPsjZ,4-20200812145054647,4,20200812T145054,69291,4-20200812145054647,20200812T145054,20220812T145054,6,Sfilab07,233.43,4-20200812145054647
SyL4fEPsjZ,4-20200812144606049,4,20200812T144606,69290,4-20200812144606048,20200812T144606,20220812T144606,6,Sfilab07,228.24,4-20200812144606049
SyL4fEPsjZ,4-20200812144042296,4,20200812T144042,69289,4-20200812144042295,20200812T144042,20220812T144042,6,Sfilab07,220.67,4-20200812144042296
SyL4fEPsjZ,4-20200812143556031,4,20200812T143556,69288,4-20200812143556030,20200812T143556,20220812T143556,6,Sfilab07,233.43,4-20200812143556031
SyL4fEPsjZ,4-20200812143033522,4,20200812T143033,69287,4-20200812143033521,20200812T143033,20220812T143033,6,Sfilab07,225.69,4-20200812143033522
SyL4fEPsjZ,4-20200812142633514,4,20200812T142633,69286,4-20200812142633514,20200812T142633,20220812T142633,6,Sfilab07,228.24,4-20200812142633514
SyL4fEPsjZ,4-20200812142026451,4,20200812T142026,69285,4-20200812142026451,20200812T142026,20220812T142026,6,Sfilab07,233.43,4-20200812142026451
SyL4fEPsjZ,4-20200812141537476,4,20200812T141537,69284,4-20200812141537476,20200812T141537,20220812T141537,6,Sfilab07,206.28,4-20200812141537476
SyL4fEPsjZ,4-20200812141059468,4,20200812T141059,69283,4-20200812141059468,20200812T141059,20220812T141059,6,Sfilab07,210.97,4-20200812141059468
SyL4fEPsjZ,4-20200812140614959,4,20200812T140614,69282,4-20200812140614959,20200812T140614,20220812T140614,6,Sfilab07,225.69,4-20200812140614959
SyL4fEPsjZ,4-20200812140056453,4,20200812T140056,69281,4-20200812140056452,20200812T140056,20220812T140056,6,Sfilab07,210.97,4-20200812140056453
SyL4fEPsjZ,4-20200812135607719,4,20200812T135607,69280,4-20200812135607719,20200812T135607,20220812T135607,6,Sfilab07,213.35,4-20200812135607719
SyL4fEPsjZ,4-20200812135045177,4,20200812T135045,69279,4-20200812135045176,20200812T135045,20220812T135045,6,Sfilab07,218.21,4-20200812135045177
SyL4fEPsjZ,4-20200812134554926,4,20200812T134554,69278,4-20200812134554926,20200812T134554,20220812T134554,6,Sfilab07,223.17,4-20200812134554926
SyL4fEPsjZ,4-20200812133950019,4,20200812T133950,69277,4-20200812133950019,20200812T133950,20220812T133950,6,Sfilab07,220.67,4-20200812133950019
SyL4fEPsjZ,4-20200812133445842,4,20200812T133445,69276,4-20200812133445842,20200812T133445,20220812T133445,6,Sfilab07,225.69,4-20200812133445842
SyL4fEPsjZ,4-20200812132955793,4,20200812T132955,69275,4-20200812132955792,20200812T132955,20220812T132955,6,Sfilab07,213.35,4-20200812132955793
SyL4fEPsjZ,4-20200812132513890,4,20200812T132513,69274,4-20200812132513890,20200812T132513,20220812T132513,6,Sfilab07,213.35,4-20200812132513890
SyL4fEPsjZ,4-20200812131943883,4,20200812T131943,69273,4-20200812131943883,20200812T131943,20220812T131943,6,Sfilab07,220.67,4-20200812131943883
SyL4fEPsjZ,4-20200812131501873,4,20200812T131501,69272,4-20200812131501872,20200812T131501,20220812T131501,6,Sfilab07,218.21,4-20200812131501873
SyL4fEPsjZ,4-20200812131018864,4,20200812T131018,69271,4-20200812131018864,20200812T131018,20220812T131018,6,Sfilab07,223.17,4-20200812131018864
SyL4fEPsjZ,4-20200812130418765,4,20200812T130418,69270,4-20200812130418765,20200812T130418,20220812T130418,6,Sfilab07,225.69,4-20200812130418765
SyL4fEPsjZ,4-20200812130001737,4,20200812T130001,69269,4-20200812130001737,20200812T130001,20220812T130001,6,Sfilab07,208.61,4-20200812130001737
SyL4fEPsjZ,4-20200812125417837,4,20200812T125417,69268,4-20200812125417837,20200812T125417,20220812T125417,6,Sfilab07,223.17,4-20200812125417837
SyL4fEPsjZ,4-20200812124901226,4,20200812T124901,69267,4-20200812124901226,20200812T124901,20220812T124901,6,Sfilab07,213.35,4-20200812124901226
SyL4fEPsjZ,4-20200812124402173,4,20200812T124402,69266,4-20200812124402173,20200812T124402,20220812T124402,6,Sfilab07,230.82,4-20200812124402173
SyL4fEPsjZ,4-20200812123859835,4,20200812T123859,69265,4-20200812123859834,20200812T123859,20220812T123859,6,Sfilab07,213.35,4-20200812123859835
SyL4fEPsjZ,4-20200812123355801,4,20200812T123355,69264,4-20200812123355801,20200812T123355,20220812T123355,6,Sfilab07,223.17,4-20200812123355801
SyL4fEPsjZ,4-20200812122848293,4,20200812T122848,69263,4-20200812122848292,20200812T122848,20220812T122848,6,Sfilab07,230.82,4-20200812122848293
SyL4fEPsjZ,4-20200812122346350,4,20200812T122346,69262,4-20200812122346348,20200812T122346,20220812T122346,6,Sfilab07,236.07,4-20200812122346350
SyL4fEPsjZ,4-20200812121841290,4,20200812T121841,69261,4-20200812121841290,20200812T121841,20220812T121841,6,Sfilab07,220.67,4-20200812121841290
SyL4fEPsjZ,4-20200812121330767,4,20200812T121330,69260,4-20200812121330766,20200812T121330,20220812T121330,6,Sfilab07,230.82,4-20200812121330767
SyL4fEPsjZ,4-20200812120826915,4,20200812T120826,69259,4-20200812120826915,20200812T120826,20220812T120826,6,Sfilab07,223.17,4-20200812120826915
SyL4fEPsjZ,4-20200812120317615,4,20200812T120317,69258,4-20200812120317615,20200812T120317,20220812T120317,6,Sfilab07,210.97,4-20200812120317615
SyL4fEPsjZ,4-20200812115824565,4,20200812T115824,69257,4-20200812115824565,20200812T115824,20220812T115824,6,Sfilab07,210.97,4-20200812115824565
SyL4fEPsjZ,4-20200812115305253,4,20200812T115305,69256,4-20200812115305252,20200812T115305,20220812T115305,6,Sfilab07,213.35,4-20200812115305253
SyL4fEPsjZ,4-20200812114815207,4,20200812T114815,69255,4-20200812114815207,20200812T114815,20220812T114815,6,Sfilab07,230.82,4-20200812114815207
SyL4fEPsjZ,4-20200812114251013,4,20200812T114251,69254,4-20200812114251012,20200812T114251,20220812T114251,6,Sfilab07,230.82,4-20200812114251013
SyL4fEPsjZ,4-20200812113802855,4,20200812T113802,69253,4-20200812113802854,20200812T113802,20220812T113802,6,Sfilab07,201.69,4-20200812113802855
SyL4fEPsjZ,4-20200812113316698,4,20200812T113316,69252,4-20200812113316697,20200812T113316,20220812T113316,6,Sfilab07,201.69,4-20200812113316698
SyL4fEPsjZ,4-20200812113237655,4,20200812T113237,69251,4-20200812113237655,20200812T113237,20220812T113237,6,Sfilab07,201.69,4-20200812113237655
SyL4fEPsjZ,4-20200812112754691,4,20200812T112754,69250,4-20200812112754691,20200812T112754,20220812T112754,6,Sfilab07,223.17,4-20200812112754691
SyL4fEPsjZ,4-20200812112230175,4,20200812T112230,69249,4-20200812112230175,20200812T112230,20220812T112230,6,Sfilab07,210.97,4-20200812112230175
SyL4fEPsjZ,4-20200812111743132,4,20200812T111743,69248,4-20200812111743131,20200812T111743,20220812T111743,6,Sfilab07,228.24,4-20200812111743132
SyL4fEPsjZ,4-20200812111230662,4,20200812T111230,69247,4-20200812111230662,20200812T111230,20220812T111230,6,Sfilab07,223.17,4-20200812111230662
SyL4fEPsjZ,4-20200812110728654,4,20200812T110728,69246,4-20200812110728653,20200812T110728,20220812T110728,6,Sfilab07,236.07,4-20200812110728654
SyL4fEPsjZ,4-20200812110226594,4,20200812T110226,69245,4-20200812110226593,20200812T110226,20220812T110226,6,Sfilab07,236.07,4-20200812110226594
SyL4fEPsjZ,4-20200812105719293,4,20200812T105719,69244,4-20200812105719292,20200812T105719,20220812T105719,6,Sfilab07,220.67,4-20200812105719293
SyL4fEPsjZ,4-20200812105216118,4,20200812T105216,69243,4-20200812105216117,20200812T105216,20220812T105216,6,Sfilab07,228.24,4-20200812105216118
