pi,ri,ty,ct,st,rn,lt,et,cs,cr,con
B1GlWVDjjW,4-20200813003824231,4,20200813T003824,65829,4-20200813003824230,20200813T003824,20220813T003824,5,Sfilab01,20.90,4-20200813003824231
B1GlWVDjjW,4-20200813003320883,4,20200813T003320,65828,4-20200813003320883,20200813T003320,20220813T003320,5,Sfilab01,21.10,4-20200813003320883
B1GlWVDjjW,4-20200813002818878,4,20200813T002818,65827,4-20200813002818877,20200813T002818,20220813T002818,5,Sfilab01,21.10,4-20200813002818878
B1GlWVDjjW,4-20200813002315709,4,20200813T002315,65826,4-20200813002315708,20200813T002315,20220813T002315,5,Sfilab01,21.20,4-20200813002315709
B1GlWVDjjW,4-20200813001814532,4,20200813T001814,65825,4-20200813001814532,20200813T001814,20220813T001814,5,Sfilab01,21.20,4-20200813001814532
B1GlWVDjjW,4-20200813001306342,4,20200813T001306,65824,4-20200813001306342,20200813T001306,20220813T001306,5,Sfilab01,21.20,4-20200813001306342
B1GlWVDjjW,4-20200813000800257,4,20200813T000800,65823,4-20200813000800256,20200813T000800,20220813T000800,5,Sfilab01,21.40,4-20200813000800257
B1GlWVDjjW,4-20200813000255993,4,20200813T000255,65822,4-20200813000255993,20200813T000255,20220813T000255,5,Sfilab01,21.40,4-20200813000255993
B1GlWVDjjW,4-20200812235752816,4,20200812T235752,65821,4-20200812235752816,20200812T235752,20220812T235752,5,Sfilab01,21.50,4-20200812235752816
B1GlWVDjjW,4-20200812235249642,4,20200812T235249,65820,4-20200812235249642,20200812T235249,20220812T235249,5,Sfilab01,21.50,4-20200812235249642
B1GlWVDjjW,4-20200812234746462,4,20200812T234746,65819,4-20200812234746462,20200812T234746,20220812T234746,5,Sfilab01,21.50,4-20200812234746462
B1GlWVDjjW,4-20200812234246286,4,20200812T234246,65818,4-20200812234246286,20200812T234246,20220812T234246,5,Sfilab01,21.60,4-20200812234246286
B1GlWVDjjW,4-20200812233745110,4,20200812T233745,65817,4-20200812233745110,20200812T233745,20220812T233745,5,Sfilab01,21.60,4-20200812233745110
B1GlWVDjjW,4-20200812233243763,4,20200812T233243,65816,4-20200812233243762,20200812T233243,20220812T233243,5,Sfilab01,21.60,4-20200812233243763
B1GlWVDjjW,4-20200812232737757,4,20200812T232737,65815,4-20200812232737757,20200812T232737,20220812T232737,5,Sfilab01,21.60,4-20200812232737757
B1GlWVDjjW,4-20200812232237581,4,20200812T232237,65814,4-20200812232237581,20200812T232237,20220812T232237,5,Sfilab01,21.70,4-20200812232237581
B1GlWVDjjW,4-20200812231736230,4,20200812T231736,65813,4-20200812231736230,20200812T231736,20220812T231736,5,Sfilab01,21.60,4-20200812231736230
