pi,ri,ty,ct,st,rn,lt,et,cs,cr,con
SkUeM4vosW,4-20200812234049643,4,20200812T234049,67368,4-20200812234049643,20200812T234049,20220812T234049,2,Sfilab16,59,4-20200812234049643
SkUeM4vosW,4-20200812233609754,4,20200812T233609,67367,4-20200812233609754,20200812T233609,20220812T233609,2,Sfilab16,59,4-20200812233609754
SkUeM4vosW,4-20200812233049288,4,20200812T233049,67366,4-20200812233049287,20200812T233049,20220812T233049,2,Sfilab16,59,4-20200812233049288
SkUeM4vosW,4-20200812232605415,4,20200812T232605,67365,4-20200812232605415,20200812T232605,20220812T232605,2,Sfilab16,59,4-20200812232605415
SkUeM4vosW,4-20200812232047215,4,20200812T232047,67364,4-20200812232047214,20200812T232047,20220812T232047,2,Sfilab16,58,4-20200812232047215
SkUeM4vosW,4-20200812231524027,4,20200812T231524,67363,4-20200812231524026,20200812T231524,20220812T231524,2,Sfilab16,58,4-20200812231524027
SkUeM4vosW,4-20200812231045863,4,20200812T231045,67362,4-20200812231045863,20200812T231045,20220812T231045,2,Sfilab16,58,4-20200812231045863
SkUeM4vosW,4-20200812230526677,4,20200812T230526,67361,4-20200812230526677,20200812T230526,20220812T230526,2,Sfilab16,58,4-20200812230526677
SkUeM4vosW,4-20200812230010500,4,20200812T230010,67360,4-20200812230010500,20200812T230010,20220812T230010,2,Sfilab16,58,4-20200812230010500
SkUeM4vosW,4-20200812225536332,4,20200812T225536,67359,4-20200812225536331,20200812T225536,20220812T225536,2,Sfilab16,58,4-20200812225536332
SkUeM4vosW,4-20200812225018147,4,20200812T225018,67358,4-20200812225018146,20200812T225018,20220812T225018,2,Sfilab16,58,4-20200812225018147
SkUeM4vosW,4-20200812224459959,4,20200812T224459,67357,4-20200812224459958,20200812T224459,20220812T224459,2,Sfilab16,59,4-20200812224459959
SkUeM4vosW,4-20200812224027798,4,20200812T224027,67356,4-20200812224027798,20200812T224027,20220812T224027,2,Sfilab16,58,4-20200812224027798
SkUeM4vosW,4-20200812223503609,4,20200812T223503,67355,4-20200812223503609,20200812T223503,20220812T223503,2,Sfilab16,59,4-20200812223503609
SkUeM4vosW,4-20200812222940420,4,20200812T222940,67354,4-20200812222940420,20200812T222940,20220812T222940,2,Sfilab16,59,4-20200812222940420
SkUeM4vosW,4-20200812222505980,4,20200812T222505,67353,4-20200812222505980,20200812T222505,20220812T222505,2,Sfilab16,59,4-20200812222505980
SkUeM4vosW,4-20200812221944070,4,20200812T221944,67352,4-20200812221944070,20200812T221944,20220812T221944,2,Sfilab16,59,4-20200812221944070
