pi,ri,ty,ct,st,rn,lt,et,cs,cr,con
BJGDZ4wjiW,4-20200813013353248,4,20200813T013353,121911,4-20200813013353247,20200813T013353,20220813T013353,5,Sfilab14,21.10,4-20200813013353248
BJGDZ4wjiW,4-20200813012905429,4,20200813T012905,121910,4-20200813012905429,20200813T012905,20220813T012905,5,Sfilab14,21.10,4-20200813012905429
BJGDZ4wjiW,4-20200813012346901,4,20200813T012346,121909,4-20200813012346901,20200813T012346,20220813T012346,5,Sfilab14,21.10,4-20200813012346901
BJGDZ4wjiW,4-20200813011908015,4,20200813T011908,121908,4-20200813011908015,20200813T011908,20220813T011908,5,Sfilab14,21.10,4-20200813011908015
BJGDZ4wjiW,4-20200813011343829,4,20200813T011343,121907,4-20200813011343829,20200813T011343,20220813T011343,5,Sfilab14,21.20,4-20200813011343829
BJGDZ4wjiW,4-20200813010909670,4,20200813T010909,121906,4-20200813010909670,20200813T010909,20220813T010909,5,Sfilab14,21.10,4-20200813010909670
BJGDZ4wjiW,4-20200813010353487,4,20200813T010353,121905,4-20200813010353487,20200813T010353,20220813T010353,5,Sfilab14,21.10,4-20200813010353487
BJGDZ4wjiW,4-20200813005839201,4,20200813T005839,121904,4-20200813005839200,20200813T005839,20220813T005839,5,Sfilab14,21.20,4-20200813005839201
BJGDZ4wjiW,4-20200813005403145,4,20200813T005403,121903,4-20200813005403145,20200813T005403,20220813T005403,5,Sfilab14,21.10,4-20200813005403145
BJGDZ4wjiW,4-20200813004838961,4,20200813T004838,121902,4-20200813004838961,20200813T004838,20220813T004838,5,Sfilab14,21.10,4-20200813004838961
BJGDZ4wjiW,4-20200813004317777,4,20200813T004317,121901,4-20200813004317777,20200813T004317,20220813T004317,5,Sfilab14,21.00,4-20200813004317777
BJGDZ4wjiW,4-20200813003838613,4,20200813T003838,121900,4-20200813003838613,20200813T003838,20220813T003838,5,Sfilab14,21.10,4-20200813003838613
BJGDZ4wjiW,4-20200813003322431,4,20200813T003322,121899,4-20200813003322431,20200813T003322,20220813T003322,5,Sfilab14,21.20,4-20200813003322431
BJGDZ4wjiW,4-20200813002803248,4,20200813T002803,121898,4-20200813002803248,20200813T002803,20220813T002803,5,Sfilab14,21.20,4-20200813002803248
BJGDZ4wjiW,4-20200813002326098,4,20200813T002326,121897,4-20200813002326096,20200813T002326,20220813T002326,5,Sfilab14,21.40,4-20200813002326098
BJGDZ4wjiW,4-20200813001802907,4,20200813T001802,121896,4-20200813001802907,20200813T001802,20220813T001802,5,Sfilab14,21.50,4-20200813001802907
BJGDZ4wjiW,4-20200813001246446,4,20200813T001246,121895,4-20200813001246446,20200813T001246,20220813T001246,5,Sfilab14,21.70,4-20200813001246446
BJGDZ4wjiW,4-20200813000800258,4,20200813T000800,121894,4-20200813000800258,20200813T000800,20220813T000800,5,Sfilab14,21.80,4-20200813000800258
BJGDZ4wjiW,4-20200813000234368,4,20200813T000234,121893,4-20200813000234368,20200813T000234,20220813T000234,5,Sfilab14,21.80,4-20200813000234368
BJGDZ4wjiW,4-20200812235802210,4,20200812T235802,121892,4-20200812235802210,20200812T235802,20220812T235802,5,Sfilab14,21.80,4-20200812235802210
BJGDZ4wjiW,4-20200812235243026,4,20200812T235243,121891,4-20200812235243026,20200812T235243,20220812T235243,5,Sfilab14,21.80,4-20200812235243026
BJGDZ4wjiW,4-20200812234726844,4,20200812T234726,121890,4-20200812234726843,20200812T234726,20220812T234726,5,Sfilab14,21.90,4-20200812234726844
BJGDZ4wjiW,4-20200812234254686,4,20200812T234254,121889,4-20200812234254686,20200812T234254,20220812T234254,5,Sfilab14,21.90,4-20200812234254686
BJGDZ4wjiW,4-20200812233735591,4,20200812T233735,121888,4-20200812233735589,20200812T233735,20220812T233735,5,Sfilab14,21.90,4-20200812233735591
BJGDZ4wjiW,4-20200812233208314,4,20200812T233208,121887,4-20200812233208314,20200812T233208,20220812T233208,5,Sfilab14,21.90,4-20200812233208314
BJGDZ4wjiW,4-20200812232730152,4,20200812T232730,121886,4-20200812232730152,20200812T232730,20220812T232730,5,Sfilab14,21.90,4-20200812232730152
BJGDZ4wjiW,4-20200812232200701,4,20200812T232200,121885,4-20200812232200701,20200812T232200,20220812T232200,5,Sfilab14,21.90,4-20200812232200701
BJGDZ4wjiW,4-20200812231722803,4,20200812T231722,121884,4-20200812231722802,20200812T231722,20220812T231722,5,Sfilab14,21.90,4-20200812231722803
BJGDZ4wjiW,4-20200812231237639,4,20200812T231237,121883,4-20200812231237638,20200812T231237,20220812T231237,5,Sfilab14,21.90,4-20200812231237639
BJGDZ4wjiW,4-20200812230801477,4,20200812T230801,121882,4-20200812230801477,20200812T230801,20220812T230801,5,Sfilab14,21.90,4-20200812230801477
BJGDZ4wjiW,4-20200812230237288,4,20200812T230237,121881,4-20200812230237288,20200812T230237,20220812T230237,5,Sfilab14,21.90,4-20200812230237288
BJGDZ4wjiW,4-20200812225717842,4,20200812T225717,121880,4-20200812225717840,20200812T225717,20220812T225717,5,Sfilab14,21.90,4-20200812225717842
BJGDZ4wjiW,4-20200812225243945,4,20200812T225243,121879,4-20200812225243944,20200812T225243,20220812T225243,5,Sfilab14,21.90,4-20200812225243945
BJGDZ4wjiW,4-20200812224714480,4,20200812T224714,121878,4-20200812224714480,20200812T224714,20220812T224714,5,Sfilab14,21.90,4-20200812224714480
BJGDZ4wjiW,4-20200812224230588,4,20200812T224230,121877,4-20200812224230588,20200812T224230,20220812T224230,5,Sfilab14,21.90,4-20200812224230588
BJGDZ4wjiW,4-20200812223701123,4,20200812T223701,121876,4-20200812223701123,20200812T223701,20220812T223701,5,Sfilab14,21.90,4-20200812223701123
BJGDZ4wjiW,4-20200812223224236,4,20200812T223224,121875,4-20200812223224236,20200812T223224,20220812T223224,5,Sfilab14,21.90,4-20200812223224236
BJGDZ4wjiW,4-20200812222654770,4,20200812T222654,121874,4-20200812222654770,20200812T222654,20220812T222654,5,Sfilab14,21.80,4-20200812222654770
BJGDZ4wjiW,4-20200812222206877,4,20200812T222206,121873,4-20200812222206877,20200812T222206,20220812T222206,5,Sfilab14,21.80,4-20200812222206877
BJGDZ4wjiW,4-20200812221643416,4,20200812T221643,121872,4-20200812221643415,20200812T221643,20220812T221643,5,Sfilab14,21.80,4-20200812221643416
BJGDZ4wjiW,4-20200812221159540,4,20200812T221159,121871,4-20200812221159540,20200812T221159,20220812T221159,5,Sfilab14,21.80,4-20200812221159540
BJGDZ4wjiW,4-20200812220634063,4,20200812T220634,121870,4-20200812220634062,20200812T220634,20220812T220634,5,Sfilab14,21.80,4-20200812220634063
BJGDZ4wjiW,4-20200812220141169,4,20200812T220141,121869,4-20200812220141169,20200812T220141,20220812T220141,5,Sfilab14,21.80,4-20200812220141169
BJGDZ4wjiW,4-20200812215624992,4,20200812T215624,121868,4-20200812215624991,20200812T215624,20220812T215624,5,Sfilab14,21.80,4-20200812215624992
BJGDZ4wjiW,4-20200812215107529,4,20200812T215107,121867,4-20200812215107529,20200812T215107,20220812T215107,5,Sfilab14,21.90,4-20200812215107529
BJGDZ4wjiW,4-20200812214624639,4,20200812T214624,121866,4-20200812214624639,20200812T214624,20220812T214624,5,Sfilab14,21.90,4-20200812214624639
BJGDZ4wjiW,4-20200812214048184,4,20200812T214048,121865,4-20200812214048184,20200812T214048,20220812T214048,5,Sfilab14,21.80,4-20200812214048184
BJGDZ4wjiW,4-20200812213615287,4,20200812T213615,121864,4-20200812213615286,20200812T213615,20220812T213615,5,Sfilab14,21.90,4-20200812213615287
BJGDZ4wjiW,4-20200812213051824,4,20200812T213051,121863,4-20200812213051824,20200812T213051,20220812T213051,5,Sfilab14,21.90,4-20200812213051824
BJGDZ4wjiW,4-20200812212611938,4,20200812T212611,121862,4-20200812212611937,20200812T212611,20220812T212611,5,Sfilab14,21.90,4-20200812212611938
BJGDZ4wjiW,4-20200812212056480,4,20200812T212056,121861,4-20200812212056479,20200812T212056,20220812T212056,5,Sfilab14,22.00,4-20200812212056480
BJGDZ4wjiW,4-20200812211534295,4,20200812T211534,121860,4-20200812211534295,20200812T211534,20220812T211534,5,Sfilab14,22.10,4-20200812211534295
BJGDZ4wjiW,4-20200812211051405,4,20200812T211051,121859,4-20200812211051404,20200812T211051,20220812T211051,5,Sfilab14,22.20,4-20200812211051405
BJGDZ4wjiW,4-20200812210529944,4,20200812T210529,121858,4-20200812210529944,20200812T210529,20220812T210529,5,Sfilab14,22.30,4-20200812210529944
BJGDZ4wjiW,4-20200812210039050,4,20200812T210039,121857,4-20200812210039050,20200812T210039,20220812T210039,5,Sfilab14,22.30,4-20200812210039050
BJGDZ4wjiW,4-20200812205517590,4,20200812T205517,121856,4-20200812205517589,20200812T205517,20220812T205517,5,Sfilab14,22.30,4-20200812205517590
BJGDZ4wjiW,4-20200812205028698,4,20200812T205028,121855,4-20200812205028696,20200812T205028,20220812T205028,5,Sfilab14,22.30,4-20200812205028698
BJGDZ4wjiW,4-20200812204508238,4,20200812T204508,121854,4-20200812204508237,20200812T204508,20220812T204508,5,Sfilab14,22.20,4-20200812204508238
BJGDZ4wjiW,4-20200812204018067,4,20200812T204018,121853,4-20200812204018067,20200812T204018,20220812T204018,5,Sfilab14,22.20,4-20200812204018067
BJGDZ4wjiW,4-20200812203503889,4,20200812T203503,121852,4-20200812203503889,20200812T203503,20220812T203503,5,Sfilab14,22.20,4-20200812203503889
BJGDZ4wjiW,4-20200812203010718,4,20200812T203010,121851,4-20200812203010718,20200812T203010,20220812T203010,5,Sfilab14,22.20,4-20200812203010718
BJGDZ4wjiW,4-20200812202450534,4,20200812T202450,121850,4-20200812202450534,20200812T202450,20220812T202450,5,Sfilab14,22.20,4-20200812202450534
BJGDZ4wjiW,4-20200812202004368,4,20200812T202004,121849,4-20200812202004367,20200812T202004,20220812T202004,5,Sfilab14,22.20,4-20200812202004368
BJGDZ4wjiW,4-20200812201443182,4,20200812T201443,121848,4-20200812201443181,20200812T201443,20220812T201443,5,Sfilab14,22.20,4-20200812201443182
BJGDZ4wjiW,4-20200812200952288,4,20200812T200952,121847,4-20200812200952287,20200812T200952,20220812T200952,5,Sfilab14,22.10,4-20200812200952288
BJGDZ4wjiW,4-20200812200433830,4,20200812T200433,121846,4-20200812200433830,20200812T200433,20220812T200433,5,Sfilab14,22.10,4-20200812200433830
BJGDZ4wjiW,4-20200812195944663,4,20200812T195944,121845,4-20200812195944663,20200812T195944,20220812T195944,5,Sfilab14,22.10,4-20200812195944663
