pi,ri,ty,ct,st,rn,lt,et,cs,cr,con
SJ8NZVvos-,4-20200813005514987,4,20200813T005514,64725,4-20200813005514987,20200813T005514,20220813T005514,5,Sfilab09,21.20,4-20200813005514987
SJ8NZVvos-,4-20200813004927338,4,20200813T004927,64724,4-20200813004927338,20200813T004927,20220813T004927,5,Sfilab09,21.20,4-20200813004927338
SJ8NZVvos-,4-20200813004421160,4,20200813T004421,64723,4-20200813004421160,20200813T004421,20220813T004421,5,Sfilab09,21.30,4-20200813004421160
SJ8NZVvos-,4-20200813004001467,4,20200813T004001,64722,4-20200813004001466,20200813T004001,20220813T004001,5,Sfilab09,21.40,4-20200813004001467
SJ8NZVvos-,4-20200813003411811,4,20200813T003411,64721,4-20200813003411811,20200813T003411,20220813T003411,5,Sfilab09,21.50,4-20200813003411811
SJ8NZVvos-,4-20200813002906636,4,20200813T002906,64720,4-20200813002906636,20200813T002906,20220813T002906,5,Sfilab09,21.60,4-20200813002906636
SJ8NZVvos-,4-20200813002400464,4,20200813T002400,64719,4-20200813002400464,20200813T002400,20220813T002400,5,Sfilab09,21.80,4-20200813002400464
SJ8NZVvos-,4-20200813001853302,4,20200813T001853,64718,4-20200813001853302,20200813T001853,20220813T001853,5,Sfilab09,22.00,4-20200813001853302
SJ8NZVvos-,4-20200813001345111,4,20200813T001345,64717,4-20200813001345111,20200813T001345,20220813T001345,5,Sfilab09,22.30,4-20200813001345111
SJ8NZVvos-,4-20200813000844940,4,20200813T000844,64716,4-20200813000844940,20200813T000844,20220813T000844,5,Sfilab09,22.30,4-20200813000844940
SJ8NZVvos-,4-20200813000338761,4,20200813T000338,64715,4-20200813000338761,20200813T000338,20220813T000338,5,Sfilab09,22.30,4-20200813000338761
SJ8NZVvos-,4-20200812235829585,4,20200812T235829,64714,4-20200812235829585,20200812T235829,20220812T235829,5,Sfilab09,22.40,4-20200812235829585
SJ8NZVvos-,4-20200812235324409,4,20200812T235324,64713,4-20200812235324409,20200812T235324,20220812T235324,5,Sfilab09,22.40,4-20200812235324409
SJ8NZVvos-,4-20200812234820235,4,20200812T234820,64712,4-20200812234820234,20200812T234820,20220812T234820,5,Sfilab09,22.40,4-20200812234820235
SJ8NZVvos-,4-20200812234314788,4,20200812T234314,64711,4-20200812234314787,20200812T234314,20220812T234314,5,Sfilab09,22.40,4-20200812234314788
SJ8NZVvos-,4-20200812233809704,4,20200812T233809,64710,4-20200812233809703,20200812T233809,20220812T233809,5,Sfilab09,22.40,4-20200812233809704
