pi,ri,ty,ct,st,rn,lt,et,cs,cr,con
rkGqMVPisW,4-20200812220628633,4,20200812T220628,65306,4-20200812220628633,20200812T220628,20220812T220628,7,Sfilab01,1956189,4-20200812220628633
rkGqMVPisW,4-20200812220138556,4,20200812T220138,65305,4-20200812220138556,20200812T220138,20220812T220138,7,Sfilab01,1728131,4-20200812220138556
rkGqMVPisW,4-20200812215622281,4,20200812T215622,65304,4-20200812215622281,20200812T215622,20220812T215622,7,Sfilab01,1982193,4-20200812215622281
rkGqMVPisW,4-20200812215115036,4,20200812T215115,65303,4-20200812215115035,20200812T215115,20220812T215115,7,Sfilab01,1882559,4-20200812215115036
rkGqMVPisW,4-20200812214656028,4,20200812T214656,65302,4-20200812214656027,20200812T214656,20220812T214656,7,Sfilab01,1657061,4-20200812214656028
rkGqMVPisW,4-20200812214106515,4,20200812T214106,65301,4-20200812214106515,20200812T214106,20220812T214106,7,Sfilab01,2011391,4-20200812214106515
rkGqMVPisW,4-20200812213644486,4,20200812T213644,65300,4-20200812213644486,20200812T213644,20220812T213644,7,Sfilab01,1669619,4-20200812213644486
rkGqMVPisW,4-20200812213057974,4,20200812T213057,65299,4-20200812213057974,20200812T213057,20220812T213057,7,Sfilab01,1352433,4-20200812213057974
rkGqMVPisW,4-20200812212550204,4,20200812T212550,65298,4-20200812212550204,20200812T212550,20220812T212550,7,Sfilab01,1631869,4-20200812212550204
rkGqMVPisW,4-20200812212116954,4,20200812T212116,65297,4-20200812212116954,20200812T212116,20220812T212116,7,Sfilab01,1698935,4-20200812212116954
rkGqMVPisW,4-20200812211607139,4,20200812T211607,65296,4-20200812211607138,20200812T211607,20220812T211607,7,Sfilab01,1540583,4-20200812211607139
rkGqMVPisW,4-20200812211106962,4,20200812T211106,65295,4-20200812211106962,20200812T211106,20220812T211106,7,Sfilab01,1529088,4-20200812211106962
rkGqMVPisW,4-20200812210557780,4,20200812T210557,65294,4-20200812210557780,20200812T210557,20220812T210557,6,Sfilab01,649799,4-20200812210557780
rkGqMVPisW,4-20200812210111619,4,20200812T210111,65293,4-20200812210111619,20200812T210111,20220812T210111,7,Sfilab01,1472088,4-20200812210111619
rkGqMVPisW,4-20200812205532415,4,20200812T205532,65292,4-20200812205532414,20200812T205532,20220812T205532,6,Sfilab01,892332,4-20200812205532415
rkGqMVPisW,4-20200812205038242,4,20200812T205038,65291,4-20200812205038242,20200812T205038,20220812T205038,7,Sfilab01,1696571,4-20200812205038242
rkGqMVPisW,4-20200812204546344,4,20200812T204546,65290,4-20200812204546344,20200812T204546,20220812T204546,7,Sfilab01,1310314,4-20200812204546344
rkGqMVPisW,4-20200812204021881,4,20200812T204021,65289,4-20200812204021880,20200812T204021,20220812T204021,6,Sfilab01,664284,4-20200812204021881
rkGqMVPisW,4-20200812203515427,4,20200812T203515,65288,4-20200812203515427,20200812T203515,20220812T203515,7,Sfilab01,1211694,4-20200812203515427
rkGqMVPisW,4-20200812203019851,4,20200812T203019,65287,4-20200812203019850,20200812T203019,20220812T203019,7,Sfilab01,1496654,4-20200812203019851
rkGqMVPisW,4-20200812202529342,4,20200812T202529,65286,4-20200812202529341,20200812T202529,20220812T202529,7,Sfilab01,1581899,4-20200812202529342
rkGqMVPisW,4-20200812202009897,4,20200812T202009,65285,4-20200812202009896,20200812T202009,20220812T202009,6,Sfilab01,657060,4-20200812202009897
rkGqMVPisW,4-20200812201506821,4,20200812T201506,65284,4-20200812201506820,20200812T201506,20220812T201506,7,Sfilab01,1588852,4-20200812201506821
rkGqMVPisW,4-20200812201001309,4,20200812T201001,65283,4-20200812201001309,20200812T201001,20220812T201001,6,Sfilab01,828279,4-20200812201001309
rkGqMVPisW,4-20200812200506641,4,20200812T200506,65282,4-20200812200506640,20200812T200506,20220812T200506,7,Sfilab01,1373817,4-20200812200506641
rkGqMVPisW,4-20200812200001290,4,20200812T200001,65281,4-20200812200001289,20200812T200001,20220812T200001,7,Sfilab01,1183611,4-20200812200001290
rkGqMVPisW,4-20200812195513280,4,20200812T195513,65280,4-20200812195513280,20200812T195513,20220812T195513,7,Sfilab01,1437089,4-20200812195513280
rkGqMVPisW,4-20200812194949269,4,20200812T194949,65279,4-20200812194949269,20200812T194949,20220812T194949,7,Sfilab01,1709635,4-20200812194949269
rkGqMVPisW,4-20200812194501259,4,20200812T194501,65278,4-20200812194501258,20200812T194501,20220812T194501,7,Sfilab01,1683654,4-20200812194501259
rkGqMVPisW,4-20200812193934251,4,20200812T193934,65277,4-20200812193934251,20200812T193934,20220812T193934,7,Sfilab01,1287236,4-20200812193934251
rkGqMVPisW,4-20200812193449851,4,20200812T193449,65276,4-20200812193449851,20200812T193449,20220812T193449,6,Sfilab01,775968,4-20200812193449851
rkGqMVPisW,4-20200812192926664,4,20200812T192926,65275,4-20200812192926664,20200812T192926,20220812T192926,7,Sfilab01,1049649,4-20200812192926664
rkGqMVPisW,4-20200812192437490,4,20200812T192437,65274,4-20200812192437490,20200812T192437,20220812T192437,7,Sfilab01,1023338,4-20200812192437490
rkGqMVPisW,4-20200812191917029,4,20200812T191917,65273,4-20200812191917029,20200812T191917,20220812T191917,7,Sfilab01,1617730,4-20200812191917029
rkGqMVPisW,4-20200812191428698,4,20200812T191428,65272,4-20200812191428698,20200812T191428,20220812T191428,7,Sfilab01,1315977,4-20200812191428698
rkGqMVPisW,4-20200812190903671,4,20200812T190903,65271,4-20200812190903671,20200812T190903,20220812T190903,7,Sfilab01,1505175,4-20200812190903671
rkGqMVPisW,4-20200812190419778,4,20200812T190419,65270,4-20200812190419778,20200812T190419,20220812T190419,7,Sfilab01,1785805,4-20200812190419778
rkGqMVPisW,4-20200812185859590,4,20200812T185859,65269,4-20200812185859590,20200812T185859,20220812T185859,7,Sfilab01,1723477,4-20200812185859590
rkGqMVPisW,4-20200812185410156,4,20200812T185410,65268,4-20200812185410156,20200812T185410,20220812T185410,7,Sfilab01,1760177,4-20200812185410156
rkGqMVPisW,4-20200812184838680,4,20200812T184838,65267,4-20200812184838680,20200812T184838,20220812T184838,7,Sfilab01,1219644,4-20200812184838680
rkGqMVPisW,4-20200812184343791,4,20200812T184343,65266,4-20200812184343791,20200812T184343,20220812T184343,7,Sfilab01,1992396,4-20200812184343791
rkGqMVPisW,4-20200812183838342,4,20200812T183838,65265,4-20200812183838342,20200812T183838,20220812T183838,7,Sfilab01,1649190,4-20200812183838342
rkGqMVPisW,4-20200812183337152,4,20200812T183337,65264,4-20200812183337152,20200812T183337,20220812T183337,7,Sfilab01,2001358,4-20200812183337152
rkGqMVPisW,4-20200812182833976,4,20200812T182833,65263,4-20200812182833975,20200812T182833,20220812T182833,7,Sfilab01,1317380,4-20200812182833976
rkGqMVPisW,4-20200812182347357,4,20200812T182347,65262,4-20200812182347357,20200812T182347,20220812T182347,7,Sfilab01,1978142,4-20200812182347357
rkGqMVPisW,4-20200812181819615,4,20200812T181819,65261,4-20200812181819615,20200812T181819,20220812T181819,7,Sfilab01,1793184,4-20200812181819615
rkGqMVPisW,4-20200812181339998,4,20200812T181339,65260,4-20200812181339998,20200812T181339,20220812T181339,7,Sfilab01,1999889,4-20200812181339998
rkGqMVPisW,4-20200812180820564,4,20200812T180820,65259,4-20200812180820564,20200812T180820,20220812T180820,7,Sfilab01,1675856,4-20200812180820564
rkGqMVPisW,4-20200812180331643,4,20200812T180331,65258,4-20200812180331642,20200812T180331,20220812T180331,7,Sfilab01,2056374,4-20200812180331643
rkGqMVPisW,4-20200812175808544,4,20200812T175808,65257,4-20200812175808543,20200812T175808,20220812T175808,7,Sfilab01,1928840,4-20200812175808544
rkGqMVPisW,4-20200812175330035,4,20200812T175330,65256,4-20200812175330035,20200812T175330,20220812T175330,7,Sfilab01,1962347,4-20200812175330035
rkGqMVPisW,4-20200812174758524,4,20200812T174758,65255,4-20200812174758524,20200812T174758,20220812T174758,7,Sfilab01,1992860,4-20200812174758524
rkGqMVPisW,4-20200812174309514,4,20200812T174309,65254,4-20200812174309514,20200812T174309,20220812T174309,7,Sfilab01,1912491,4-20200812174309514
rkGqMVPisW,4-20200812173748502,4,20200812T173748,65253,4-20200812173748502,20200812T173748,20220812T173748,7,Sfilab01,1751532,4-20200812173748502
rkGqMVPisW,4-20200812173310586,4,20200812T173310,65252,4-20200812173310586,20200812T173310,20220812T173310,7,Sfilab01,1880647,4-20200812173310586
rkGqMVPisW,4-20200812172738983,4,20200812T172738,65251,4-20200812172738983,20200812T172738,20220812T172738,7,Sfilab01,1629309,4-20200812172738983
rkGqMVPisW,4-20200812172305478,4,20200812T172305,65250,4-20200812172305478,20200812T172305,20220812T172305,7,Sfilab01,1232194,4-20200812172305478
rkGqMVPisW,4-20200812171730767,4,20200812T171730,65249,4-20200812171730767,20200812T171730,20220812T171730,7,Sfilab01,1248545,4-20200812171730767
rkGqMVPisW,4-20200812171254606,4,20200812T171254,65248,4-20200812171254606,20200812T171254,20220812T171254,7,Sfilab01,1420416,4-20200812171254606
rkGqMVPisW,4-20200812170722421,4,20200812T170722,65247,4-20200812170722420,20200812T170722,20220812T170722,7,Sfilab01,1454460,4-20200812170722421
rkGqMVPisW,4-20200812170245940,4,20200812T170245,65246,4-20200812170245938,20200812T170245,20220812T170245,7,Sfilab01,2186575,4-20200812170245940
rkGqMVPisW,4-20200812165709784,4,20200812T165709,65245,4-20200812165709784,20200812T165709,20220812T165709,7,Sfilab01,2054971,4-20200812165709784
rkGqMVPisW,4-20200812165235907,4,20200812T165235,65244,4-20200812165235907,20200812T165235,20220812T165235,7,Sfilab01,1738403,4-20200812165235907
rkGqMVPisW,4-20200812164700400,4,20200812T164700,65243,4-20200812164700400,20200812T164700,20220812T164700,7,Sfilab01,1909620,4-20200812164700400
rkGqMVPisW,4-20200812164225391,4,20200812T164225,65242,4-20200812164225391,20200812T164225,20220812T164225,7,Sfilab01,1681887,4-20200812164225391
rkGqMVPisW,4-20200812163650347,4,20200812T163650,65241,4-20200812163650347,20200812T163650,20220812T163650,7,Sfilab01,1684461,4-20200812163650347
rkGqMVPisW,4-20200812163217191,4,20200812T163217,65240,4-20200812163217191,20200812T163217,20220812T163217,7,Sfilab01,1718204,4-20200812163217191
rkGqMVPisW,4-20200812162700867,4,20200812T162700,65239,4-20200812162700866,20200812T162700,20220812T162700,7,Sfilab01,1640436,4-20200812162700867
rkGqMVPisW,4-20200812162139350,4,20200812T162139,65238,4-20200812162139350,20200812T162139,20220812T162139,7,Sfilab01,1455701,4-20200812162139350
rkGqMVPisW,4-20200812161704342,4,20200812T161704,65237,4-20200812161704342,20200812T161704,20220812T161704,7,Sfilab01,1854726,4-20200812161704342
rkGqMVPisW,4-20200812161126329,4,20200812T161126,65236,4-20200812161126329,20200812T161126,20220812T161126,7,Sfilab01,1669162,4-20200812161126329
rkGqMVPisW,4-20200812160646820,4,20200812T160646,65235,4-20200812160646820,20200812T160646,20220812T160646,7,Sfilab01,1645037,4-20200812160646820
rkGqMVPisW,4-20200812160110102,4,20200812T160110,65234,4-20200812160110102,20200812T160110,20220812T160110,7,Sfilab01,1427471,4-20200812160110102
rkGqMVPisW,4-20200812155639800,4,20200812T155639,65233,4-20200812155639800,20200812T155639,20220812T155639,7,Sfilab01,1520194,4-20200812155639800
rkGqMVPisW,4-20200812155104289,4,20200812T155104,65232,4-20200812155104289,20200812T155104,20220812T155104,7,Sfilab01,1543497,4-20200812155104289
rkGqMVPisW,4-20200812154630280,4,20200812T154630,65231,4-20200812154630280,20200812T154630,20220812T154630,7,Sfilab01,1512174,4-20200812154630280
rkGqMVPisW,4-20200812154054664,4,20200812T154054,65230,4-20200812154054664,20200812T154054,20220812T154054,6,Sfilab01,775494,4-20200812154054664
rkGqMVPisW,4-20200812153619507,4,20200812T153619,65229,4-20200812153619507,20200812T153619,20220812T153619,6,Sfilab01,825060,4-20200812153619507
rkGqMVPisW,4-20200812153045311,4,20200812T153045,65228,4-20200812153045311,20200812T153045,20220812T153045,6,Sfilab01,899644,4-20200812153045311
rkGqMVPisW,4-20200812152608150,4,20200812T152608,65227,4-20200812152608150,20200812T152608,20220812T152608,7,Sfilab01,1761217,4-20200812152608150
