pi,ri,ty,ct,st,rn,lt,et,cs,cr,con
B1zIZVvsiZ,4-20200812230902858,4,20200812T230902,70747,4-20200812230902857,20200812T230902,20220812T230902,5,Sfilab12,22.00,4-20200812230902858
B1zIZVvsiZ,4-20200812230354680,4,20200812T230354,70746,4-20200812230354680,20200812T230354,20220812T230354,5,Sfilab12,21.90,4-20200812230354680
B1zIZVvsiZ,4-20200812225849505,4,20200812T225849,70745,4-20200812225849505,20200812T225849,20220812T225849,5,Sfilab12,21.90,4-20200812225849505
B1zIZVvsiZ,4-20200812225354338,4,20200812T225354,70744,4-20200812225354338,20200812T225354,20220812T225354,5,Sfilab12,21.90,4-20200812225354338
B1zIZVvsiZ,4-20200812224841156,4,20200812T224841,70743,4-20200812224841156,20200812T224841,20220812T224841,5,Sfilab12,21.90,4-20200812224841156
B1zIZVvsiZ,4-20200812224336982,4,20200812T224336,70742,4-20200812224336981,20200812T224336,20220812T224336,5,Sfilab12,21.90,4-20200812224336982
B1zIZVvsiZ,4-20200812223843816,4,20200812T223843,70741,4-20200812223843816,20200812T223843,20220812T223843,5,Sfilab12,21.90,4-20200812223843816
B1zIZVvsiZ,4-20200812223326634,4,20200812T223326,70740,4-20200812223326634,20200812T223326,20220812T223326,5,Sfilab12,21.90,4-20200812223326634
B1zIZVvsiZ,4-20200812222825475,4,20200812T222825,70739,4-20200812222825475,20200812T222825,20220812T222825,5,Sfilab12,21.80,4-20200812222825475
B1zIZVvsiZ,4-20200812222322292,4,20200812T222322,70738,4-20200812222322292,20200812T222322,20220812T222322,5,Sfilab12,21.80,4-20200812222322292
B1zIZVvsiZ,4-20200812221825124,4,20200812T221825,70737,4-20200812221825124,20200812T221825,20220812T221825,5,Sfilab12,21.80,4-20200812221825124
B1zIZVvsiZ,4-20200812221310942,4,20200812T221310,70736,4-20200812221310942,20200812T221310,20220812T221310,5,Sfilab12,21.80,4-20200812221310942
B1zIZVvsiZ,4-20200812220804766,4,20200812T220804,70735,4-20200812220804766,20200812T220804,20220812T220804,5,Sfilab12,21.80,4-20200812220804766
B1zIZVvsiZ,4-20200812220258595,4,20200812T220258,70734,4-20200812220258594,20200812T220258,20220812T220258,5,Sfilab12,21.90,4-20200812220258595
B1zIZVvsiZ,4-20200812215753418,4,20200812T215753,70733,4-20200812215753417,20200812T215753,20220812T215753,5,Sfilab12,21.90,4-20200812215753418
B1zIZVvsiZ,4-20200812215259253,4,20200812T215259,70732,4-20200812215259253,20200812T215259,20220812T215259,5,Sfilab12,21.90,4-20200812215259253
B1zIZVvsiZ,4-20200812214744070,4,20200812T214744,70731,4-20200812214744070,20200812T214744,20220812T214744,5,Sfilab12,21.90,4-20200812214744070
B1zIZVvsiZ,4-20200812214242896,4,20200812T214242,70730,4-20200812214242896,20200812T214242,20220812T214242,5,Sfilab12,21.90,4-20200812214242896
B1zIZVvsiZ,4-20200812213735720,4,20200812T213735,70729,4-20200812213735720,20200812T213735,20220812T213735,5,Sfilab12,21.80,4-20200812213735720
B1zIZVvsiZ,4-20200812213240553,4,20200812T213240,70728,4-20200812213240552,20200812T213240,20220812T213240,5,Sfilab12,21.90,4-20200812213240553
B1zIZVvsiZ,4-20200812212729371,4,20200812T212729,70727,4-20200812212729371,20200812T212729,20220812T212729,5,Sfilab12,21.90,4-20200812212729371
B1zIZVvsiZ,4-20200812212220194,4,20200812T212220,70726,4-20200812212220194,20200812T212220,20220812T212220,5,Sfilab12,21.90,4-20200812212220194
B1zIZVvsiZ,4-20200812211715019,4,20200812T211715,70725,4-20200812211715018,20200812T211715,20220812T211715,5,Sfilab12,22.00,4-20200812211715019
B1zIZVvsiZ,4-20200812211206844,4,20200812T211206,70724,4-20200812211206844,20200812T211206,20220812T211206,5,Sfilab12,22.10,4-20200812211206844
B1zIZVvsiZ,4-20200812210702668,4,20200812T210702,70723,4-20200812210702668,20200812T210702,20220812T210702,5,Sfilab12,22.30,4-20200812210702668
B1zIZVvsiZ,4-20200812210209224,4,20200812T210209,70722,4-20200812210209224,20200812T210209,20220812T210209,5,Sfilab12,22.20,4-20200812210209224
B1zIZVvsiZ,4-20200812205653317,4,20200812T205653,70721,4-20200812205653317,20200812T205653,20220812T205653,5,Sfilab12,22.20,4-20200812205653317
B1zIZVvsiZ,4-20200812205200873,4,20200812T205200,70720,4-20200812205200873,20200812T205200,20220812T205200,5,Sfilab12,22.10,4-20200812205200873
B1zIZVvsiZ,4-20200812204638965,4,20200812T204638,70719,4-20200812204638965,20200812T204638,20220812T204638,5,Sfilab12,22.10,4-20200812204638965
B1zIZVvsiZ,4-20200812204153524,4,20200812T204153,70718,4-20200812204153524,20200812T204153,20220812T204153,5,Sfilab12,22.10,4-20200812204153524
B1zIZVvsiZ,4-20200812203633622,4,20200812T203633,70717,4-20200812203633622,20200812T203633,20220812T203633,5,Sfilab12,22.10,4-20200812203633622
