pi,ri,ty,ct,st,rn,lt,et,cs,cr,con
Hy8hbEwjoW,4-20200812233920926,4,20200812T233920,64870,4-20200812233920925,20200812T233920,20220812T233920,2,Sfilab09,57,4-20200812233920926
Hy8hbEwjoW,4-20200812233347463,4,20200812T233347,64869,4-20200812233347463,20200812T233347,20220812T233347,2,Sfilab09,57,4-20200812233347463
Hy8hbEwjoW,4-20200812232820547,4,20200812T232820,64868,4-20200812232820547,20200812T232820,20220812T232820,2,Sfilab09,57,4-20200812232820547
Hy8hbEwjoW,4-20200812232342111,4,20200812T232342,64867,4-20200812232342111,20200812T232342,20220812T232342,2,Sfilab09,57,4-20200812232342111
Hy8hbEwjoW,4-20200812231825219,4,20200812T231825,64866,4-20200812231825218,20200812T231825,20220812T231825,2,Sfilab09,57,4-20200812231825219
Hy8hbEwjoW,4-20200812231303023,4,20200812T231303,64865,4-20200812231303023,20200812T231303,20220812T231303,2,Sfilab09,57,4-20200812231303023
Hy8hbEwjoW,4-20200812230824587,4,20200812T230824,64864,4-20200812230824587,20200812T230824,20220812T230824,2,Sfilab09,57,4-20200812230824587
Hy8hbEwjoW,4-20200812230302679,4,20200812T230302,64863,4-20200812230302679,20200812T230302,20220812T230302,2,Sfilab09,57,4-20200812230302679
Hy8hbEwjoW,4-20200812225816518,4,20200812T225816,64862,4-20200812225816518,20200812T225816,20220812T225816,2,Sfilab09,58,4-20200812225816518
Hy8hbEwjoW,4-20200812225246328,4,20200812T225246,64861,4-20200812225246328,20200812T225246,20220812T225246,2,Sfilab09,58,4-20200812225246328
Hy8hbEwjoW,4-20200812224806901,4,20200812T224806,64860,4-20200812224806901,20200812T224806,20220812T224806,2,Sfilab09,58,4-20200812224806901
Hy8hbEwjoW,4-20200812224239982,4,20200812T224239,64859,4-20200812224239981,20200812T224239,20220812T224239,2,Sfilab09,58,4-20200812224239982
Hy8hbEwjoW,4-20200812223756548,4,20200812T223756,64858,4-20200812223756548,20200812T223756,20220812T223756,2,Sfilab09,58,4-20200812223756548
Hy8hbEwjoW,4-20200812223323660,4,20200812T223323,64857,4-20200812223323660,20200812T223323,20220812T223323,2,Sfilab09,58,4-20200812223323660
Hy8hbEwjoW,4-20200812222803477,4,20200812T222803,64856,4-20200812222803477,20200812T222803,20220812T222803,2,Sfilab09,58,4-20200812222803477
Hy8hbEwjoW,4-20200812222320042,4,20200812T222320,64855,4-20200812222320042,20200812T222320,20220812T222320,2,Sfilab09,58,4-20200812222320042
Hy8hbEwjoW,4-20200812221755126,4,20200812T221755,64854,4-20200812221755126,20200812T221755,20220812T221755,2,Sfilab09,58,4-20200812221755126
