pi,ri,ty,ct,st,rn,lt,et,cs,cr,con
SJMWmNwij-,4-20200813011336861,4,20200813T011336,71465,4-20200813011336861,20200813T011336,20220813T011336,1,Sfilab12,0,4-20200813011336861
SJMWmNwij-,4-20200813010833675,4,20200813T010833,71464,4-20200813010833674,20200813T010833,20220813T010833,1,Sfilab12,0,4-20200813010833675
SJMWmNwij-,4-20200813010331505,4,20200813T010331,71463,4-20200813010331505,20200813T010331,20220813T010331,1,Sfilab12,0,4-20200813010331505
SJMWmNwij-,4-20200813005839203,4,20200813T005839,71462,4-20200813005839203,20200813T005839,20220813T005839,1,Sfilab12,0,4-20200813005839203
SJMWmNwij-,4-20200813005351167,4,20200813T005351,71461,4-20200813005351167,20200813T005351,20220813T005351,1,Sfilab12,0,4-20200813005351167
SJMWmNwij-,4-20200813004816982,4,20200813T004816,71460,4-20200813004816982,20200813T004816,20220813T004816,1,Sfilab12,0,4-20200813004816982
SJMWmNwij-,4-20200813004327811,4,20200813T004327,71459,4-20200813004327811,20200813T004327,20220813T004327,1,Sfilab12,0,4-20200813004327811
SJMWmNwij-,4-20200813003836644,4,20200813T003836,71458,4-20200813003836643,20200813T003836,20220813T003836,1,Sfilab12,0,4-20200813003836644
SJMWmNwij-,4-20200813003332468,4,20200813T003332,71457,4-20200813003332468,20200813T003332,20220813T003332,1,Sfilab12,0,4-20200813003332468
SJMWmNwij-,4-20200813002830300,4,20200813T002830,71456,4-20200813002830299,20200813T002830,20220813T002830,1,Sfilab12,0,4-20200813002830300
SJMWmNwij-,4-20200813002257112,4,20200813T002257,71455,4-20200813002257112,20200813T002257,20220813T002257,1,Sfilab12,0,4-20200813002257112
SJMWmNwij-,4-20200813001756945,4,20200813T001756,71454,4-20200813001756944,20200813T001756,20220813T001756,1,Sfilab12,0,4-20200813001756945
SJMWmNwij-,4-20200813001255769,4,20200813T001255,71453,4-20200813001255769,20200813T001255,20220813T001255,1,Sfilab12,0,4-20200813001255769
SJMWmNwij-,4-20200813000751596,4,20200813T000751,71452,4-20200813000751596,20200813T000751,20220813T000751,1,Sfilab12,0,4-20200813000751596
SJMWmNwij-,4-20200813000251425,4,20200813T000251,71451,4-20200813000251424,20200813T000251,20220813T000251,1,Sfilab12,0,4-20200813000251425
SJMWmNwij-,4-20200812235813365,4,20200812T235813,71450,4-20200812235813365,20200812T235813,20220812T235813,1,Sfilab12,0,4-20200812235813365
