pi,ri,ty,ct,st,rn,lt,et,cs,cr,con
SkL0ZNwosW,4-20200812231156679,4,20200812T231156,70936,4-20200812231156679,20200812T231156,20220812T231156,2,Sfilab12,57,4-20200812231156679
SkL0ZNwosW,4-20200812230650505,4,20200812T230650,70935,4-20200812230650504,20200812T230650,20220812T230650,2,Sfilab12,57,4-20200812230650505
SkL0ZNwosW,4-20200812230149332,4,20200812T230149,70934,4-20200812230149332,20200812T230149,20220812T230149,2,Sfilab12,57,4-20200812230149332
SkL0ZNwosW,4-20200812225640157,4,20200812T225640,70933,4-20200812225640156,20200812T225640,20220812T225640,2,Sfilab12,57,4-20200812225640157
SkL0ZNwosW,4-20200812225133984,4,20200812T225133,70932,4-20200812225133984,20200812T225133,20220812T225133,2,Sfilab12,57,4-20200812225133984
SkL0ZNwosW,4-20200812224629805,4,20200812T224629,70931,4-20200812224629805,20200812T224629,20220812T224629,2,Sfilab12,57,4-20200812224629805
SkL0ZNwosW,4-20200812224121629,4,20200812T224121,70930,4-20200812224121629,20200812T224121,20220812T224121,2,Sfilab12,57,4-20200812224121629
SkL0ZNwosW,4-20200812223614453,4,20200812T223614,70929,4-20200812223614452,20200812T223614,20220812T223614,2,Sfilab12,57,4-20200812223614453
SkL0ZNwosW,4-20200812223107280,4,20200812T223107,70928,4-20200812223107279,20200812T223107,20220812T223107,2,Sfilab12,57,4-20200812223107280
SkL0ZNwosW,4-20200812222606109,4,20200812T222606,70927,4-20200812222606109,20200812T222606,20220812T222606,2,Sfilab12,57,4-20200812222606109
SkL0ZNwosW,4-20200812222056934,4,20200812T222056,70926,4-20200812222056933,20200812T222056,20220812T222056,2,Sfilab12,57,4-20200812222056934
SkL0ZNwosW,4-20200812221549758,4,20200812T221549,70925,4-20200812221549758,20200812T221549,20220812T221549,2,Sfilab12,57,4-20200812221549758
SkL0ZNwosW,4-20200812221046585,4,20200812T221046,70924,4-20200812221046584,20200812T221046,20220812T221046,2,Sfilab12,57,4-20200812221046585
SkL0ZNwosW,4-20200812220543412,4,20200812T220543,70923,4-20200812220543412,20200812T220543,20220812T220543,2,Sfilab12,58,4-20200812220543412
