pi,ri,ty,ct,st,rn,lt,et,cs,cr,con
BkGNQVDojZ,4-20200813005104364,4,20200813T005104,67522,4-20200813005104363,20200813T005104,20220813T005104,1,Sfilab16,0,4-20200813005104364
BkGNQVDojZ,4-20200813004625206,4,20200813T004625,67521,4-20200813004625205,20200813T004625,20220813T004625,1,Sfilab16,0,4-20200813004625206
BkGNQVDojZ,4-20200813004103016,4,20200813T004103,67520,4-20200813004103016,20200813T004103,20220813T004103,1,Sfilab16,0,4-20200813004103016
BkGNQVDojZ,4-20200813003617854,4,20200813T003617,67519,4-20200813003617854,20200813T003617,20220813T003617,1,Sfilab16,0,4-20200813003617854
BkGNQVDojZ,4-20200813003058669,4,20200813T003058,67518,4-20200813003058669,20200813T003058,20220813T003058,1,Sfilab16,0,4-20200813003058669
BkGNQVDojZ,4-20200813002527198,4,20200813T002527,67517,4-20200813002527198,20200813T002527,20220813T002527,1,Sfilab16,0,4-20200813002527198
BkGNQVDojZ,4-20200813002048318,4,20200813T002048,67516,4-20200813002048318,20200813T002048,20220813T002048,5,Sfilab16,80980,4-20200813002048318
BkGNQVDojZ,4-20200813001601148,4,20200813T001601,67515,4-20200813001601148,20200813T001601,20220813T001601,1,Sfilab16,0,4-20200813001601148
BkGNQVDojZ,4-20200813001005661,4,20200813T001005,67514,4-20200813001005661,20200813T001005,20220813T001005,1,Sfilab16,0,4-20200813001005661
BkGNQVDojZ,4-20200813000457481,4,20200813T000457,67513,4-20200813000457481,20200813T000457,20220813T000457,1,Sfilab16,0,4-20200813000457481
BkGNQVDojZ,4-20200812235957314,4,20200812T235957,67512,4-20200812235957314,20200812T235957,20220812T235957,1,Sfilab16,0,4-20200812235957314
BkGNQVDojZ,4-20200812235452128,4,20200812T235452,67511,4-20200812235452128,20200812T235452,20220812T235452,1,Sfilab16,0,4-20200812235452128
BkGNQVDojZ,4-20200812234951957,4,20200812T234951,67510,4-20200812234951957,20200812T234951,20220812T234951,1,Sfilab16,0,4-20200812234951957
BkGNQVDojZ,4-20200812234442774,4,20200812T234442,67509,4-20200812234442774,20200812T234442,20220812T234442,1,Sfilab16,0,4-20200812234442774
BkGNQVDojZ,4-20200812233934593,4,20200812T233934,67508,4-20200812233934593,20200812T233934,20220812T233934,1,Sfilab16,0,4-20200812233934593
BkGNQVDojZ,4-20200812233439697,4,20200812T233439,67507,4-20200812233439697,20200812T233439,20220812T233439,1,Sfilab16,0,4-20200812233439697
BkGNQVDojZ,4-20200812232919237,4,20200812T232919,67506,4-20200812232919236,20200812T232919,20220812T232919,1,Sfilab16,0,4-20200812232919237
BkGNQVDojZ,4-20200812232435346,4,20200812T232435,67505,4-20200812232435346,20200812T232435,20220812T232435,1,Sfilab16,0,4-20200812232435346
BkGNQVDojZ,4-20200812231917160,4,20200812T231917,67504,4-20200812231917160,20200812T231917,20220812T231917,5,Sfilab16,81489,4-20200812231917160
BkGNQVDojZ,4-20200812231353969,4,20200812T231353,67503,4-20200812231353969,20200812T231353,20220812T231353,1,Sfilab16,0,4-20200812231353969
BkGNQVDojZ,4-20200812230915808,4,20200812T230915,67502,4-20200812230915808,20200812T230915,20220812T230915,1,Sfilab16,0,4-20200812230915808
BkGNQVDojZ,4-20200812230356622,4,20200812T230356,67501,4-20200812230356621,20200812T230356,20220812T230356,1,Sfilab16,0,4-20200812230356622
BkGNQVDojZ,4-20200812225840436,4,20200812T225840,67500,4-20200812225840435,20200812T225840,20220812T225840,1,Sfilab16,0,4-20200812225840436
BkGNQVDojZ,4-20200812225406276,4,20200812T225406,67499,4-20200812225406276,20200812T225406,20220812T225406,5,Sfilab16,81258,4-20200812225406276
BkGNQVDojZ,4-20200812224848092,4,20200812T224848,67498,4-20200812224848091,20200812T224848,20220812T224848,1,Sfilab16,0,4-20200812224848092
BkGNQVDojZ,4-20200812224329903,4,20200812T224329,67497,4-20200812224329902,20200812T224329,20220812T224329,1,Sfilab16,0,4-20200812224329903
BkGNQVDojZ,4-20200812223857744,4,20200812T223857,67496,4-20200812223857744,20200812T223857,20220812T223857,1,Sfilab16,0,4-20200812223857744
BkGNQVDojZ,4-20200812223333555,4,20200812T223333,67495,4-20200812223333554,20200812T223333,20220812T223333,1,Sfilab16,0,4-20200812223333555
BkGNQVDojZ,4-20200812222810363,4,20200812T222810,67494,4-20200812222810362,20200812T222810,20220812T222810,6,Sfilab16,641207,4-20200812222810363
BkGNQVDojZ,4-20200812222250898,4,20200812T222250,67493,4-20200812222250898,20200812T222250,20220812T222250,5,Sfilab16,81493,4-20200812222250898
BkGNQVDojZ,4-20200812221814011,4,20200812T221814,67492,4-20200812221814011,20200812T221814,20220812T221814,1,Sfilab16,0,4-20200812221814011
BkGNQVDojZ,4-20200812221242543,4,20200812T221242,67491,4-20200812221242543,20200812T221242,20220812T221242,1,Sfilab16,0,4-20200812221242543
BkGNQVDojZ,4-20200812220739366,4,20200812T220739,67490,4-20200812220739366,20200812T220739,20220812T220739,1,Sfilab16,0,4-20200812220739366
BkGNQVDojZ,4-20200812220237188,4,20200812T220237,67489,4-20200812220237187,20200812T220237,20220812T220237,1,Sfilab16,0,4-20200812220237188
BkGNQVDojZ,4-20200812215729008,4,20200812T215729,67488,4-20200812215729008,20200812T215729,20220812T215729,1,Sfilab16,0,4-20200812215729008
BkGNQVDojZ,4-20200812215312136,4,20200812T215312,67487,4-20200812215312136,20200812T215312,20220812T215312,1,Sfilab16,0,4-20200812215312136
BkGNQVDojZ,4-20200812214753950,4,20200812T214753,67486,4-20200812214753949,20200812T214753,20220812T214753,1,Sfilab16,0,4-20200812214753950
BkGNQVDojZ,4-20200812214232759,4,20200812T214232,67485,4-20200812214232759,20200812T214232,20220812T214232,1,Sfilab16,0,4-20200812214232759
BkGNQVDojZ,4-20200812213753597,4,20200812T213753,67484,4-20200812213753597,20200812T213753,20220812T213753,1,Sfilab16,0,4-20200812213753597
BkGNQVDojZ,4-20200812213234410,4,20200812T213234,67483,4-20200812213234410,20200812T213234,20220812T213234,1,Sfilab16,0,4-20200812213234410
BkGNQVDojZ,4-20200812212710218,4,20200812T212710,67482,4-20200812212710217,20200812T212710,20220812T212710,1,Sfilab16,0,4-20200812212710218
BkGNQVDojZ,4-20200812212235059,4,20200812T212235,67481,4-20200812212235059,20200812T212235,20220812T212235,5,Sfilab16,81491,4-20200812212235059
BkGNQVDojZ,4-20200812211647591,4,20200812T211647,67480,4-20200812211647591,20200812T211647,20220812T211647,1,Sfilab16,0,4-20200812211647591
