pi,ri,ty,ct,st,rn,lt,et,cs,cr,con
ByMRb4Dii-,4-20200813000039018,4,20200813T000039,124351,4-20200813000039018,20200813T000039,20220813T000039,2,Sfilab11,55,4-20200813000039018
ByMRb4Dii-,4-20200812235600582,4,20200812T235600,124350,4-20200812235600582,20200812T235600,20220812T235600,2,Sfilab11,56,4-20200812235600582
ByMRb4Dii-,4-20200812235037674,4,20200812T235037,124349,4-20200812235037674,20200812T235037,20220812T235037,2,Sfilab11,56,4-20200812235037674
ByMRb4Dii-,4-20200812234548229,4,20200812T234548,124348,4-20200812234548229,20200812T234548,20220812T234548,2,Sfilab11,57,4-20200812234548229
ByMRb4Dii-,4-20200812234024321,4,20200812T234024,124347,4-20200812234024320,20200812T234024,20220812T234024,2,Sfilab11,57,4-20200812234024321
ByMRb4Dii-,4-20200812233536154,4,20200812T233536,124346,4-20200812233536153,20200812T233536,20220812T233536,2,Sfilab11,57,4-20200812233536154
ByMRb4Dii-,4-20200812233014968,4,20200812T233014,124345,4-20200812233014967,20200812T233014,20220812T233014,2,Sfilab11,57,4-20200812233014968
ByMRb4Dii-,4-20200812232520797,4,20200812T232520,124344,4-20200812232520797,20200812T232520,20220812T232520,2,Sfilab11,57,4-20200812232520797
ByMRb4Dii-,4-20200812231958619,4,20200812T231958,124343,4-20200812231958619,20200812T231958,20220812T231958,2,Sfilab11,56,4-20200812231958619
ByMRb4Dii-,4-20200812231518172,4,20200812T231518,124342,4-20200812231518171,20200812T231518,20220812T231518,2,Sfilab11,56,4-20200812231518172
ByMRb4Dii-,4-20200812230949260,4,20200812T230949,124341,4-20200812230949259,20200812T230949,20220812T230949,2,Sfilab11,56,4-20200812230949260
ByMRb4Dii-,4-20200812230509822,4,20200812T230509,124340,4-20200812230509822,20200812T230509,20220812T230509,2,Sfilab11,56,4-20200812230509822
ByMRb4Dii-,4-20200812225942914,4,20200812T225942,124339,4-20200812225942914,20200812T225942,20220812T225942,2,Sfilab11,56,4-20200812225942914
ByMRb4Dii-,4-20200812225454470,4,20200812T225454,124338,4-20200812225454470,20200812T225454,20220812T225454,2,Sfilab11,56,4-20200812225454470
ByMRb4Dii-,4-20200812224926558,4,20200812T224926,124337,4-20200812224926558,20200812T224926,20220812T224926,2,Sfilab11,56,4-20200812224926558
ByMRb4Dii-,4-20200812224442400,4,20200812T224442,124336,4-20200812224442400,20200812T224442,20220812T224442,2,Sfilab11,57,4-20200812224442400
ByMRb4Dii-,4-20200812223921211,4,20200812T223921,124335,4-20200812223921210,20200812T223921,20220812T223921,2,Sfilab11,57,4-20200812223921211
ByMRb4Dii-,4-20200812223431041,4,20200812T223431,124334,4-20200812223431041,20200812T223431,20220812T223431,2,Sfilab11,57,4-20200812223431041
ByMRb4Dii-,4-20200812222904852,4,20200812T222904,124333,4-20200812222904851,20200812T222904,20220812T222904,2,Sfilab11,57,4-20200812222904852
ByMRb4Dii-,4-20200812222422693,4,20200812T222422,124332,4-20200812222422692,20200812T222422,20220812T222422,2,Sfilab11,57,4-20200812222422693
ByMRb4Dii-,4-20200812221904507,4,20200812T221904,124331,4-20200812221904506,20200812T221904,20220812T221904,2,Sfilab11,57,4-20200812221904507
ByMRb4Dii-,4-20200812221335040,4,20200812T221335,124330,4-20200812221335039,20200812T221335,20220812T221335,2,Sfilab11,57,4-20200812221335040
ByMRb4Dii-,4-20200812220810129,4,20200812T220810,124329,4-20200812220810129,20200812T220810,20220812T220810,2,Sfilab11,57,4-20200812220810129
