pi,ri,ty,ct,st,rn,lt,et,cs,cr,con
ryLu-VPsoW,4-20200812210925930,4,20200812T210925,64496,4-20200812210925930,20200812T210925,20220812T210925,2,Sfilab01,71,4-20200812210925930
ryLu-VPsoW,4-20200812210423999,4,20200812T210423,64495,4-20200812210423999,20200812T210423,20220812T210423,2,Sfilab01,71,4-20200812210423999
ryLu-VPsoW,4-20200812205918820,4,20200812T205918,64494,4-20200812205918820,20200812T205918,20220812T205918,2,Sfilab01,71,4-20200812205918820
ryLu-VPsoW,4-20200812205418644,4,20200812T205418,64493,4-20200812205418643,20200812T205418,20220812T205418,2,Sfilab01,71,4-20200812205418644
ryLu-VPsoW,4-20200812204918390,4,20200812T204918,64492,4-20200812204918390,20200812T204918,20220812T204918,2,Sfilab01,72,4-20200812204918390
ryLu-VPsoW,4-20200812204416880,4,20200812T204416,64491,4-20200812204416879,20200812T204416,20220812T204416,2,Sfilab01,72,4-20200812204416880
ryLu-VPsoW,4-20200812203911112,4,20200812T203911,64490,4-20200812203911111,20200812T203911,20220812T203911,2,Sfilab01,72,4-20200812203911112
ryLu-VPsoW,4-20200812203401930,4,20200812T203401,64489,4-20200812203401930,20200812T203401,20220812T203401,2,Sfilab01,72,4-20200812203401930
ryLu-VPsoW,4-20200812202859754,4,20200812T202859,64488,4-20200812202859754,20200812T202859,20220812T202859,2,Sfilab01,71,4-20200812202859754
ryLu-VPsoW,4-20200812202357576,4,20200812T202357,64487,4-20200812202357576,20200812T202357,20220812T202357,2,Sfilab01,71,4-20200812202357576
ryLu-VPsoW,4-20200812201854398,4,20200812T201854,64486,4-20200812201854398,20200812T201854,20220812T201854,2,Sfilab01,71,4-20200812201854398
ryLu-VPsoW,4-20200812201354818,4,20200812T201354,64485,4-20200812201354817,20200812T201354,20220812T201354,2,Sfilab01,72,4-20200812201354818
ryLu-VPsoW,4-20200812200854046,4,20200812T200854,64484,4-20200812200854046,20200812T200854,20220812T200854,2,Sfilab01,72,4-20200812200854046
ryLu-VPsoW,4-20200812200354797,4,20200812T200354,64483,4-20200812200354797,20200812T200354,20220812T200354,2,Sfilab01,72,4-20200812200354797
ryLu-VPsoW,4-20200812195846287,4,20200812T195846,64482,4-20200812195846287,20200812T195846,20220812T195846,2,Sfilab01,72,4-20200812195846287
ryLu-VPsoW,4-20200812195343277,4,20200812T195343,64481,4-20200812195343276,20200812T195343,20220812T195343,2,Sfilab01,72,4-20200812195343277
ryLu-VPsoW,4-20200812194833330,4,20200812T194833,64480,4-20200812194833330,20200812T194833,20220812T194833,2,Sfilab01,72,4-20200812194833330
ryLu-VPsoW,4-20200812194331756,4,20200812T194331,64479,4-20200812194331756,20200812T194331,20220812T194331,2,Sfilab01,72,4-20200812194331756
ryLu-VPsoW,4-20200812193823974,4,20200812T193823,64478,4-20200812193823973,20200812T193823,20220812T193823,2,Sfilab01,72,4-20200812193823974
ryLu-VPsoW,4-20200812193319798,4,20200812T193319,64477,4-20200812193319798,20200812T193319,20220812T193319,2,Sfilab01,72,4-20200812193319798
ryLu-VPsoW,4-20200812192811616,4,20200812T192811,64476,4-20200812192811616,20200812T192811,20220812T192811,2,Sfilab01,72,4-20200812192811616
ryLu-VPsoW,4-20200812192307438,4,20200812T192307,64475,4-20200812192307438,20200812T192307,20220812T192307,2,Sfilab01,72,4-20200812192307438
ryLu-VPsoW,4-20200812191758256,4,20200812T191758,64474,4-20200812191758256,20200812T191758,20220812T191758,2,Sfilab01,72,4-20200812191758256
ryLu-VPsoW,4-20200812191258092,4,20200812T191258,64473,4-20200812191258091,20200812T191258,20220812T191258,2,Sfilab01,72,4-20200812191258092
ryLu-VPsoW,4-20200812190756904,4,20200812T190756,64472,4-20200812190756904,20200812T190756,20220812T190756,2,Sfilab01,72,4-20200812190756904
ryLu-VPsoW,4-20200812190249735,4,20200812T190249,64471,4-20200812190249735,20200812T190249,20220812T190249,2,Sfilab01,72,4-20200812190249735
