pi,ri,ty,ct,st,rn,lt,et,cs,cr,con
BJL6fNPjoW,4-20200812215147522,4,20200812T215147,68620,4-20200812215147522,20200812T215147,20220812T215147,7,Sfilab07,1905432,4-20200812215147522
BJL6fNPjoW,4-20200812214716176,4,20200812T214716,68619,4-20200812214716176,20200812T214716,20220812T214716,7,Sfilab07,2015331,4-20200812214716176
BJL6fNPjoW,4-20200812214241169,4,20200812T214241,68618,4-20200812214241169,20200812T214241,20220812T214241,7,Sfilab07,2163514,4-20200812214241169
BJL6fNPjoW,4-20200812213801820,4,20200812T213801,68617,4-20200812213801819,20200812T213801,20220812T213801,7,Sfilab07,1766158,4-20200812213801820
BJL6fNPjoW,4-20200812213723325,4,20200812T213723,68616,4-20200812213723325,20200812T213723,20220812T213723,7,Sfilab07,1766158,4-20200812213723325
BJL6fNPjoW,4-20200812213117789,4,20200812T213117,68615,4-20200812213117789,20200812T213117,20220812T213117,7,Sfilab07,1459037,4-20200812213117789
BJL6fNPjoW,4-20200812212636300,4,20200812T212636,68614,4-20200812212636300,20200812T212636,20220812T212636,7,Sfilab07,1572873,4-20200812212636300
BJL6fNPjoW,4-20200812212117438,4,20200812T212117,68613,4-20200812212117438,20200812T212117,20220812T212117,7,Sfilab07,1674567,4-20200812212117438
BJL6fNPjoW,4-20200812211602250,4,20200812T211602,68612,4-20200812211602250,20200812T211602,20220812T211602,7,Sfilab07,1883096,4-20200812211602250
BJL6fNPjoW,4-20200812211129273,4,20200812T211129,68611,4-20200812211129273,20200812T211129,20220812T211129,7,Sfilab07,1670926,4-20200812211129273
BJL6fNPjoW,4-20200812210607904,4,20200812T210607,68610,4-20200812210607904,20200812T210607,20220812T210607,6,Sfilab07,665844,4-20200812210607904
BJL6fNPjoW,4-20200812210051715,4,20200812T210051,68609,4-20200812210051715,20200812T210051,20220812T210051,7,Sfilab07,1256191,4-20200812210051715
BJL6fNPjoW,4-20200812205546531,4,20200812T205546,68608,4-20200812205546531,20200812T205546,20220812T205546,6,Sfilab07,721509,4-20200812205546531
BJL6fNPjoW,4-20200812205059368,4,20200812T205059,68607,4-20200812205059368,20200812T205059,20220812T205059,7,Sfilab07,1720802,4-20200812205059368
BJL6fNPjoW,4-20200812204529729,4,20200812T204529,68606,4-20200812204529728,20200812T204529,20220812T204529,6,Sfilab07,729675,4-20200812204529729
BJL6fNPjoW,4-20200812204110021,4,20200812T204110,68605,4-20200812204110021,20200812T204110,20220812T204110,6,Sfilab07,346042,4-20200812204110021
BJL6fNPjoW,4-20200812203521813,4,20200812T203521,68604,4-20200812203521813,20200812T203521,20220812T203521,7,Sfilab07,1177678,4-20200812203521813
BJL6fNPjoW,4-20200812203019704,4,20200812T203019,68603,4-20200812203019704,20200812T203019,20220812T203019,7,Sfilab07,1733014,4-20200812203019704
BJL6fNPjoW,4-20200812202513216,4,20200812T202513,68602,4-20200812202513216,20200812T202513,20220812T202513,7,Sfilab07,1516001,4-20200812202513216
BJL6fNPjoW,4-20200812202038295,4,20200812T202038,68601,4-20200812202038295,20200812T202038,20220812T202038,6,Sfilab07,644729,4-20200812202038295
BJL6fNPjoW,4-20200812201504677,4,20200812T201504,68600,4-20200812201504676,20200812T201504,20220812T201504,7,Sfilab07,1624656,4-20200812201504677
BJL6fNPjoW,4-20200812201001917,4,20200812T201001,68599,4-20200812201001917,20200812T201001,20220812T201001,7,Sfilab07,1042237,4-20200812201001917
