pi,ri,ty,ct,st,rn,lt,et,cs,cr,con
SkG_z4vjsW,4-20200812223635161,4,20200812T223635,141337,4-20200812223635161,20200812T223635,20220812T223635,6,Sfilab13,105.07,4-20200812223635161
SkG_z4vjsW,4-20200812223154530,4,20200812T223154,141336,4-20200812223154529,20200812T223154,20220812T223154,6,Sfilab13,108.68,4-20200812223154530
SkG_z4vjsW,4-20200812222625015,4,20200812T222625,141335,4-20200812222625015,20200812T222625,20220812T222625,6,Sfilab13,345.99,4-20200812222625015
SkG_z4vjsW,4-20200812222146177,4,20200812T222146,141334,4-20200812222146177,20200812T222146,20220812T222146,5,Sfilab13,54.13,4-20200812222146177
SkG_z4vjsW,4-20200812221614617,4,20200812T221614,141333,4-20200812221614617,20200812T221614,20220812T221614,5,Sfilab13,44.71,4-20200812221614617
SkG_z4vjsW,4-20200812221140843,4,20200812T221140,141332,4-20200812221140843,20200812T221140,20220812T221140,5,Sfilab13,40.86,4-20200812221140843
SkG_z4vjsW,4-20200812220611056,4,20200812T220611,141331,4-20200812220611056,20200812T220611,20220812T220611,5,Sfilab13,34.91,4-20200812220611056
SkG_z4vjsW,4-20200812220137046,4,20200812T220137,141330,4-20200812220137045,20200812T220137,20220812T220137,5,Sfilab13,51.17,4-20200812220137046
SkG_z4vjsW,4-20200812215603036,4,20200812T215603,141329,4-20200812215603035,20200812T215603,20220812T215603,5,Sfilab13,75.84,4-20200812215603036
SkG_z4vjsW,4-20200812215129024,4,20200812T215129,141328,4-20200812215129024,20200812T215129,20220812T215129,5,Sfilab13,78.44,4-20200812215129024
SkG_z4vjsW,4-20200812214610945,4,20200812T214610,141327,4-20200812214610945,20200812T214610,20220812T214610,5,Sfilab13,89.77,4-20200812214610945
SkG_z4vjsW,4-20200812214048759,4,20200812T214048,141326,4-20200812214048759,20200812T214048,20220812T214048,5,Sfilab13,92.85,4-20200812214048759
SkG_z4vjsW,4-20200812213530250,4,20200812T213530,141325,4-20200812213530250,20200812T213530,20220812T213530,5,Sfilab13,67.01,4-20200812213530250
SkG_z4vjsW,4-20200812213024072,4,20200812T213024,141324,4-20200812213024072,20200812T213024,20220812T213024,5,Sfilab13,45.73,4-20200812213024072
SkG_z4vjsW,4-20200812212517840,4,20200812T212517,141323,4-20200812212517839,20200812T212517,20220812T212517,5,Sfilab13,26.36,4-20200812212517840
SkG_z4vjsW,4-20200812212014330,4,20200812T212014,141322,4-20200812212014330,20200812T212014,20220812T212014,5,Sfilab13,16.44,4-20200812212014330
SkG_z4vjsW,4-20200812211536819,4,20200812T211536,141321,4-20200812211536819,20200812T211536,20220812T211536,5,Sfilab13,10.72,4-20200812211536819
SkG_z4vjsW,4-20200812211012807,4,20200812T211012,141320,4-20200812211012807,20200812T211012,20220812T211012,5,Sfilab13,10.84,4-20200812211012807
SkG_z4vjsW,4-20200812210537556,4,20200812T210537,141319,4-20200812210537556,20200812T210537,20220812T210537,4,Sfilab13,7.57,4-20200812210537556
SkG_z4vjsW,4-20200812205952785,4,20200812T205952,141318,4-20200812205952785,20200812T205952,20220812T205952,4,Sfilab13,6.92,4-20200812205952785
SkG_z4vjsW,4-20200812205459174,4,20200812T205459,141317,4-20200812205459173,20200812T205459,20220812T205459,4,Sfilab13,6.39,4-20200812205459174
SkG_z4vjsW,4-20200812205023017,4,20200812T205023,141316,4-20200812205023016,20200812T205023,20220812T205023,4,Sfilab13,4.12,4-20200812205023017
SkG_z4vjsW,4-20200812204435491,4,20200812T204435,141315,4-20200812204435490,20200812T204435,20220812T204435,4,Sfilab13,3.11,4-20200812204435491
SkG_z4vjsW,4-20200812203932315,4,20200812T203932,141314,4-20200812203932315,20200812T203932,20220812T203932,4,Sfilab13,2.27,4-20200812203932315
SkG_z4vjsW,4-20200812203428140,4,20200812T203428,141313,4-20200812203428140,20200812T203428,20220812T203428,4,Sfilab13,1.47,4-20200812203428140
SkG_z4vjsW,4-20200812202926967,4,20200812T202926,141312,4-20200812202926967,20200812T202926,20220812T202926,4,Sfilab13,1.01,4-20200812202926967
