pi,ri,ty,ct,st,rn,lt,et,cs,cr,con
HkMSM4wsjZ,4-20200813004738160,4,20200813T004738,69776,4-20200813004738160,20200813T004738,20220813T004738,4,Sfilab08,7.65,4-20200813004738160
HkMSM4wsjZ,4-20200813004209608,4,20200813T004209,69775,4-20200813004209607,20200813T004209,20220813T004209,4,Sfilab08,7.65,4-20200813004209608
HkMSM4wsjZ,4-20200813003724716,4,20200813T003724,69774,4-20200813003724716,20200813T003724,20220813T003724,4,Sfilab08,7.57,4-20200813003724716
HkMSM4wsjZ,4-20200813003205532,4,20200813T003205,69773,4-20200813003205532,20200813T003205,20220813T003205,4,Sfilab08,7.65,4-20200813003205532
HkMSM4wsjZ,4-20200813002720362,4,20200813T002720,69772,4-20200813002720362,20200813T002720,20220813T002720,4,Sfilab08,7.74,4-20200813002720362
HkMSM4wsjZ,4-20200813002156181,4,20200813T002156,69771,4-20200813002156181,20200813T002156,20220813T002156,4,Sfilab08,7.65,4-20200813002156181
HkMSM4wsjZ,4-20200813001640993,4,20200813T001640,69770,4-20200813001640993,20200813T001640,20220813T001640,4,Sfilab08,7.65,4-20200813001640993
HkMSM4wsjZ,4-20200813001202829,4,20200813T001202,69769,4-20200813001202828,20200813T001202,20220813T001202,4,Sfilab08,7.57,4-20200813001202829
HkMSM4wsjZ,4-20200813000642640,4,20200813T000642,69768,4-20200813000642640,20200813T000642,20220813T000642,4,Sfilab08,7.57,4-20200813000642640
HkMSM4wsjZ,4-20200813000125185,4,20200813T000125,69767,4-20200813000125185,20200813T000125,20220813T000125,4,Sfilab08,7.57,4-20200813000125185
HkMSM4wsjZ,4-20200812235644296,4,20200812T235644,69766,4-20200812235644296,20200812T235644,20220812T235644,4,Sfilab08,7.57,4-20200812235644296
HkMSM4wsjZ,4-20200812235113829,4,20200812T235113,69765,4-20200812235113829,20200812T235113,20220812T235113,4,Sfilab08,7.48,4-20200812235113829
HkMSM4wsjZ,4-20200812234639942,4,20200812T234639,69764,4-20200812234639942,20200812T234639,20220812T234639,4,Sfilab08,7.57,4-20200812234639942
HkMSM4wsjZ,4-20200812234122774,4,20200812T234122,69763,4-20200812234122773,20200812T234122,20220812T234122,4,Sfilab08,7.57,4-20200812234122774
HkMSM4wsjZ,4-20200812233605296,4,20200812T233605,69762,4-20200812233605296,20200812T233605,20220812T233605,4,Sfilab08,7.57,4-20200812233605296
HkMSM4wsjZ,4-20200812233130407,4,20200812T233130,69761,4-20200812233130407,20200812T233130,20220812T233130,4,Sfilab08,7.57,4-20200812233130407
HkMSM4wsjZ,4-20200812232612221,4,20200812T232612,69760,4-20200812232612221,20200812T232612,20220812T232612,4,Sfilab08,7.57,4-20200812232612221
HkMSM4wsjZ,4-20200812232054760,4,20200812T232054,69759,4-20200812232054760,20200812T232054,20220812T232054,4,Sfilab08,7.57,4-20200812232054760
HkMSM4wsjZ,4-20200812231617870,4,20200812T231617,69758,4-20200812231617870,20200812T231617,20220812T231617,4,Sfilab08,7.57,4-20200812231617870
HkMSM4wsjZ,4-20200812231055681,4,20200812T231055,69757,4-20200812231055681,20200812T231055,20220812T231055,4,Sfilab08,7.57,4-20200812231055681
HkMSM4wsjZ,4-20200812230610514,4,20200812T230610,69756,4-20200812230610514,20200812T230610,20220812T230610,4,Sfilab08,7.57,4-20200812230610514
HkMSM4wsjZ,4-20200812230047325,4,20200812T230047,69755,4-20200812230047324,20200812T230047,20220812T230047,4,Sfilab08,7.57,4-20200812230047325
HkMSM4wsjZ,4-20200812225524864,4,20200812T225524,69754,4-20200812225524862,20200812T225524,20220812T225524,4,Sfilab08,7.65,4-20200812225524864
HkMSM4wsjZ,4-20200812225046972,4,20200812T225046,69753,4-20200812225046972,20200812T225046,20220812T225046,4,Sfilab08,7.57,4-20200812225046972
HkMSM4wsjZ,4-20200812224518777,4,20200812T224518,69752,4-20200812224518777,20200812T224518,20220812T224518,4,Sfilab08,7.65,4-20200812224518777
HkMSM4wsjZ,4-20200812224031610,4,20200812T224031,69751,4-20200812224031610,20200812T224031,20220812T224031,4,Sfilab08,7.57,4-20200812224031610
HkMSM4wsjZ,4-20200812223511148,4,20200812T223511,69750,4-20200812223511148,20200812T223511,20220812T223511,4,Sfilab08,7.57,4-20200812223511148
HkMSM4wsjZ,4-20200812223024253,4,20200812T223024,69749,4-20200812223024253,20200812T223024,20220812T223024,4,Sfilab08,7.65,4-20200812223024253
HkMSM4wsjZ,4-20200812222500790,4,20200812T222500,69748,4-20200812222500790,20200812T222500,20220812T222500,4,Sfilab08,7.57,4-20200812222500790
HkMSM4wsjZ,4-20200812222013895,4,20200812T222013,69747,4-20200812222013895,20200812T222013,20220812T222013,4,Sfilab08,7.48,4-20200812222013895
HkMSM4wsjZ,4-20200812221450705,4,20200812T221450,69746,4-20200812221450705,20200812T221450,20220812T221450,4,Sfilab08,7.57,4-20200812221450705
HkMSM4wsjZ,4-20200812220956530,4,20200812T220956,69745,4-20200812220956530,20200812T220956,20220812T220956,4,Sfilab08,7.57,4-20200812220956530
HkMSM4wsjZ,4-20200812220436069,4,20200812T220436,69744,4-20200812220436069,20200812T220436,20220812T220436,4,Sfilab08,7.57,4-20200812220436069
HkMSM4wsjZ,4-20200812215946171,4,20200812T215946,69743,4-20200812215946171,20200812T215946,20220812T215946,4,Sfilab08,7.57,4-20200812215946171
HkMSM4wsjZ,4-20200812215428985,4,20200812T215428,69742,4-20200812215428985,20200812T215428,20220812T215428,4,Sfilab08,7.57,4-20200812215428985
HkMSM4wsjZ,4-20200812214941815,4,20200812T214941,69741,4-20200812214941815,20200812T214941,20220812T214941,4,Sfilab08,7.57,4-20200812214941815
HkMSM4wsjZ,4-20200812214423628,4,20200812T214423,69740,4-20200812214423628,20200812T214423,20220812T214423,4,Sfilab08,7.57,4-20200812214423628
HkMSM4wsjZ,4-20200812213940462,4,20200812T213940,69739,4-20200812213940462,20200812T213940,20220812T213940,4,Sfilab08,7.57,4-20200812213940462
HkMSM4wsjZ,4-20200812213424275,4,20200812T213424,69738,4-20200812213424275,20200812T213424,20220812T213424,4,Sfilab08,7.57,4-20200812213424275
HkMSM4wsjZ,4-20200812212904087,4,20200812T212904,69737,4-20200812212904087,20200812T212904,20220812T212904,4,Sfilab08,7.57,4-20200812212904087
HkMSM4wsjZ,4-20200812212426925,4,20200812T212426,69736,4-20200812212426924,20200812T212426,20220812T212426,4,Sfilab08,7.57,4-20200812212426925
HkMSM4wsjZ,4-20200812211905736,4,20200812T211905,69735,4-20200812211905735,20200812T211905,20220812T211905,4,Sfilab08,7.48,4-20200812211905736
HkMSM4wsjZ,4-20200812211416565,4,20200812T211416,69734,4-20200812211416565,20200812T211416,20220812T211416,4,Sfilab08,7.48,4-20200812211416565
HkMSM4wsjZ,4-20200812210858377,4,20200812T210858,69733,4-20200812210858377,20200812T210858,20220812T210858,4,Sfilab08,7.57,4-20200812210858377
HkMSM4wsjZ,4-20200812210337189,4,20200812T210337,69732,4-20200812210337188,20200812T210337,20220812T210337,4,Sfilab08,7.48,4-20200812210337189
HkMSM4wsjZ,4-20200812205902027,4,20200812T205902,69731,4-20200812205902026,20200812T205902,20220812T205902,4,Sfilab08,7.48,4-20200812205902027
HkMSM4wsjZ,4-20200812205345840,4,20200812T205345,69730,4-20200812205345839,20200812T205345,20220812T205345,4,Sfilab08,7.48,4-20200812205345840
HkMSM4wsjZ,4-20200812204858686,4,20200812T204858,69729,4-20200812204858684,20200812T204858,20220812T204858,4,Sfilab08,7.48,4-20200812204858686
HkMSM4wsjZ,4-20200812204333480,4,20200812T204333,69728,4-20200812204333479,20200812T204333,20220812T204333,4,Sfilab08,7.48,4-20200812204333480
HkMSM4wsjZ,4-20200812203843309,4,20200812T203843,69727,4-20200812203843309,20200812T203843,20220812T203843,4,Sfilab08,7.48,4-20200812203843309
HkMSM4wsjZ,4-20200812203325124,4,20200812T203325,69726,4-20200812203325124,20200812T203325,20220812T203325,4,Sfilab08,7.57,4-20200812203325124
HkMSM4wsjZ,4-20200812202807937,4,20200812T202807,69725,4-20200812202807937,20200812T202807,20220812T202807,4,Sfilab08,7.48,4-20200812202807937
HkMSM4wsjZ,4-20200812202318767,4,20200812T202318,69724,4-20200812202318767,20200812T202318,20220812T202318,4,Sfilab08,7.48,4-20200812202318767
HkMSM4wsjZ,4-20200812201754578,4,20200812T201754,69723,4-20200812201754577,20200812T201754,20220812T201754,4,Sfilab08,7.48,4-20200812201754578
HkMSM4wsjZ,4-20200812201313414,4,20200812T201313,69722,4-20200812201313414,20200812T201313,20220812T201313,4,Sfilab08,7.57,4-20200812201313414
HkMSM4wsjZ,4-20200812200744218,4,20200812T200744,69721,4-20200812200744217,20200812T200744,20220812T200744,4,Sfilab08,7.48,4-20200812200744218
HkMSM4wsjZ,4-20200812200303053,4,20200812T200303,69720,4-20200812200303053,20200812T200303,20220812T200303,4,Sfilab08,7.48,4-20200812200303053
HkMSM4wsjZ,4-20200812195735860,4,20200812T195735,69719,4-20200812195735859,20200812T195735,20220812T195735,4,Sfilab08,7.57,4-20200812195735860
HkMSM4wsjZ,4-20200812195250690,4,20200812T195250,69718,4-20200812195250690,20200812T195250,20220812T195250,4,Sfilab08,7.48,4-20200812195250690
HkMSM4wsjZ,4-20200812194719498,4,20200812T194719,69717,4-20200812194719498,20200812T194719,20220812T194719,4,Sfilab08,7.48,4-20200812194719498
HkMSM4wsjZ,4-20200812194201309,4,20200812T194201,69716,4-20200812194201308,20200812T194201,20220812T194201,4,Sfilab08,7.57,4-20200812194201309
HkMSM4wsjZ,4-20200812193650852,4,20200812T193650,69715,4-20200812193650852,20200812T193650,20220812T193650,4,Sfilab08,7.48,4-20200812193650852
HkMSM4wsjZ,4-20200812193156955,4,20200812T193156,69714,4-20200812193156955,20200812T193156,20220812T193156,4,Sfilab08,7.48,4-20200812193156955
HkMSM4wsjZ,4-20200812192642494,4,20200812T192642,69713,4-20200812192642494,20200812T192642,20220812T192642,4,Sfilab08,7.48,4-20200812192642494
HkMSM4wsjZ,4-20200812192143592,4,20200812T192143,69712,4-20200812192143591,20200812T192143,20220812T192143,4,Sfilab08,7.48,4-20200812192143592
HkMSM4wsjZ,4-20200812191631134,4,20200812T191631,69711,4-20200812191631134,20200812T191631,20220812T191631,4,Sfilab08,7.57,4-20200812191631134
HkMSM4wsjZ,4-20200812191127956,4,20200812T191127,69710,4-20200812191127956,20200812T191127,20220812T191127,4,Sfilab08,7.57,4-20200812191127956
HkMSM4wsjZ,4-20200812190627789,4,20200812T190627,69709,4-20200812190627789,20200812T190627,20220812T190627,4,Sfilab08,7.57,4-20200812190627789
HkMSM4wsjZ,4-20200812190121600,4,20200812T190121,69708,4-20200812190121600,20200812T190121,20220812T190121,4,Sfilab08,7.57,4-20200812190121600
HkMSM4wsjZ,4-20200812185617422,4,20200812T185617,69707,4-20200812185617422,20200812T185617,20220812T185617,4,Sfilab08,7.48,4-20200812185617422
HkMSM4wsjZ,4-20200812185116245,4,20200812T185116,69706,4-20200812185116245,20200812T185116,20220812T185116,4,Sfilab08,7.57,4-20200812185116245
HkMSM4wsjZ,4-20200812184608064,4,20200812T184608,69705,4-20200812184608064,20200812T184608,20220812T184608,4,Sfilab08,7.57,4-20200812184608064
HkMSM4wsjZ,4-20200812184104887,4,20200812T184104,69704,4-20200812184104887,20200812T184104,20220812T184104,4,Sfilab08,7.48,4-20200812184104887
HkMSM4wsjZ,4-20200812183557708,4,20200812T183557,69703,4-20200812183557708,20200812T183557,20220812T183557,4,Sfilab08,7.57,4-20200812183557708
HkMSM4wsjZ,4-20200812183052528,4,20200812T183052,69702,4-20200812183052528,20200812T183052,20220812T183052,4,Sfilab08,7.57,4-20200812183052528
HkMSM4wsjZ,4-20200812182545348,4,20200812T182545,69701,4-20200812182545348,20200812T182545,20220812T182545,4,Sfilab08,7.57,4-20200812182545348
HkMSM4wsjZ,4-20200812182040170,4,20200812T182040,69700,4-20200812182040169,20200812T182040,20220812T182040,4,Sfilab08,7.57,4-20200812182040170
HkMSM4wsjZ,4-20200812181534992,4,20200812T181534,69699,4-20200812181534991,20200812T181534,20220812T181534,4,Sfilab08,7.57,4-20200812181534992
HkMSM4wsjZ,4-20200812181036088,4,20200812T181036,69698,4-20200812181036087,20200812T181036,20220812T181036,4,Sfilab08,7.57,4-20200812181036088
HkMSM4wsjZ,4-20200812180525632,4,20200812T180525,69697,4-20200812180525632,20200812T180525,20220812T180525,4,Sfilab08,7.57,4-20200812180525632
HkMSM4wsjZ,4-20200812180020453,4,20200812T180020,69696,4-20200812180020453,20200812T180020,20220812T180020,4,Sfilab08,7.57,4-20200812180020453
HkMSM4wsjZ,4-20200812175514274,4,20200812T175514,69695,4-20200812175514273,20200812T175514,20220812T175514,4,Sfilab08,7.65,4-20200812175514274
HkMSM4wsjZ,4-20200812175012368,4,20200812T175012,69694,4-20200812175012368,20200812T175012,20220812T175012,4,Sfilab08,7.57,4-20200812175012368
HkMSM4wsjZ,4-20200812174501913,4,20200812T174501,69693,4-20200812174501913,20200812T174501,20220812T174501,4,Sfilab08,7.57,4-20200812174501913
HkMSM4wsjZ,4-20200812174001738,4,20200812T174001,69692,4-20200812174001738,20200812T174001,20220812T174001,4,Sfilab08,7.65,4-20200812174001738
HkMSM4wsjZ,4-20200812173457559,4,20200812T173457,69691,4-20200812173457558,20200812T173457,20220812T173457,4,Sfilab08,7.57,4-20200812173457559
