pi,ri,ty,ct,st,rn,lt,et,cs,cr,con
HJz7-NPoiZ,4-20200812220148771,4,20200812T220148,64703,4-20200812220148771,20200812T220148,20220812T220148,5,Sfilab06,21.10,4-20200812220148771
HJz7-NPoiZ,4-20200812215627614,4,20200812T215627,64702,4-20200812215627614,20200812T215627,20220812T215627,5,Sfilab06,21.10,4-20200812215627614
HJz7-NPoiZ,4-20200812215107393,4,20200812T215107,64701,4-20200812215107392,20200812T215107,20220812T215107,5,Sfilab06,21.10,4-20200812215107393
HJz7-NPoiZ,4-20200812214634791,4,20200812T214634,64700,4-20200812214634790,20200812T214634,20220812T214634,5,Sfilab06,21.20,4-20200812214634791
HJz7-NPoiZ,4-20200812214119296,4,20200812T214119,64699,4-20200812214119295,20200812T214119,20220812T214119,5,Sfilab06,21.20,4-20200812214119296
HJz7-NPoiZ,4-20200812213812748,4,20200812T213812,64698,4-20200812213812747,20200812T213812,20220812T213812,5,Sfilab06,21.30,4-20200812213812748
HJz7-NPoiZ,4-20200812213726467,4,20200812T213726,64697,4-20200812213726467,20200812T213726,20220812T213726,5,Sfilab06,21.30,4-20200812213726467
HJz7-NPoiZ,4-20200812213123925,4,20200812T213123,64696,4-20200812213123925,20200812T213123,20220812T213123,5,Sfilab06,21.30,4-20200812213123925
HJz7-NPoiZ,4-20200812212652415,4,20200812T212652,64695,4-20200812212652415,20200812T212652,20220812T212652,5,Sfilab06,21.30,4-20200812212652415
HJz7-NPoiZ,4-20200812212051873,4,20200812T212051,64694,4-20200812212051873,20200812T212051,20220812T212051,5,Sfilab06,21.40,4-20200812212051873
HJz7-NPoiZ,4-20200812211614183,4,20200812T211614,64693,4-20200812211614182,20200812T211614,20220812T211614,5,Sfilab06,21.60,4-20200812211614183
HJz7-NPoiZ,4-20200812211055559,4,20200812T211055,64692,4-20200812211055558,20200812T211055,20220812T211055,5,Sfilab06,21.70,4-20200812211055559
HJz7-NPoiZ,4-20200812210618393,4,20200812T210618,64691,4-20200812210618393,20200812T210618,20220812T210618,5,Sfilab06,21.90,4-20200812210618393
HJz7-NPoiZ,4-20200812210143233,4,20200812T210143,64690,4-20200812210143233,20200812T210143,20220812T210143,5,Sfilab06,21.90,4-20200812210143233
HJz7-NPoiZ,4-20200812205620824,4,20200812T205620,64689,4-20200812205620824,20200812T205620,20220812T205620,5,Sfilab06,21.90,4-20200812205620824
HJz7-NPoiZ,4-20200812205141883,4,20200812T205141,64688,4-20200812205141883,20200812T205141,20220812T205141,5,Sfilab06,21.80,4-20200812205141883
HJz7-NPoiZ,4-20200812204621305,4,20200812T204621,64687,4-20200812204621305,20200812T204621,20220812T204621,5,Sfilab06,21.80,4-20200812204621305
HJz7-NPoiZ,4-20200812204105510,4,20200812T204105,64686,4-20200812204105509,20200812T204105,20220812T204105,5,Sfilab06,21.70,4-20200812204105510
HJz7-NPoiZ,4-20200812203627346,4,20200812T203627,64685,4-20200812203627346,20200812T203627,20220812T203627,5,Sfilab06,21.80,4-20200812203627346
HJz7-NPoiZ,4-20200812203103156,4,20200812T203103,64684,4-20200812203103156,20200812T203103,20220812T203103,5,Sfilab06,21.70,4-20200812203103156
HJz7-NPoiZ,4-20200812202541263,4,20200812T202541,64683,4-20200812202541263,20200812T202541,20220812T202541,5,Sfilab06,21.70,4-20200812202541263
HJz7-NPoiZ,4-20200812202106808,4,20200812T202106,64682,4-20200812202106807,20200812T202106,20220812T202106,5,Sfilab06,21.60,4-20200812202106808
HJz7-NPoiZ,4-20200812201546069,4,20200812T201546,64681,4-20200812201546068,20200812T201546,20220812T201546,5,Sfilab06,21.60,4-20200812201546069
HJz7-NPoiZ,4-20200812201100248,4,20200812T201100,64680,4-20200812201100247,20200812T201100,20220812T201100,5,Sfilab06,21.60,4-20200812201100248
HJz7-NPoiZ,4-20200812200527984,4,20200812T200527,64679,4-20200812200527983,20200812T200527,20220812T200527,5,Sfilab06,21.60,4-20200812200527984
HJz7-NPoiZ,4-20200812200042712,4,20200812T200042,64678,4-20200812200042712,20200812T200042,20220812T200042,5,Sfilab06,21.60,4-20200812200042712
HJz7-NPoiZ,4-20200812195525645,4,20200812T195525,64677,4-20200812195525645,20200812T195525,20220812T195525,5,Sfilab06,21.50,4-20200812195525645
HJz7-NPoiZ,4-20200812195034691,4,20200812T195034,64676,4-20200812195034691,20200812T195034,20220812T195034,5,Sfilab06,21.50,4-20200812195034691
HJz7-NPoiZ,4-20200812194513182,4,20200812T194513,64675,4-20200812194513181,20200812T194513,20220812T194513,5,Sfilab06,21.50,4-20200812194513182
HJz7-NPoiZ,4-20200812194026384,4,20200812T194026,64674,4-20200812194026383,20200812T194026,20220812T194026,5,Sfilab06,21.50,4-20200812194026384
HJz7-NPoiZ,4-20200812193507647,4,20200812T193507,64673,4-20200812193507647,20200812T193507,20220812T193507,5,Sfilab06,21.40,4-20200812193507647
HJz7-NPoiZ,4-20200812192938009,4,20200812T192938,64672,4-20200812192938009,20200812T192938,20220812T192938,5,Sfilab06,21.40,4-20200812192938009
HJz7-NPoiZ,4-20200812192505143,4,20200812T192505,64671,4-20200812192505143,20200812T192505,20220812T192505,5,Sfilab06,21.30,4-20200812192505143
HJz7-NPoiZ,4-20200812191935630,4,20200812T191935,64670,4-20200812191935630,20200812T191935,20220812T191935,5,Sfilab06,21.30,4-20200812191935630
HJz7-NPoiZ,4-20200812191413618,4,20200812T191413,64669,4-20200812191413618,20200812T191413,20220812T191413,5,Sfilab06,21.30,4-20200812191413618
HJz7-NPoiZ,4-20200812191006334,4,20200812T191006,64668,4-20200812191006334,20200812T191006,20220812T191006,5,Sfilab06,21.30,4-20200812191006334
HJz7-NPoiZ,4-20200812190439599,4,20200812T190439,64667,4-20200812190439599,20200812T190439,20220812T190439,5,Sfilab06,21.30,4-20200812190439599
HJz7-NPoiZ,4-20200812185950980,4,20200812T185950,64666,4-20200812185950980,20200812T185950,20220812T185950,5,Sfilab06,21.20,4-20200812185950980
HJz7-NPoiZ,4-20200812185438079,4,20200812T185438,64665,4-20200812185438079,20200812T185438,20220812T185438,5,Sfilab06,21.20,4-20200812185438079
HJz7-NPoiZ,4-20200812184944069,4,20200812T184944,64664,4-20200812184944069,20200812T184944,20220812T184944,5,Sfilab06,21.20,4-20200812184944069
HJz7-NPoiZ,4-20200812184416162,4,20200812T184416,64663,4-20200812184416162,20200812T184416,20220812T184416,5,Sfilab06,21.10,4-20200812184416162
