pi,ri,ty,ct,st,rn,lt,et,cs,cr,con
S1GkmVvjoW,4-20200813003245490,4,20200813T003245,69315,4-20200813003245490,20200813T003245,20220813T003245,7,Sfilab09,5101890,4-20200813003245490
S1GkmVvjoW,4-20200813002759326,4,20200813T002759,69314,4-20200813002759325,20200813T002759,20220813T002759,7,Sfilab09,5103112,4-20200813002759326
S1GkmVvjoW,4-20200813002306162,4,20200813T002306,69313,4-20200813002306162,20200813T002306,20220813T002306,7,Sfilab09,5167243,4-20200813002306162
S1GkmVvjoW,4-20200813001726970,4,20200813T001726,69312,4-20200813001726970,20200813T001726,20220813T001726,7,Sfilab09,5051109,4-20200813001726970
S1GkmVvjoW,4-20200813001239801,4,20200813T001239,69311,4-20200813001239800,20200813T001239,20220813T001239,7,Sfilab09,5086561,4-20200813001239801
S1GkmVvjoW,4-20200813000749649,4,20200813T000749,69310,4-20200813000749649,20200813T000749,20220813T000749,7,Sfilab09,5201061,4-20200813000749649
S1GkmVvjoW,4-20200813000213438,4,20200813T000213,69309,4-20200813000213437,20200813T000213,20220813T000213,7,Sfilab09,5185989,4-20200813000213438
S1GkmVvjoW,4-20200812235719272,4,20200812T235719,69308,4-20200812235719272,20200812T235719,20220812T235719,7,Sfilab09,5103517,4-20200812235719272
S1GkmVvjoW,4-20200812235234108,4,20200812T235234,69307,4-20200812235234108,20200812T235234,20220812T235234,7,Sfilab09,5167582,4-20200812235234108
S1GkmVvjoW,4-20200812234700917,4,20200812T234700,69306,4-20200812234700917,20200812T234700,20220812T234700,7,Sfilab09,5086674,4-20200812234700917
S1GkmVvjoW,4-20200812234229761,4,20200812T234229,69305,4-20200812234229761,20200812T234229,20220812T234229,7,Sfilab09,5084011,4-20200812234229761
S1GkmVvjoW,4-20200812233656572,4,20200812T233656,69304,4-20200812233656571,20200812T233656,20220812T233656,7,Sfilab09,5170655,4-20200812233656572
S1GkmVvjoW,4-20200812233217407,4,20200812T233217,69303,4-20200812233217407,20200812T233217,20220812T233217,7,Sfilab09,5185513,4-20200812233217407
S1GkmVvjoW,4-20200812232647218,4,20200812T232647,69302,4-20200812232647217,20200812T232647,20220812T232647,7,Sfilab09,5187648,4-20200812232647218
S1GkmVvjoW,4-20200812232127032,4,20200812T232127,69301,4-20200812232127031,20200812T232127,20220812T232127,7,Sfilab09,5153092,4-20200812232127032
S1GkmVvjoW,4-20200812231620858,4,20200812T231620,69300,4-20200812231620858,20200812T231620,20220812T231620,7,Sfilab09,5151404,4-20200812231620858
S1GkmVvjoW,4-20200812231128695,4,20200812T231128,69299,4-20200812231128694,20200812T231128,20220812T231128,7,Sfilab09,5136993,4-20200812231128695
S1GkmVvjoW,4-20200812230609510,4,20200812T230609,69298,4-20200812230609509,20200812T230609,20220812T230609,7,Sfilab09,5135405,4-20200812230609510
S1GkmVvjoW,4-20200812230104335,4,20200812T230104,69297,4-20200812230104335,20200812T230104,20220812T230104,7,Sfilab09,5052892,4-20200812230104335
S1GkmVvjoW,4-20200812225646191,4,20200812T225646,69296,4-20200812225646191,20200812T225646,20220812T225646,7,Sfilab09,5067014,4-20200812225646191
S1GkmVvjoW,4-20200812225112002,4,20200812T225112,69295,4-20200812225112001,20200812T225112,20220812T225112,7,Sfilab09,5052602,4-20200812225112002
