pi,ri,ty,ct,st,rn,lt,et,cs,cr,con
BJUSbVPoib,4-20200812232317448,4,20200812T232317,128286,4-20200812232317448,20200812T232317,20220812T232317,5,Sfilab11,21.80,4-20200812232317448
BJUSbVPoib,4-20200812231810270,4,20200812T231810,128285,4-20200812231810269,20200812T231810,20220812T231810,5,Sfilab11,21.80,4-20200812231810270
BJUSbVPoib,4-20200812231303104,4,20200812T231303,128284,4-20200812231303104,20200812T231303,20220812T231303,5,Sfilab11,21.80,4-20200812231303104
BJUSbVPoib,4-20200812230800927,4,20200812T230800,128283,4-20200812230800927,20200812T230800,20220812T230800,5,Sfilab11,21.80,4-20200812230800927
BJUSbVPoib,4-20200812230254749,4,20200812T230254,128282,4-20200812230254749,20200812T230254,20220812T230254,5,Sfilab11,21.80,4-20200812230254749
BJUSbVPoib,4-20200812225745571,4,20200812T225745,128281,4-20200812225745571,20200812T225745,20220812T225745,5,Sfilab11,21.80,4-20200812225745571
BJUSbVPoib,4-20200812225239404,4,20200812T225239,128280,4-20200812225239403,20200812T225239,20220812T225239,5,Sfilab11,21.80,4-20200812225239404
BJUSbVPoib,4-20200812224730214,4,20200812T224730,128279,4-20200812224730214,20200812T224730,20220812T224730,5,Sfilab11,21.80,4-20200812224730214
BJUSbVPoib,4-20200812224227040,4,20200812T224227,128278,4-20200812224227039,20200812T224227,20220812T224227,5,Sfilab11,21.80,4-20200812224227040
BJUSbVPoib,4-20200812223723864,4,20200812T223723,128277,4-20200812223723864,20200812T223723,20220812T223723,5,Sfilab11,21.90,4-20200812223723864
BJUSbVPoib,4-20200812223215687,4,20200812T223215,128276,4-20200812223215687,20200812T223215,20220812T223215,5,Sfilab11,21.80,4-20200812223215687
BJUSbVPoib,4-20200812222709509,4,20200812T222709,128275,4-20200812222709509,20200812T222709,20220812T222709,5,Sfilab11,21.80,4-20200812222709509
BJUSbVPoib,4-20200812222206334,4,20200812T222206,128274,4-20200812222206334,20200812T222206,20220812T222206,5,Sfilab11,21.80,4-20200812222206334
BJUSbVPoib,4-20200812221705160,4,20200812T221705,128273,4-20200812221705159,20200812T221705,20220812T221705,5,Sfilab11,21.80,4-20200812221705160
BJUSbVPoib,4-20200812221204986,4,20200812T221204,128272,4-20200812221204985,20200812T221204,20220812T221204,5,Sfilab11,21.80,4-20200812221204986
BJUSbVPoib,4-20200812220701813,4,20200812T220701,128271,4-20200812220701813,20200812T220701,20220812T220701,5,Sfilab11,21.80,4-20200812220701813
BJUSbVPoib,4-20200812220155637,4,20200812T220155,128270,4-20200812220155637,20200812T220155,20220812T220155,5,Sfilab11,21.90,4-20200812220155637
BJUSbVPoib,4-20200812215651478,4,20200812T215651,128269,4-20200812215651476,20200812T215651,20220812T215651,5,Sfilab11,21.90,4-20200812215651478
BJUSbVPoib,4-20200812215150287,4,20200812T215150,128268,4-20200812215150286,20200812T215150,20220812T215150,5,Sfilab11,21.90,4-20200812215150287
BJUSbVPoib,4-20200812214648114,4,20200812T214648,128267,4-20200812214648113,20200812T214648,20220812T214648,5,Sfilab11,21.90,4-20200812214648114
BJUSbVPoib,4-20200812214140937,4,20200812T214140,128266,4-20200812214140937,20200812T214140,20220812T214140,5,Sfilab11,22.00,4-20200812214140937
BJUSbVPoib,4-20200812213636763,4,20200812T213636,128265,4-20200812213636763,20200812T213636,20220812T213636,5,Sfilab11,22.00,4-20200812213636763
BJUSbVPoib,4-20200812213131590,4,20200812T213131,128264,4-20200812213131590,20200812T213131,20220812T213131,5,Sfilab11,22.00,4-20200812213131590
BJUSbVPoib,4-20200812212631415,4,20200812T212631,128263,4-20200812212631415,20200812T212631,20220812T212631,5,Sfilab11,22.00,4-20200812212631415
BJUSbVPoib,4-20200812212131243,4,20200812T212131,128262,4-20200812212131243,20200812T212131,20220812T212131,5,Sfilab11,22.10,4-20200812212131243
BJUSbVPoib,4-20200812211627066,4,20200812T211627,128261,4-20200812211627066,20200812T211627,20220812T211627,5,Sfilab11,22.20,4-20200812211627066
BJUSbVPoib,4-20200812211125891,4,20200812T211125,128260,4-20200812211125891,20200812T211125,20220812T211125,5,Sfilab11,22.20,4-20200812211125891
BJUSbVPoib,4-20200812210617713,4,20200812T210617,128259,4-20200812210617713,20200812T210617,20220812T210617,5,Sfilab11,22.10,4-20200812210617713
BJUSbVPoib,4-20200812210117542,4,20200812T210117,128258,4-20200812210117542,20200812T210117,20220812T210117,5,Sfilab11,22.10,4-20200812210117542
BJUSbVPoib,4-20200812205615370,4,20200812T205615,128257,4-20200812205615369,20200812T205615,20220812T205615,5,Sfilab11,22.10,4-20200812205615370
BJUSbVPoib,4-20200812205113191,4,20200812T205113,128256,4-20200812205113191,20200812T205113,20220812T205113,5,Sfilab11,22.10,4-20200812205113191
BJUSbVPoib,4-20200812204608013,4,20200812T204608,128255,4-20200812204608013,20200812T204608,20220812T204608,5,Sfilab11,22.10,4-20200812204608013
BJUSbVPoib,4-20200812204106837,4,20200812T204106,128254,4-20200812204106837,20200812T204106,20220812T204106,5,Sfilab11,22.10,4-20200812204106837
BJUSbVPoib,4-20200812203603662,4,20200812T203603,128253,4-20200812203603662,20200812T203603,20220812T203603,5,Sfilab11,22.10,4-20200812203603662
BJUSbVPoib,4-20200812203103489,4,20200812T203103,128252,4-20200812203103489,20200812T203103,20220812T203103,5,Sfilab11,22.10,4-20200812203103489
BJUSbVPoib,4-20200812202556311,4,20200812T202556,128251,4-20200812202556310,20200812T202556,20220812T202556,5,Sfilab11,22.10,4-20200812202556311
