pi,ri,ty,ct,st,rn,lt,et,cs,cr,con
ryUmfEDjjW,4-20200812233140820,4,20200812T233140,79698,4-20200812233140820,20200812T233140,20220812T233140,5,Sfilab05,10.97,4-20200812233140820
ryUmfEDjjW,4-20200812232647852,4,20200812T232647,79697,4-20200812232647852,20200812T232647,20220812T232647,5,Sfilab05,13.58,4-20200812232647852
ryUmfEDjjW,4-20200812232159650,4,20200812T232159,79696,4-20200812232159649,20200812T232159,20220812T232159,5,Sfilab05,14.52,4-20200812232159650
ryUmfEDjjW,4-20200812231628916,4,20200812T231628,79695,4-20200812231628916,20200812T231628,20220812T231628,5,Sfilab05,14.36,4-20200812231628916
ryUmfEDjjW,4-20200812231139947,4,20200812T231139,79694,4-20200812231139947,20200812T231139,20220812T231139,5,Sfilab05,18.81,4-20200812231139947
ryUmfEDjjW,4-20200812230648617,4,20200812T230648,79693,4-20200812230648616,20200812T230648,20220812T230648,5,Sfilab05,20.58,4-20200812230648617
ryUmfEDjjW,4-20200812230111015,4,20200812T230111,79692,4-20200812230111015,20200812T230111,20220812T230111,5,Sfilab05,20.12,4-20200812230111015
ryUmfEDjjW,4-20200812225636045,4,20200812T225636,79691,4-20200812225636045,20200812T225636,20220812T225636,5,Sfilab05,21.29,4-20200812225636045
ryUmfEDjjW,4-20200812225105587,4,20200812T225105,79690,4-20200812225105587,20200812T225105,20220812T225105,5,Sfilab05,15.02,4-20200812225105587
ryUmfEDjjW,4-20200812224612111,4,20200812T224612,79689,4-20200812224612110,20200812T224612,20220812T224612,5,Sfilab05,15.54,4-20200812224612111
ryUmfEDjjW,4-20200812224127064,4,20200812T224127,79688,4-20200812224127064,20200812T224127,20220812T224127,5,Sfilab05,16.81,4-20200812224127064
ryUmfEDjjW,4-20200812223551178,4,20200812T223551,79687,4-20200812223551178,20200812T223551,20220812T223551,5,Sfilab05,19.24,4-20200812223551178
ryUmfEDjjW,4-20200812223059210,4,20200812T223059,79686,4-20200812223059210,20200812T223059,20220812T223059,6,Sfilab05,302.32,4-20200812223059210
ryUmfEDjjW,4-20200812222608243,4,20200812T222608,79685,4-20200812222608243,20200812T222608,20220812T222608,6,Sfilab05,244.17,4-20200812222608243
ryUmfEDjjW,4-20200812222047617,4,20200812T222047,79684,4-20200812222047617,20200812T222047,20220812T222047,5,Sfilab05,10.60,4-20200812222047617
ryUmfEDjjW,4-20200812221559010,4,20200812T221559,79683,4-20200812221559010,20200812T221559,20220812T221559,4,Sfilab05,9.69,4-20200812221559010
ryUmfEDjjW,4-20200812221040683,4,20200812T221040,79682,4-20200812221040683,20200812T221040,20220812T221040,4,Sfilab05,9.06,4-20200812221040683
ryUmfEDjjW,4-20200812220548373,4,20200812T220548,79681,4-20200812220548372,20200812T220548,20220812T220548,4,Sfilab05,8.19,4-20200812220548373
ryUmfEDjjW,4-20200812220030746,4,20200812T220030,79680,4-20200812220030746,20200812T220030,20220812T220030,5,Sfilab05,10.37,4-20200812220030746
ryUmfEDjjW,4-20200812215530780,4,20200812T215530,79679,4-20200812215530780,20200812T215530,20220812T215530,5,Sfilab05,14.52,4-20200812215530780
ryUmfEDjjW,4-20200812215035473,4,20200812T215035,79678,4-20200812215035471,20200812T215035,20220812T215035,5,Sfilab05,14.86,4-20200812215035473
ryUmfEDjjW,4-20200812214524437,4,20200812T214524,79677,4-20200812214524437,20200812T214524,20220812T214524,5,Sfilab05,16.07,4-20200812214524437
ryUmfEDjjW,4-20200812214016880,4,20200812T214016,79676,4-20200812214016880,20200812T214016,20220812T214016,5,Sfilab05,16.62,4-20200812214016880
ryUmfEDjjW,4-20200812213516572,4,20200812T213516,79675,4-20200812213516572,20200812T213516,20220812T213516,5,Sfilab05,12.41,4-20200812213516572
ryUmfEDjjW,4-20200812213010945,4,20200812T213010,79674,4-20200812213010945,20200812T213010,20220812T213010,4,Sfilab05,9.26,4-20200812213010945
