pi,ri,ty,ct,st,rn,lt,et,cs,cr,con
H1MGbVvjjb,4-20200812193531251,4,20200812T193531,74730,4-20200812193531250,20200812T193531,20220812T193531,5,Sfilab05,21.60,4-20200812193531251
H1MGbVvjjb,4-20200812193029282,4,20200812T193029,74729,4-20200812193029282,20200812T193029,20220812T193029,5,Sfilab05,21.60,4-20200812193029282
H1MGbVvjjb,4-20200812192524081,4,20200812T192524,74728,4-20200812192524081,20200812T192524,20220812T192524,5,Sfilab05,21.50,4-20200812192524081
H1MGbVvjjb,4-20200812192023350,4,20200812T192023,74727,4-20200812192023349,20200812T192023,20220812T192023,5,Sfilab05,21.50,4-20200812192023350
H1MGbVvjjb,4-20200812191522061,4,20200812T191522,74726,4-20200812191522060,20200812T191522,20220812T191522,5,Sfilab05,21.40,4-20200812191522061
H1MGbVvjjb,4-20200812191014417,4,20200812T191014,74725,4-20200812191014416,20200812T191014,20220812T191014,5,Sfilab05,21.40,4-20200812191014417
H1MGbVvjjb,4-20200812190510451,4,20200812T190510,74724,4-20200812190510451,20200812T190510,20220812T190510,5,Sfilab05,21.30,4-20200812190510451
H1MGbVvjjb,4-20200812190007486,4,20200812T190007,74723,4-20200812190007486,20200812T190007,20220812T190007,5,Sfilab05,21.30,4-20200812190007486
H1MGbVvjjb,4-20200812185459520,4,20200812T185459,74722,4-20200812185459520,20200812T185459,20220812T185459,5,Sfilab05,21.30,4-20200812185459520
H1MGbVvjjb,4-20200812184956554,4,20200812T184956,74721,4-20200812184956553,20200812T184956,20220812T184956,5,Sfilab05,21.20,4-20200812184956554
H1MGbVvjjb,4-20200812184455588,4,20200812T184455,74720,4-20200812184455587,20200812T184455,20220812T184455,5,Sfilab05,21.20,4-20200812184455588
H1MGbVvjjb,4-20200812183955620,4,20200812T183955,74719,4-20200812183955620,20200812T183955,20220812T183955,5,Sfilab05,21.10,4-20200812183955620
H1MGbVvjjb,4-20200812183447653,4,20200812T183447,74718,4-20200812183447653,20200812T183447,20220812T183447,5,Sfilab05,21.10,4-20200812183447653
H1MGbVvjjb,4-20200812182940464,4,20200812T182940,74717,4-20200812182940464,20200812T182940,20220812T182940,5,Sfilab05,21.10,4-20200812182940464
H1MGbVvjjb,4-20200812182437720,4,20200812T182437,74716,4-20200812182437720,20200812T182437,20220812T182437,5,Sfilab05,21.00,4-20200812182437720
H1MGbVvjjb,4-20200812181935754,4,20200812T181935,74715,4-20200812181935754,20200812T181935,20220812T181935,5,Sfilab05,21.00,4-20200812181935754
H1MGbVvjjb,4-20200812181435786,4,20200812T181435,74714,4-20200812181435786,20200812T181435,20220812T181435,5,Sfilab05,20.90,4-20200812181435786
H1MGbVvjjb,4-20200812180935824,4,20200812T180935,74713,4-20200812180935824,20200812T180935,20220812T180935,5,Sfilab05,20.80,4-20200812180935824
H1MGbVvjjb,4-20200812180431853,4,20200812T180431,74712,4-20200812180431852,20200812T180431,20220812T180431,5,Sfilab05,20.80,4-20200812180431853
H1MGbVvjjb,4-20200812175928885,4,20200812T175928,74711,4-20200812175928884,20200812T175928,20220812T175928,5,Sfilab05,20.70,4-20200812175928885
H1MGbVvjjb,4-20200812175421890,4,20200812T175421,74710,4-20200812175421890,20200812T175421,20220812T175421,5,Sfilab05,20.60,4-20200812175421890
H1MGbVvjjb,4-20200812174916951,4,20200812T174916,74709,4-20200812174916951,20200812T174916,20220812T174916,5,Sfilab05,20.50,4-20200812174916951
H1MGbVvjjb,4-20200812174407983,4,20200812T174407,74708,4-20200812174407983,20200812T174407,20220812T174407,5,Sfilab05,20.50,4-20200812174407983
H1MGbVvjjb,4-20200812173901870,4,20200812T173901,74707,4-20200812173901870,20200812T173901,20220812T173901,5,Sfilab05,20.50,4-20200812173901870
H1MGbVvjjb,4-20200812173401048,4,20200812T173401,74706,4-20200812173401048,20200812T173401,20220812T173401,5,Sfilab05,20.40,4-20200812173401048
H1MGbVvjjb,4-20200812172858839,4,20200812T172858,74705,4-20200812172858839,20200812T172858,20220812T172858,5,Sfilab05,20.40,4-20200812172858839
H1MGbVvjjb,4-20200812172354112,4,20200812T172354,74704,4-20200812172354112,20200812T172354,20220812T172354,5,Sfilab05,20.40,4-20200812172354112
H1MGbVvjjb,4-20200812171850145,4,20200812T171850,74703,4-20200812171850145,20200812T171850,20220812T171850,5,Sfilab05,20.30,4-20200812171850145
H1MGbVvjjb,4-20200812171341178,4,20200812T171341,74702,4-20200812171341178,20200812T171341,20220812T171341,5,Sfilab05,20.20,4-20200812171341178
H1MGbVvjjb,4-20200812170841795,4,20200812T170841,74701,4-20200812170841795,20200812T170841,20220812T170841,5,Sfilab05,20.00,4-20200812170841795
H1MGbVvjjb,4-20200812170341285,4,20200812T170341,74700,4-20200812170341284,20200812T170341,20220812T170341,5,Sfilab05,19.70,4-20200812170341285
H1MGbVvjjb,4-20200812165832275,4,20200812T165832,74699,4-20200812165832275,20200812T165832,20220812T165832,5,Sfilab05,19.60,4-20200812165832275
H1MGbVvjjb,4-20200812165324263,4,20200812T165324,74698,4-20200812165324263,20200812T165324,20220812T165324,5,Sfilab05,19.50,4-20200812165324263
H1MGbVvjjb,4-20200812164818343,4,20200812T164818,74697,4-20200812164818343,20200812T164818,20220812T164818,5,Sfilab05,19.50,4-20200812164818343
H1MGbVvjjb,4-20200812164314376,4,20200812T164314,74696,4-20200812164314375,20200812T164314,20220812T164314,5,Sfilab05,19.50,4-20200812164314376
H1MGbVvjjb,4-20200812163811408,4,20200812T163811,74695,4-20200812163811407,20200812T163811,20220812T163811,5,Sfilab05,19.50,4-20200812163811408
H1MGbVvjjb,4-20200812163305221,4,20200812T163305,74694,4-20200812163305220,20200812T163305,20220812T163305,5,Sfilab05,19.50,4-20200812163305221
H1MGbVvjjb,4-20200812162802210,4,20200812T162802,74693,4-20200812162802210,20200812T162802,20220812T162802,5,Sfilab05,19.60,4-20200812162802210
H1MGbVvjjb,4-20200812162256507,4,20200812T162256,74692,4-20200812162256507,20200812T162256,20220812T162256,5,Sfilab05,19.50,4-20200812162256507
H1MGbVvjjb,4-20200812161749189,4,20200812T161749,74691,4-20200812161749189,20200812T161749,20220812T161749,5,Sfilab05,19.60,4-20200812161749189
H1MGbVvjjb,4-20200812161248571,4,20200812T161248,74690,4-20200812161248571,20200812T161248,20220812T161248,5,Sfilab05,19.70,4-20200812161248571
H1MGbVvjjb,4-20200812160743169,4,20200812T160743,74689,4-20200812160743169,20200812T160743,20220812T160743,5,Sfilab05,19.60,4-20200812160743169
H1MGbVvjjb,4-20200812160242158,4,20200812T160242,74688,4-20200812160242157,20200812T160242,20220812T160242,5,Sfilab05,19.50,4-20200812160242158
H1MGbVvjjb,4-20200812155739147,4,20200812T155739,74687,4-20200812155739147,20200812T155739,20220812T155739,5,Sfilab05,19.50,4-20200812155739147
H1MGbVvjjb,4-20200812155238636,4,20200812T155238,74686,4-20200812155238636,20200812T155238,20220812T155238,5,Sfilab05,19.50,4-20200812155238636
H1MGbVvjjb,4-20200812154735735,4,20200812T154735,74685,4-20200812154735735,20200812T154735,20220812T154735,5,Sfilab05,19.50,4-20200812154735735
H1MGbVvjjb,4-20200812154230616,4,20200812T154230,74684,4-20200812154230616,20200812T154230,20220812T154230,5,Sfilab05,19.40,4-20200812154230616
H1MGbVvjjb,4-20200812153723804,4,20200812T153723,74683,4-20200812153723804,20200812T153723,20220812T153723,5,Sfilab05,19.50,4-20200812153723804
H1MGbVvjjb,4-20200812153216834,4,20200812T153216,74682,4-20200812153216833,20200812T153216,20220812T153216,5,Sfilab05,19.40,4-20200812153216834
H1MGbVvjjb,4-20200812152711867,4,20200812T152711,74681,4-20200812152711867,20200812T152711,20220812T152711,5,Sfilab05,19.50,4-20200812152711867
H1MGbVvjjb,4-20200812152209900,4,20200812T152209,74680,4-20200812152209899,20200812T152209,20220812T152209,5,Sfilab05,19.50,4-20200812152209900
H1MGbVvjjb,4-20200812151701562,4,20200812T151701,74679,4-20200812151701562,20200812T151701,20220812T151701,5,Sfilab05,19.50,4-20200812151701562
H1MGbVvjjb,4-20200812151158985,4,20200812T151158,74678,4-20200812151158985,20200812T151158,20220812T151158,5,Sfilab05,19.50,4-20200812151158985
H1MGbVvjjb,4-20200812150649998,4,20200812T150649,74677,4-20200812150649998,20200812T150649,20220812T150649,5,Sfilab05,19.60,4-20200812150649998
H1MGbVvjjb,4-20200812150143031,4,20200812T150143,74676,4-20200812150143031,20200812T150143,20220812T150143,5,Sfilab05,19.70,4-20200812150143031
H1MGbVvjjb,4-20200812145633064,4,20200812T145633,74675,4-20200812145633063,20200812T145633,20220812T145633,5,Sfilab05,19.60,4-20200812145633064
H1MGbVvjjb,4-20200812145132012,4,20200812T145132,74674,4-20200812145132012,20200812T145132,20220812T145132,5,Sfilab05,19.70,4-20200812145132012
H1MGbVvjjb,4-20200812144628130,4,20200812T144628,74673,4-20200812144628130,20200812T144628,20220812T144628,5,Sfilab05,19.80,4-20200812144628130
