pi,ri,ty,ct,st,rn,lt,et,cs,cr,con
BkLUWNwis-,4-20200812212143771,4,20200812T212143,139827,4-20200812212143771,20200812T212143,20220812T212143,5,Sfilab13,21.80,4-20200812212143771
BkLUWNwis-,4-20200812211621819,4,20200812T211621,139826,4-20200812211621819,20200812T211621,20220812T211621,5,Sfilab13,21.90,4-20200812211621819
BkLUWNwis-,4-20200812211057308,4,20200812T211057,139825,4-20200812211057308,20200812T211057,20220812T211057,5,Sfilab13,22.10,4-20200812211057308
BkLUWNwis-,4-20200812210622568,4,20200812T210622,139824,4-20200812210622567,20200812T210622,20220812T210622,5,Sfilab13,22.10,4-20200812210622568
BkLUWNwis-,4-20200812210107062,4,20200812T210107,139823,4-20200812210107062,20200812T210107,20220812T210107,5,Sfilab13,22.10,4-20200812210107062
BkLUWNwis-,4-20200812205544201,4,20200812T205544,139822,4-20200812205544201,20200812T205544,20220812T205544,5,Sfilab13,22.10,4-20200812205544201
BkLUWNwis-,4-20200812205108041,4,20200812T205108,139821,4-20200812205108041,20200812T205108,20220812T205108,5,Sfilab13,22.10,4-20200812205108041
BkLUWNwis-,4-20200812204535525,4,20200812T204535,139820,4-20200812204535525,20200812T204535,20220812T204535,5,Sfilab13,22.00,4-20200812204535525
BkLUWNwis-,4-20200812204102367,4,20200812T204102,139819,4-20200812204102367,20200812T204102,20220812T204102,5,Sfilab13,22.00,4-20200812204102367
BkLUWNwis-,4-20200812203528176,4,20200812T203528,139818,4-20200812203528175,20200812T203528,20220812T203528,5,Sfilab13,22.00,4-20200812203528176
BkLUWNwis-,4-20200812203057713,4,20200812T203057,139817,4-20200812203057713,20200812T203057,20220812T203057,5,Sfilab13,22.00,4-20200812203057713
BkLUWNwis-,4-20200812202534701,4,20200812T202534,139816,4-20200812202534701,20200812T202534,20220812T202534,5,Sfilab13,22.00,4-20200812202534701
BkLUWNwis-,4-20200812202014650,4,20200812T202014,139815,4-20200812202014649,20200812T202014,20220812T202014,5,Sfilab13,22.00,4-20200812202014650
BkLUWNwis-,4-20200812201536180,4,20200812T201536,139814,4-20200812201536180,20200812T201536,20220812T201536,5,Sfilab13,22.00,4-20200812201536180
BkLUWNwis-,4-20200812201012311,4,20200812T201012,139813,4-20200812201012311,20200812T201012,20220812T201012,5,Sfilab13,21.90,4-20200812201012311
BkLUWNwis-,4-20200812200457672,4,20200812T200457,139812,4-20200812200457672,20200812T200457,20220812T200457,5,Sfilab13,21.90,4-20200812200457672
BkLUWNwis-,4-20200812200026148,4,20200812T200026,139811,4-20200812200026148,20200812T200026,20220812T200026,5,Sfilab13,21.90,4-20200812200026148
BkLUWNwis-,4-20200812195503649,4,20200812T195503,139810,4-20200812195503648,20200812T195503,20220812T195503,5,Sfilab13,21.80,4-20200812195503649
BkLUWNwis-,4-20200812194945125,4,20200812T194945,139809,4-20200812194945125,20200812T194945,20220812T194945,5,Sfilab13,21.80,4-20200812194945125
BkLUWNwis-,4-20200812194506433,4,20200812T194506,139808,4-20200812194506432,20200812T194506,20220812T194506,5,Sfilab13,21.80,4-20200812194506433
BkLUWNwis-,4-20200812193943106,4,20200812T193943,139807,4-20200812193943106,20200812T193943,20220812T193943,5,Sfilab13,21.80,4-20200812193943106
BkLUWNwis-,4-20200812193408384,4,20200812T193408,139806,4-20200812193408384,20200812T193408,20220812T193408,5,Sfilab13,21.70,4-20200812193408384
