pi,ri,ty,ct,st,rn,lt,et,cs,cr,con
H1Mn-EPii-,4-20200812223946583,4,20200812T223946,64490,4-20200812223946583,20200812T223946,20220812T223946,2,Sfilab08,62,4-20200812223946583
H1Mn-EPii-,4-20200812223432401,4,20200812T223432,64489,4-20200812223432401,20200812T223432,20220812T223432,2,Sfilab08,62,4-20200812223432401
H1Mn-EPii-,4-20200812222939227,4,20200812T222939,64488,4-20200812222939227,20200812T222939,20220812T222939,2,Sfilab08,62,4-20200812222939227
H1Mn-EPii-,4-20200812222427043,4,20200812T222427,64487,4-20200812222427043,20200812T222427,20220812T222427,2,Sfilab08,62,4-20200812222427043
H1Mn-EPii-,4-20200812221928868,4,20200812T221928,64486,4-20200812221928868,20200812T221928,20220812T221928,2,Sfilab08,62,4-20200812221928868
H1Mn-EPii-,4-20200812221420688,4,20200812T221420,64485,4-20200812221420688,20200812T221420,20220812T221420,2,Sfilab08,62,4-20200812221420688
H1Mn-EPii-,4-20200812220911515,4,20200812T220911,64484,4-20200812220911514,20200812T220911,20220812T220911,2,Sfilab08,62,4-20200812220911515
H1Mn-EPii-,4-20200812220403324,4,20200812T220403,64483,4-20200812220403324,20200812T220403,20220812T220403,2,Sfilab08,62,4-20200812220403324
H1Mn-EPii-,4-20200812215901146,4,20200812T215901,64482,4-20200812215901146,20200812T215901,20220812T215901,2,Sfilab08,63,4-20200812215901146
H1Mn-EPii-,4-20200812215358968,4,20200812T215358,64481,4-20200812215358967,20200812T215358,20220812T215358,2,Sfilab08,63,4-20200812215358968
H1Mn-EPii-,4-20200812214856790,4,20200812T214856,64480,4-20200812214856790,20200812T214856,20220812T214856,2,Sfilab08,63,4-20200812214856790
H1Mn-EPii-,4-20200812214353613,4,20200812T214353,64479,4-20200812214353613,20200812T214353,20220812T214353,2,Sfilab08,63,4-20200812214353613
H1Mn-EPii-,4-20200812213855438,4,20200812T213855,64478,4-20200812213855438,20200812T213855,20220812T213855,2,Sfilab08,63,4-20200812213855438
H1Mn-EPii-,4-20200812213339250,4,20200812T213339,64477,4-20200812213339250,20200812T213339,20220812T213339,2,Sfilab08,63,4-20200812213339250
H1Mn-EPii-,4-20200812212834071,4,20200812T212834,64476,4-20200812212834070,20200812T212834,20220812T212834,2,Sfilab08,64,4-20200812212834071
H1Mn-EPii-,4-20200812212341899,4,20200812T212341,64475,4-20200812212341899,20200812T212341,20220812T212341,2,Sfilab08,64,4-20200812212341899
H1Mn-EPii-,4-20200812211820709,4,20200812T211820,64474,4-20200812211820709,20200812T211820,20220812T211820,2,Sfilab08,64,4-20200812211820709
H1Mn-EPii-,4-20200812211331550,4,20200812T211331,64473,4-20200812211331550,20200812T211331,20220812T211331,2,Sfilab08,65,4-20200812211331550
H1Mn-EPii-,4-20200812210813352,4,20200812T210813,64472,4-20200812210813352,20200812T210813,20220812T210813,2,Sfilab08,66,4-20200812210813352
H1Mn-EPii-,4-20200812210307173,4,20200812T210307,64471,4-20200812210307171,20200812T210307,20220812T210307,2,Sfilab08,67,4-20200812210307173
H1Mn-EPii-,4-20200812205817001,4,20200812T205817,64470,4-20200812205817000,20200812T205817,20220812T205817,2,Sfilab08,68,4-20200812205817001
H1Mn-EPii-,4-20200812205300815,4,20200812T205300,64469,4-20200812205300814,20200812T205300,20220812T205300,2,Sfilab08,68,4-20200812205300815
H1Mn-EPii-,4-20200812204813646,4,20200812T204813,64468,4-20200812204813646,20200812T204813,20220812T204813,2,Sfilab08,68,4-20200812204813646
H1Mn-EPii-,4-20200812204248454,4,20200812T204248,64467,4-20200812204248454,20200812T204248,20220812T204248,2,Sfilab08,68,4-20200812204248454
H1Mn-EPii-,4-20200812203758284,4,20200812T203758,64466,4-20200812203758284,20200812T203758,20220812T203758,2,Sfilab08,68,4-20200812203758284
H1Mn-EPii-,4-20200812203240097,4,20200812T203240,64465,4-20200812203240097,20200812T203240,20220812T203240,2,Sfilab08,67,4-20200812203240097
H1Mn-EPii-,4-20200812202737919,4,20200812T202737,64464,4-20200812202737919,20200812T202737,20220812T202737,2,Sfilab08,67,4-20200812202737919
H1Mn-EPii-,4-20200812202233740,4,20200812T202233,64463,4-20200812202233740,20200812T202233,20220812T202233,2,Sfilab08,67,4-20200812202233740
H1Mn-EPii-,4-20200812201724559,4,20200812T201724,64462,4-20200812201724559,20200812T201724,20220812T201724,2,Sfilab08,67,4-20200812201724559
H1Mn-EPii-,4-20200812201228386,4,20200812T201228,64461,4-20200812201228386,20200812T201228,20220812T201228,2,Sfilab08,67,4-20200812201228386
H1Mn-EPii-,4-20200812200714201,4,20200812T200714,64460,4-20200812200714201,20200812T200714,20220812T200714,2,Sfilab08,67,4-20200812200714201
H1Mn-EPii-,4-20200812200218028,4,20200812T200218,64459,4-20200812200218028,20200812T200218,20220812T200218,2,Sfilab08,67,4-20200812200218028
H1Mn-EPii-,4-20200812195705843,4,20200812T195705,64458,4-20200812195705843,20200812T195705,20220812T195705,2,Sfilab08,67,4-20200812195705843
