pi,ri,ty,ct,st,rn,lt,et,cs,cr,con
SkLYfEDooW,4-20200812232853497,4,20200812T232853,71671,4-20200812232853496,20200812T232853,20220812T232853,5,Sfilab16,98.22,4-20200812232853497
SkLYfEDooW,4-20200812232350320,4,20200812T232350,71670,4-20200812232350320,20200812T232350,20220812T232350,5,Sfilab16,88.77,4-20200812232350320
SkLYfEDooW,4-20200812231847143,4,20200812T231847,71669,4-20200812231847143,20200812T231847,20220812T231847,6,Sfilab16,112.40,4-20200812231847143
SkLYfEDooW,4-20200812231338962,4,20200812T231338,71668,4-20200812231338962,20200812T231338,20220812T231338,6,Sfilab16,140.75,4-20200812231338962
SkLYfEDooW,4-20200812230830782,4,20200812T230830,71667,4-20200812230830782,20200812T230830,20220812T230830,6,Sfilab16,180.24,4-20200812230830782
SkLYfEDooW,4-20200812230326605,4,20200812T230326,71666,4-20200812230326604,20200812T230326,20220812T230326,6,Sfilab16,182.28,4-20200812230326605
SkLYfEDooW,4-20200812225825433,4,20200812T225825,71665,4-20200812225825433,20200812T225825,20220812T225825,6,Sfilab16,174.27,4-20200812225825433
SkLYfEDooW,4-20200812225321250,4,20200812T225321,71664,4-20200812225321250,20200812T225321,20220812T225321,6,Sfilab16,208.61,4-20200812225321250
SkLYfEDooW,4-20200812224818071,4,20200812T224818,71663,4-20200812224818071,20200812T224818,20220812T224818,6,Sfilab16,133.05,4-20200812224818071
SkLYfEDooW,4-20200812224314895,4,20200812T224314,71662,4-20200812224314895,20200812T224314,20220812T224314,6,Sfilab16,153.99,4-20200812224314895
SkLYfEDooW,4-20200812223812716,4,20200812T223812,71661,4-20200812223812716,20200812T223812,20220812T223812,6,Sfilab16,152.27,4-20200812223812716
SkLYfEDooW,4-20200812223303536,4,20200812T223303,71660,4-20200812223303535,20200812T223303,20220812T223303,6,Sfilab16,176.24,4-20200812223303536
SkLYfEDooW,4-20200812222755354,4,20200812T222755,71659,4-20200812222755354,20200812T222755,20220812T222755,6,Sfilab16,458.28,4-20200812222755354
SkLYfEDooW,4-20200812222335927,4,20200812T222335,71658,4-20200812222335927,20200812T222335,20220812T222335,5,Sfilab16,83.91,4-20200812222335927
SkLYfEDooW,4-20200812221743996,4,20200812T221743,71657,4-20200812221743995,20200812T221743,20220812T221743,5,Sfilab16,77.56,4-20200812221743996
SkLYfEDooW,4-20200812221257552,4,20200812T221257,71656,4-20200812221257552,20200812T221257,20220812T221257,5,Sfilab16,74.99,4-20200812221257552
SkLYfEDooW,4-20200812220824394,4,20200812T220824,71655,4-20200812220824394,20200812T220824,20220812T220824,5,Sfilab16,66.27,4-20200812220824394
SkLYfEDooW,4-20200812220307205,4,20200812T220307,71654,4-20200812220307205,20200812T220307,20220812T220307,5,Sfilab16,77.56,4-20200812220307205
SkLYfEDooW,4-20200812215744015,4,20200812T215744,71653,4-20200812215744015,20200812T215744,20220812T215744,6,Sfilab16,117.57,4-20200812215744015
SkLYfEDooW,4-20200812215227109,4,20200812T215227,71652,4-20200812215227108,20200812T215227,20220812T215227,6,Sfilab16,117.57,4-20200812215227109
SkLYfEDooW,4-20200812214723930,4,20200812T214723,71651,4-20200812214723930,20200812T214723,20220812T214723,6,Sfilab16,130.09,4-20200812214723930
SkLYfEDooW,4-20200812214217752,4,20200812T214217,71650,4-20200812214217751,20200812T214217,20220812T214217,6,Sfilab16,148.89,4-20200812214217752
SkLYfEDooW,4-20200812213708570,4,20200812T213708,71649,4-20200812213708569,20200812T213708,20220812T213708,6,Sfilab16,112.40,4-20200812213708570
SkLYfEDooW,4-20200812213204391,4,20200812T213204,71648,4-20200812213204391,20200812T213204,20220812T213204,5,Sfilab16,82.97,4-20200812213204391
SkLYfEDooW,4-20200812212655210,4,20200812T212655,71647,4-20200812212655210,20200812T212655,20220812T212655,5,Sfilab16,46.77,4-20200812212655210
SkLYfEDooW,4-20200812212150031,4,20200812T212150,71646,4-20200812212150031,20200812T212150,20220812T212150,5,Sfilab16,29.49,4-20200812212150031
SkLYfEDooW,4-20200812211717598,4,20200812T211717,71645,4-20200812211717597,20200812T211717,20220812T211717,5,Sfilab16,22.27,4-20200812211717598
SkLYfEDooW,4-20200812211155403,4,20200812T211155,71644,4-20200812211155403,20200812T211155,20220812T211155,5,Sfilab16,16.07,4-20200812211155403
SkLYfEDooW,4-20200812210721247,4,20200812T210721,71643,4-20200812210721247,20200812T210721,20220812T210721,5,Sfilab16,14.04,4-20200812210721247
SkLYfEDooW,4-20200812210205061,4,20200812T210205,71642,4-20200812210205061,20200812T210205,20220812T210205,5,Sfilab16,11.09,4-20200812210205061
SkLYfEDooW,4-20200812205641868,4,20200812T205641,71641,4-20200812205641868,20200812T205641,20220812T205641,5,Sfilab16,10.72,4-20200812205641868
