pi,ri,ty,ct,st,rn,lt,et,cs,cr,con
HJ8sbEwjiW,4-20200812231330340,4,20200812T231330,72881,4-20200812231330340,20200812T231330,20220812T231330,2,Sfilab07,64,4-20200812231330340
HJ8sbEwjiW,4-20200812230853249,4,20200812T230853,72880,4-20200812230853248,20200812T230853,20220812T230853,2,Sfilab07,64,4-20200812230853249
HJ8sbEwjiW,4-20200812230335310,4,20200812T230335,72879,4-20200812230335310,20200812T230335,20220812T230335,2,Sfilab07,64,4-20200812230335310
HJ8sbEwjiW,4-20200812225817800,4,20200812T225817,72878,4-20200812225817800,20200812T225817,20220812T225817,2,Sfilab07,64,4-20200812225817800
HJ8sbEwjiW,4-20200812225340292,4,20200812T225340,72877,4-20200812225340292,20200812T225340,20220812T225340,2,Sfilab07,64,4-20200812225340292
HJ8sbEwjiW,4-20200812224821519,4,20200812T224821,72876,4-20200812224821519,20200812T224821,20220812T224821,2,Sfilab07,64,4-20200812224821519
HJ8sbEwjiW,4-20200812224258274,4,20200812T224258,72875,4-20200812224258274,20200812T224258,20220812T224258,2,Sfilab07,64,4-20200812224258274
HJ8sbEwjiW,4-20200812223824765,4,20200812T223824,72874,4-20200812223824765,20200812T223824,20220812T223824,2,Sfilab07,64,4-20200812223824765
HJ8sbEwjiW,4-20200812223309757,4,20200812T223309,72873,4-20200812223309756,20200812T223309,20220812T223309,2,Sfilab07,65,4-20200812223309757
HJ8sbEwjiW,4-20200812222756247,4,20200812T222756,72872,4-20200812222756247,20200812T222756,20220812T222756,2,Sfilab07,65,4-20200812222756247
HJ8sbEwjiW,4-20200812222319641,4,20200812T222319,72871,4-20200812222319641,20200812T222319,20220812T222319,2,Sfilab07,65,4-20200812222319641
HJ8sbEwjiW,4-20200812221759230,4,20200812T221759,72870,4-20200812221759229,20200812T221759,20220812T221759,2,Sfilab07,65,4-20200812221759230
HJ8sbEwjiW,4-20200812221234221,4,20200812T221234,72869,4-20200812221234221,20200812T221234,20220812T221234,2,Sfilab07,65,4-20200812221234221
HJ8sbEwjiW,4-20200812220706712,4,20200812T220706,72868,4-20200812220706711,20200812T220706,20220812T220706,2,Sfilab07,66,4-20200812220706712
HJ8sbEwjiW,4-20200812220142874,4,20200812T220142,72867,4-20200812220142874,20200812T220142,20220812T220142,2,Sfilab07,66,4-20200812220142874
HJ8sbEwjiW,4-20200812215710694,4,20200812T215710,72866,4-20200812215710694,20200812T215710,20220812T215710,2,Sfilab07,66,4-20200812215710694
HJ8sbEwjiW,4-20200812215233685,4,20200812T215233,72865,4-20200812215233685,20200812T215233,20220812T215233,2,Sfilab07,66,4-20200812215233685
HJ8sbEwjiW,4-20200812214633675,4,20200812T214633,72864,4-20200812214633675,20200812T214633,20220812T214633,2,Sfilab07,67,4-20200812214633675
HJ8sbEwjiW,4-20200812214156108,4,20200812T214156,72863,4-20200812214156108,20200812T214156,20220812T214156,2,Sfilab07,67,4-20200812214156108
HJ8sbEwjiW,4-20200812213637984,4,20200812T213637,72862,4-20200812213637984,20200812T213637,20220812T213637,2,Sfilab07,67,4-20200812213637984
HJ8sbEwjiW,4-20200812213202817,4,20200812T213202,72861,4-20200812213202817,20200812T213202,20220812T213202,2,Sfilab07,68,4-20200812213202817
HJ8sbEwjiW,4-20200812212720658,4,20200812T212720,72860,4-20200812212720658,20200812T212720,20220812T212720,2,Sfilab07,69,4-20200812212720658
HJ8sbEwjiW,4-20200812212202467,4,20200812T212202,72859,4-20200812212202467,20200812T212202,20220812T212202,2,Sfilab07,70,4-20200812212202467
HJ8sbEwjiW,4-20200812211648284,4,20200812T211648,72858,4-20200812211648284,20200812T211648,20220812T211648,2,Sfilab07,72,4-20200812211648284
HJ8sbEwjiW,4-20200812211213777,4,20200812T211213,72857,4-20200812211213775,20200812T211213,20220812T211213,2,Sfilab07,72,4-20200812211213777
HJ8sbEwjiW,4-20200812210653765,4,20200812T210653,72856,4-20200812210653765,20200812T210653,20220812T210653,2,Sfilab07,71,4-20200812210653765
HJ8sbEwjiW,4-20200812210136743,4,20200812T210136,72855,4-20200812210136742,20200812T210136,20220812T210136,2,Sfilab07,72,4-20200812210136743
HJ8sbEwjiW,4-20200812205617250,4,20200812T205617,72854,4-20200812205617249,20200812T205617,20220812T205617,2,Sfilab07,72,4-20200812205617250
HJ8sbEwjiW,4-20200812205144396,4,20200812T205144,72853,4-20200812205144396,20200812T205144,20220812T205144,2,Sfilab07,74,4-20200812205144396
HJ8sbEwjiW,4-20200812204629730,4,20200812T204629,72852,4-20200812204629729,20200812T204629,20220812T204629,2,Sfilab07,74,4-20200812204629730
HJ8sbEwjiW,4-20200812204155050,4,20200812T204155,72851,4-20200812204155049,20200812T204155,20220812T204155,2,Sfilab07,74,4-20200812204155050
HJ8sbEwjiW,4-20200812203636860,4,20200812T203636,72850,4-20200812203636860,20200812T203636,20220812T203636,2,Sfilab07,74,4-20200812203636860
HJ8sbEwjiW,4-20200812203119703,4,20200812T203119,72849,4-20200812203119702,20200812T203119,20220812T203119,2,Sfilab07,74,4-20200812203119703
HJ8sbEwjiW,4-20200812202643195,4,20200812T202643,72848,4-20200812202643195,20200812T202643,20220812T202643,2,Sfilab07,74,4-20200812202643195
HJ8sbEwjiW,4-20200812202124186,4,20200812T202124,72847,4-20200812202124186,20200812T202124,20220812T202124,2,Sfilab07,74,4-20200812202124186
