pi,ri,ty,ct,st,rn,lt,et,cs,cr,con
rJfwfEPos-,4-20200813004100132,4,20200813T004100,125398,4-20200813004100131,20200813T004100,20220813T004100,6,Sfilab11,391.54,4-20200813004100132
rJfwfEPos-,4-20200813003531218,4,20200813T003531,125397,4-20200813003531218,20200813T003531,20220813T003531,6,Sfilab11,387.16,4-20200813003531218
rJfwfEPos-,4-20200813003053783,4,20200813T003053,125396,4-20200813003053782,20200813T003053,20220813T003053,6,Sfilab11,391.54,4-20200813003053783
rJfwfEPos-,4-20200813002528871,4,20200813T002528,125395,4-20200813002528870,20200813T002528,20220813T002528,6,Sfilab11,323.42,4-20200813002528871
rJfwfEPos-,4-20200813002049440,4,20200813T002049,125394,4-20200813002049440,20200813T002049,20220813T002049,6,Sfilab11,361.90,4-20200813002049440
rJfwfEPos-,4-20200813001520524,4,20200813T001520,125393,4-20200813001520524,20200813T001520,20220813T001520,6,Sfilab11,428.39,4-20200813001520524
rJfwfEPos-,4-20200813001032082,4,20200813T001032,125392,4-20200813001032082,20200813T001032,20220813T001032,6,Sfilab11,387.16,4-20200813001032082
rJfwfEPos-,4-20200813000512896,4,20200813T000512,125391,4-20200813000512896,20200813T000512,20220813T000512,6,Sfilab11,338.30,4-20200813000512896
rJfwfEPos-,4-20200812235954016,4,20200812T235954,125390,4-20200812235954016,20200812T235954,20220812T235954,6,Sfilab11,124.37,4-20200812235954016
rJfwfEPos-,4-20200812235515557,4,20200812T235515,125389,4-20200812235515556,20200812T235515,20220812T235515,5,Sfilab11,83.91,4-20200812235515557
rJfwfEPos-,4-20200812234952647,4,20200812T234952,125388,4-20200812234952647,20200812T234952,20220812T234952,5,Sfilab11,70.89,4-20200812234952647
rJfwfEPos-,4-20200812234503205,4,20200812T234503,125387,4-20200812234503204,20200812T234503,20220812T234503,5,Sfilab11,66.27,4-20200812234503205
rJfwfEPos-,4-20200812233939295,4,20200812T233939,125386,4-20200812233939295,20200812T233939,20220812T233939,5,Sfilab11,74.15,4-20200812233939295
rJfwfEPos-,4-20200812233451128,4,20200812T233451,125385,4-20200812233451128,20200812T233451,20220812T233451,5,Sfilab11,45.21,4-20200812233451128
